79392160_378297739039473664 x	@viva_la_reina yup ?
79392160_399015554797039617 x	@DanielaDiamonds Thank you! About 2 years :-)
79392160_373580043848810496 x	@DeAngelo_Gina you're too kind! Xoxo
79392160_399617384132386816 x	@DeAngelo_Gina Thanks girl! ??
79392160_399617215814987777 x	RT @goldennuggetac: Enjoy your Sunday with us!! RT @BrittanyABreen: I'm at @GoldenNuggetAc (Atlantic City, NJ) http://t.co/71U1d74mPb?
79392160_399589727177019392 x	The fun continues (@ Tropicana Casino & Resort - @tropicanaac) http://t.co/vEv4GXK88s
79392160_399563890914504704 x	I'm at @GoldenNuggetAc (Atlantic City, NJ) http://t.co/QaA7nKrCOq
79392160_399348655456792576 x	Happy birthday to me! (at @ChartHouseRest w/ 2 others) http://t.co/9zQrdj2tcu
79392160_399311222384107520 x	@probroyal Thanks for the follow!
79392160_399291683671912448 x	@DeAngelo_Gina Sad you weren't there! We should do dinner sometime with your little. Xo!
79392160_399028051004370944 x	I can't believe I ate that much. Happy birthday to me! @FogoDeChao_LV http://t.co/UuwmvWVl72
79392160_398164881079164928 x	PROTECTED
79392160_398987140744642560 x	Happy birthday to me! Out celebrating. (@ Fogo De Ch?o w/ 2 others) http://t.co/X7Kw8njoBu
79392160_398946514598641664 x	RT @TamaraNajm: Great White #Shark siting off Manhattan Beach Pier! #sharkweek #wildlife #california http://t.co/ETnCcTDReL
79392160_398889868899913728 x	After Twitter's hot IPO, now comes the hard part http://t.co/dmLAVYkpKt
79392160_398889534886522880 x	Women heading to Navy Riverine combat jobs http://t.co/GybIIRYIV3
79392160_398879137915764736 x	RT @PhilaWedding: And here is a bride who had 126 bridesmaids. (Yes, there are photos.)  http://t.co/f0SvsEFzpz
79392160_398879116503818240 x	RT @6abc: New York dad criticized for denying son McDonald's - http://t.co/khTrFQ4v6z
79392160_398767459752509440 x	RT @UberFacts: More iPhones are sold every day than people are born.
79392160_398760316550782976 x	RT @davidmurphy6abc: Your 5am numbers. Light winds, but wind chills still nr freezing in some spots. http://t.co/zD4kYMbVIF
79392160_398657128799674368 x	RT @NOAA: Our thoughts & prayers are with the people of the #Philippines... Super #Typhoon #Haiyan http://t.co/gLLPtQ8QWq http://t.co/3pKwZ?
79392160_398574362754056192 x	Turning our bad days around with dinner @TGIFridays #sohappynow http://t.co/ZOCfur1YTL
79392160_398507780564189184 x	My reporting reel is up! Take some time to check it out if you are hiring. Thanks! http://t.co/jBoLeosXhV
79392160_398506534017040384 x	The 50 Sexiest in TV News http://t.co/NElrpUy4fR via @mediaite
79392160_398261302533308416 x	RT @ABCWorldNews: Miami Dolphins coaches reportedly asked Incognito to toughen up Martin, @SteveOsunsami reports: http://t.co/UzULutEdC4
