213454816_284844999198244866 x	@dianacnearhos In what way?
213454816_394195357782925312 x	@BroadStBull Is Hall hurt ?
213454816_393586321295290368 x	@JennyBentley Do you know if Propper Hockey is coming back this year ?
213454816_393198749045895169 x	@BagarN12 Can I ask why ?
213454816_392338280894570496 x	@BroadStBull Rather have goals and assists for points versus humor.
213454816_388468161722335233 x	@guffaw26 Is Propper Hockey coming back this year ?
213454816_388129712855195649 x	@comcastcares X1 online tv listings keeps saying I'm using default grid, not loading my settings. why ?
213454816_388149908244398080 x	@ComcastPete seems like all I do is Reset box.
213454816_386588616090062848 x	@guffaw26 Is Propper Hockey coming back this year ? If so, when ?
213454816_383299174747217921 x	@LEX_andthecity_ what is your major and what class is this ?
213454816_383058276755054594 x	@comcastcares x1 just replaced.new one will not record previous schedules programs & cannot delete programs in my DVR on my computer. Help
213454816_383010178720735232 x	@LEX_andthecity_ you have to understand, Ken Daneyko use to be D-man for the Devils back in 80's. really think he say any positive.
213454816_381234870992654336 x	@comcastcares X1 system not letting me record with remote or computer. what do I have do to fix it ?
213454816_381224619098640385 x	RT @KhandymanSports: #Flyers fans: RT if you like the Matt Read signing, FAV if you don't.
213454816_380457043707969536 x	@Leier22 @NHLFlyers good luck this season Taylor.
213454816_380428290562863104 x	@billmeltzer any reason why Flyers didn't bring Robert Hagg in for some games ?
213454816_376182930327871488 x	@comcastcares x1 system problems again. since last nights update, now no longer able to record shows with a computer. Why?
213454816_375133309291864064 x	@LEX_andthecity_ so sorry to hear about the loss of your cat.
213454816_373185836272992256 x	@billmeltzer any news on Brandon Manning ?
213454816_372053073297817600 x	@Simmonds17 happy birthday Wayne
213454816_372050978377191425 x	RT @NHLFlyers: RETWEET and help us wish Wayne Simmonds (@Simmonds17) a happy birthday! http://t.co/i5vII3mFHT
213454816_371864217483104256 x	@LEX_andthecity_ would prefer you got some sleep versus skydiving. Enjoy reading your tweets lol
213454816_371851684185530369 x	@comcastcares why every Sunday record light stays on and nothing is set to record with x1 system? So disappointed
213454816_371855442407739392 x	@ComcastMattV thanks. why when playing a show from dvr and using a computer the play/stop/ff/reverse features do not work ?
213454816_369633965268680705 x	@tamorosa2 you know when your told not to do something, you just have to.
213454816_369326098359676928 x	@comcastcares your new X1 system sucks.  constantly locks up.
213454816_369543566948720640 x	@comcastcares when playing show off dvr w/computer. control box controls don't do anything. no play/rev/ff/ stop
213454816_365560525196767233 x	RT @mbacklund11: I will donate 1 dollar for every RT this tweet gets to @barncancerfond. Starting now until tmrw when I cross the finish li?
213454816_363377666268733441 x	RT @vanessariddle: How many RT's can I get for this? ? http://t.co/9KwhGAP7m3
