300002035_367397771831029761 x	or beyonceeeeeeeeeeee | @tracychelle
300002035_357284995854909440 x	It's impossible to not have a car concert whenever #Clarity comes on | @tracychelle
300002035_347154551415123968 x	wearing full on winter gear because I never win the great AC debate. #wifeyproblems
300002035_347159987593830400 x	@tracychelle YES! I keep secretly turning it off and I get caught every time. #icant
300002035_345664315816300544 x	How am I still grieving the end of #thewire months later?!
300002035_345702641109721088 x	@tracychelle It feels like a wine night..not sure if that's good or bad.
300002035_344159236860809216 x	?@tracychelle: @lv_pace BBQ success! #hostesswiththemostest? neighbor brawls and candle holder injuries won't keep me down ?
300002035_344174269879697408 x	@tracychelle #turnt
300002035_337000946615844864 x	squat challenge day 2 success #werkit | @tracychelle
300002035_330686395834327042 x	If anybody is looking for me I am DEAD from laughing. I. can't. even. | @tracychelle
300002035_330538211669577730 x	Why is Bubba Sparxxx performing at this bar right now? #twerkteam | @tracychelle @jcqm0384
300002035_330459599666814977 x	If one more person asks me if I want a manicure ? | @tracychelle
300002035_330430851101884416 x	Time to wine + dine with the bitties | @jcqm0384 @tracychelle
300002035_329200466800017411 x	Notorious BIG @pandora_radio = ?| @tracychelle
300002035_326444254610198528 x	@mjacobs45 I'm so upset they made Dookie an addict in the end! ?
300002035_326823030040981504 x	@tracychelle um yes. He's one of the best!
300002035_326131125229604865 x	Last week of grad school classes for-ev-er.
