1707843750_383940665177948160 x	http://t.co/BeCHzBuKzA
1707843750_396266807771676672 x	http://t.co/9O1BdJ5Oux
1707843750_395880243543560193 x	"double toil and trouble; Fire burn, and caldron bubble"  --William Shakespeare (Macbeth)
1707843750_395860145604816896 x	http://t.co/fHxU9M82PI
1707843750_395859950448037888 x	Good morning and happy Halloween! http://t.co/DS10PCtA3m
1707843750_395531385575710720 x	I'm a dreamer... http://t.co/HQVTHNvi32
1707843750_395515561007783936 x	Good morning! http://t.co/CZcWcNsd3l
1707843750_395509013170749440 x	I posted a new photo to Facebook http://t.co/fzfUzvaFDs
1707843750_395507695924441088 x	Good morning!  Time to move it!
1707843750_395507129534005249 x	Janet Holohan White http://t.co/VGFhzyNLns
1707843750_395506911174348800 x	And sing Christmas tunes. http://t.co/APyiIzIFX5
1707843750_395193888425521152 x	Hey Friends...have you picked up our book:  There's Lipstick on My Pigskin! ?  Read our book to find out what... http://t.co/aKZWpWh4UP
1707843750_395164232754294784 x	Earn a discount to shop for beautiful gems when you purchase our book: There's Lipstick on My Pigksin! Many... http://t.co/fRlMHs138M
1707843750_395163409928302593 x	New Jersey Girls Publish Humorous Sports Playbook http://t.co/K5ntxfoqvL via @sharethis
1707843750_395157289968992257 x	I posted a new photo to Facebook http://t.co/ytrUtR6bud
1707843750_395147620961644545 x	Good morning!  Wooohooo! I gain an extra hour on Saturday night.  I can stay up till 10pm!  #party
1707843750_394805275049222145 x	I posted a new photo to Facebook http://t.co/JMbNjCNHaG
1707843750_394077904075644928 x	This book makes a great gift or stocking stuffer for the male or female in your life! http://t.co/wX8K9ovUqv
1707843750_394077493604257792 x	Good morning!  Time to pull out the Snuggie for me and the animals.  #BabyItsColdOutside
1707843750_393694238338056192 x	Enjoy your Friday and weekend! http://t.co/XJOQqMdQmF
1707843750_393327604788260864 x	Let it snow!  Let it snow!  Let it snow!  #iamaflake
1707843750_392970278843604992 x	Good morning!  Tomorrow is Friday Eve!  Woo hoo!
1707843750_392969342221950976 x	I posted a new photo to Facebook http://t.co/0Sff6Ggka7
1707843750_392619757700018176 x	There are only 63 days until Christmas and 37 days until Hanukkah.  There's Lipstick on My Pigksin! makes a great... http://t.co/Hi4pePAhwi
1707843750_392617632504893440 x	I posted a new photo to Facebook http://t.co/wNxJnWjoFH
1707843750_392246739702263808 x	Good morning.  What's so great about Monday?  Hmmm, Monday night football!
1707843750_392246296943161344 x	Good morning, World!  Have a great day.
1707843750_391921386576297984 x	Good morning, Friends.  Go EAGLES!
1707843750_391561531218874368 x	Happy Saturday!  Grab a cup of coffee, pick up a copy of There's Lipstick on My Pigskin AND... http://t.co/W8nOViDxQj
1707843750_391311305979592704 x	Where is Cheryl Costello when I'm in the mood for tequila soup?
1707843750_391310824339304448 x	Video: An Amazing Eagles Cowboys Cartoon - CBS Philly http://t.co/DfQ9IwUzBQ
1707843750_391305945126428672 x	Hello Friends!  Want to lose that jiggle before you jingle in the holiday season? Check out these great products... http://t.co/uCWnNhVAi3
1707843750_391158900545695745 x	Long Island's Top Chef: Sueanne Sannella Shirzay gives a new name to Hell's Kitchen! Burn, Baby. Burn!  : ) http://t.co/hHJDW9sakK
1707843750_391156756824350721 x	http://t.co/PkWEpaouSl
1707843750_391156155780571137 x	Happy Friday! http://t.co/bMfksNDQNF
1707843750_391154353743994880 x	Christmas!  ONLY 10 Saturdays left---need a great gift or stocking stuffer idea?  Pick up a few copies of There's... http://t.co/9uRcmmM9Hm
1707843750_391150796550598657 x	Good morning and happy Friday!
1707843750_390977481110351873 x	I posted a new photo to Facebook http://t.co/ZfEFCwqR6n
1707843750_390850550008672256 x	Good morning, Friends! Thanks for connecting on Facebook. Please take a minute to like our new BOOK page: There's... http://t.co/Sbn1Nk9JNJ
1707843750_390849126503424000 x	Thank you, Cheryl Costello ! LMAO  Perfect.  We should share this with PJ's. http://t.co/p72fKrW3Xa
1707843750_390818153632370688 x	RT @Scarberryfields: ?When your work speaks for itself, don't interrupt.? Henry J. Kaiser. #Writers
1707843750_390816153406156801 x	NEW release: "There's Lipstick on My Pigskin!"  http://t.co/XJctWwcfd8 ? ? ? ? ? ?  #football #NFL #comedy #lipstickonpigskin
1707843750_390794528744955904 x	Happy Friday Eve http://t.co/bJFmcu77MA
1707843750_390790465458434048 x	Good morning!  Enjoy this great day.
1707843750_390634641184808960 x	Thanks to my sister for finding this one... http://t.co/j4alF7aoBa
1707843750_390434957250011136 x	I like... http://t.co/yQJ8f6a3Lc
1707843750_390432965768925184 x	Good morning, Gorgeous Creatures
1707843750_390116669340647424 x	I posted a new photo to Facebook http://t.co/VJkhDWtKII
1707843750_390081031191011328 x	There's Lipstick on My Pigskin!: A satirical, dictionary-style sports playbook http://t.co/kw3gRmy5G0
1707843750_390074303753883649 x	When Football and Fashion Collide...There's Listick on My Pigskin!--book is available online at Amazon or Barnes... http://t.co/cEFzEqHp9i
1707843750_389509685184712704 x	Earn a discount to shop for beautiful gems when you purchase our book: There's Lipstick on My Pigksin! Many... http://t.co/fRlMHs138M
1707843750_389497001038983168 x	Can't you read the sign... http://t.co/OZGjUqJN68
1707843750_389386156866945026 x	Good morning! Sunday Funday means FOOTBALL-There's Lipstick on My Pigskin!   Let's go, Eagles ! http://t.co/Zjtq3SpYbP
1707843750_389010280568455168 x	Believe you can and you will!  : )   #ibelieve
1707843750_389008194799808513 x	Enjoy this great day... http://t.co/y0gtZUlpaH
1707843750_388646358288039936 x	Good morning and happy Friday!
1707843750_388641463111671808 x	I posted a new photo to Facebook http://t.co/9KvXBK49JH
1707843750_388376525965246464 x	When I grow up...I wanna be a ghost hunter!
1707843750_388376161434480640 x	RT @PhillydotcomENT: McDonald's ditches Happy Meal toys and replaces with books http://t.co/pqZHIZZssr
1707843750_388375941329608704 x	Have you picked up a copy of There's Lipstick on My Pigskin!  People... http://t.co/OexMfOW0kP    #humor #football #book
1707843750_388375155157630976 x	@jmwakasege  You're welcome!  Enjoy this great day.
1707843750_388374976488681472 x	@NJmitsubishi Good afternoon! Hey friends...thinking about a new car? Check out my friends at Cherry Hill Mitsubishi!  #local #community
1707843750_388274207559127041 x	Good morning!  Run between the raindrops!
