18147908_360731949582655488 x	Let's have a safe weekend Philly...please remember three words, peaceful conflict resolution.
18147908_279814022247899136 x	Yes people kill people, but too many handguns allow too many people kill too many people! http://t.co/whEu6URi
18147908_314756962929737729 x	42 homicides in 2013 in Phila compared to 78 this day in 2102. 36 fewer a 46% reduction. 1 is too many & it is too early to claim victory.
18147908_127931888160620544 x	Win #408 for Joe Paterno!
18147908_398781761779695616 x	To predict Eagles v Packers score I need to know which Foles will show up..Stiff legged Zombie or Joe Montana? @WIPMorningShow @rheahughes
18147908_394623078002880512 x	@freedomisgreen @Michael_Nutter @Darrell_Clarke SAM, is a "Smart on Crime" method of handling defendants arrested with deminimis amounts.
18147908_400508327823937536 x	RT @KYWNewsradio: Chilling Testimony During Penalty Phase In Execution-Style Murder Case http://t.co/cRfJDP13xM @TonyHanson1060
18147908_400507456608305152 x	RT @CBSPhilly: Police: Manhunt Underway For Serial Armed Robber In West Philadelphia @WaltHunterCBS3 Reports: http://t.co/eQslP4Qv7g
18147908_400431706508771328 x	Had a great time tonight meeting with @PennDems. Great questions and discussion. Thanks for inviting me.
18147908_400373929006465024 x	Had a great day meeting with current and future members of the District Attorney's Office. I love my job.
18147908_400329174377717760 x	RT @ThisInspiresUs: Do something now that will make the person you'll be tomorrow proud to have been the person you are today.
18147908_400264838917541888 x	RT @politically101: Values are Non Negotiable!
18147908_400243778721554433 x	@SueSerioFox29 we have snow flurries and wind blowing from the Southwest here in Overbrook.
18147908_400231950881153024 x	RT @SueSerioFox29: Cold front is moving through right now.  Winds are picking up: from the NW 20-25 mph. Temps dropping thru the 40s. More ?
18147908_400121909322739713 x	RT @ThisInspiresUs: Don't cry because it's over. Smile because it happened. -Dr. Seuss
18147908_400004614294364160 x	RT @PennStateAlums: Happy Veterans Day to all of our men and women who have served our great country! Did you know that U.S. News and... ht?
18147908_400004531284881408 x	RT @ThisInspiresUs: I'm a great believer in luck and I find the harder I work, the more I have of it. -Thomas Jefferson
18147908_399927108287213568 x	@unilubis @EFStaff thanks for the follow!
18147908_399893448829853697 x	Proudly serving dual diagnosed veterans on Veterans Day They are doing what is necessary to get back on their feet http://t.co/Ec2okjtPwh
18147908_399801257839579136 x	Happy Veterans' Day to all that have served in our nation's military. http://t.co/hSkUe63UiL
18147908_399665873578774529 x	Eagles win and we all get free medium coffees @DunkinPhilly tomorrow. #FlyEaglesFly
18147908_399684151256682497 x	@Bridesburgeyes thank you for what you do, Philly would be much safer with more Town Watches as well organized as yours.
18147908_399663917951381504 x	RT @IainPageFox29: Michael Carter-Williams joins Oscar Robinson as only players in NBA history w/ 130+ Pts & 50+ Ast in first 7 games. #Six?
