172867574_399996729396695040 x	Hunger Games Theme Park? | Alternet http://t.co/6eHeX82cQt
172867574_399861961334087680 x	Cut ?Defense? Spending |  http://t.co/g9bJXZi0sQ ||
172867574_399996543660343296 x	Are Heartless People Simply Born That Way? | Alternet http://t.co/IlIz51YtDW
172867574_399981246584864768 x	No Class Warfare, Please: We?re Americans | Alternet http://t.co/qhKjpf8y0U
172867574_400002335214014464 x	A 4-Year-Old Girl Asked A Lesbian If She's A Boy. She Responded The Awesomest Way Possible. https://t.co/uAfm1lWAWg
172867574_400002053059002368 x	The Eerie Thought About God That The Inventor Of The Nuclear Bomb Had When It Went Off https://t.co/KxZbIDpV8f
172867574_400001357320437760 x	What Should Have Been A Heartwarming Kiss On A Skating Rink Has Never Been More Chilling https://t.co/c2M0pEspLL
172867574_400000477519040512 x	ABC Launches Rick Perry's Comeback Tour | Crooks and Liars http://t.co/mjsPhQs6fp | It would be nice if he came back to reality.
172867574_400000255443230720 x	Texas AG Greg Abbott Drills Well to Water Lawn During Historic Drought | Video Cafe http://t.co/3VuGq24Arv
172867574_400000066712117248 x	The GOP's new strategery http://t.co/4CXOimk4xb
172867574_399999674662133760 x	Prairie Weather: Oh, right. The glories of war. http://t.co/6sHg7wdfsW
172867574_399996316861751296 x	New Research Details Strong Relationship Between White Racism and Gun Ownership | Alternet http://t.co/3xKrF69RbL
172867574_399996135403556864 x	The Unhealthiest Restaurant Chain in America | Alternet http://t.co/z9F36Trowm
172867574_399995783216259073 x	Johnson & Johnson $2.2 Billion Settlement Just a Slap on the Wrist | Alternet http://t.co/1bqbzuHHkW | Aren't all these "settlements"?
172867574_399995584410419200 x	We Have the Renewable Energy We Need to Power the World?So What's Stopping Us? | Alternet http://t.co/8wEP4s2m0o
172867574_399995487740112896 x	4 Creeping Ways Capitalism Is Killing Us | Alternet http://t.co/8czH60OZst
172867574_399995078719991808 x	Will Putin's Aggression Keep 30 Environmental Activists in Prison? | Alternet http://t.co/kuizfTRXg3
172867574_399994712091676673 x	Veterans Day Celebrates Warriors From Our Disastrous Wars, But the Day Was Established for Peace... -  http://t.co/fDxnaQZVoQ
172867574_399993986913284096 x	Unless Social Security Is Expanded with Increased Funding, We Face An Unprecedented Crisis... http://t.co/xYbHWt93Bc |Expand Social Security
172867574_399991207545143296 x	Petition by @BridgetMarie: Scalia must apologize for his racist comments on the 14th Amendment http://t.co/RgMwVKhDxK #p2 #scotus
172867574_399989555698221056 x	An invitation to the Workers World Party National Conference ? In the U.S. ? Workers World http://t.co/RPrWpunFcO
172867574_399986337056452608 x	Minnesotans pass majority of levies to support schools | Workday Minnesota http://t.co/FZCQfqukmq
172867574_399981716422422528 x	The death of satire? | Egyptian Streets ????? ??? http://t.co/BiTCGCakUw
172867574_399981415296544770 x	The Myth of Just Deserts |  http://t.co/swo3rGjcVi
172867574_399980964312383488 x	Bill de Blasio: A Mayor for the New Economy | Alternet http://t.co/OdRpSu0S4o
172867574_399980807374135296 x	The Pension Theft Crime Wave Rages On | Alternet http://t.co/un0HJyvwBM | Wall Street will stop at nothing to increase its fortune.
172867574_399980532521394176 x	Groundbreaking Report Exposes Chemicals Linked to Cancer in Feminine Care Products | Alternet http://t.co/J9eymsjltn
