128356452_13135445936 x	Santonio Holmes reportedly escorted off of a Pittsburgh flight.
128356452_12729677990 x	RT @Jay_Glazer: Sergio kindle's drop is due to concerns w his knee. http://myloc.me/6kPtS
128356452_395902105447182337 x	Peyton Cares: SNL Digital Short: United Way on @hulu: http://t.co/4rGZyOZ4TA
128356452_395783493667807232 x	RT @NESN: Red Sox Fans Celebrate World Series Win With Gathering at Boston Marathon Finish Line on Boylston Street (Photo): http://t.co/imY?
128356452_395783463846301696 x	RT @NESN: Koji Uehara Strikes Out Matt Carpenter to Clinch World Series Title at Fenway, Red Sox Storm Field (Video) http://t.co/KzZLRtGf7c
128356452_395280306825347072 x	RT @AndrewSiciliano: Josh Gordon still a Brown, Jared Allen still a Viking, MJD still a Jaguar, and when you think of Giants, you still thi?
128356452_390886251718799360 x	RT @NESN: Report: Alex Rodriguez Brought Prostitutes 'Two at a Time' to Manhattan Apartment, Employees Say 'Nobody Liked Him' http://t.co/p?
128356452_389962527636877312 x	I love how Tori Hunter claims he was joking now. It's not the fans' job to catch you! Regardless of who they are/why they're there.
128356452_389960909742813184 x	@castrovince Hunter shouldn't dive over walls if he ain't man enough to take the fall. Cops are told not touch the players. Get over it!
128356452_389960274813669376 x	RT @FenwayPuppy: Seems like Detroit is busy trash talking while the #RedSox are busy focusing on their next Win :)  #BelieveInBoston
128356452_389405142938042368 x	RT @DraftSharks: Looks like Megatron playing RT @davebirkett Calvin finished his stretching,now doing footwork drills on the side. No train?
128356452_389404965309251584 x	@JMillmanRX need 3. RBush, Colston, Andre Johnson,  LevBell
128356452_387623817528741888 x	@BaxFootballGuru 91 Skins. Record-setting team at the time.
128356452_387627542666280961 x	@BaxFootballGuru I believe they had set some offensive single season records at the time that were eventually broken by Vermeils Rams?
128356452_387628282587652097 x	@BaxFootballGuru I may have the two teams confused so you may be right I'm not sure
128356452_387060474270846976 x	RT @GridironJim: Report: Michael Vick is likely out for Week 6 - Michael Vick | PHI - #FantasyFootball http://t.co/0ghxm8KTJN
128356452_387060116358316032 x	RT @JasonLaCanfora: "@ErikBurkhardt: Vikings!!!" - Tweet from Josh Freeman's agent. Obviously pretty excited about the decision
128356452_385166762481700865 x	RT @4for4football: Malcom Floyed placed on IR http://t.co/7anJz5MCpT #NFL #fantasyfootball
128356452_385166745566068737 x	RT @NFL_RealUpdates: #Charges placed LB Dwight Freeney on injured reserve with a torn quadriceps. His season is over.
128356452_384538512952807424 x	RT @BaseballGuys: RT @MLB: 2013 @MLB strikeout king Yu Darvish fanned 8 Sunday, raising his season total to 277: http://t.co/Mqt1SYaQH3 #wh?
128356452_384538462600175616 x	RT @ScottMCBS: Rangers GM Jon Daniels confirms OF Nelson Cruz will be activated for Mon game with Rays. Says it is up to Washington whether?
128356452_384531728645120000 x	RT @caplannfl: NBC Sports - ProFootballTalk: Denver could be record-setting favorite against Jacksonville http://t.co/ywzUGIaVy4
128356452_384531601821933570 x	RT @NFL_ATL: Ben Roethlisberger on Steelers: "You could say we're the worst team in the league": http://t.co/lbWgP0ShjV
128356452_381977927140651008 x	Title week! Need a RP.. Roark as a 2-start pitcher, or Papelbon? 7 pts/SV, 10 pts/Win, 1 pt for each K and Inning, 2 pt QS @BaseballGuys
