762969481_329370515254956032 x	#iatethebones #4guys
762969481_332730579902672896 x	You can't be so quick to judge a person. Why do you think murder trials last so long? #FindTheTruth
762969481_312144724930752512 x	RT @ComedyPosts: Getting married at 21 sounds a lot like leaving a party at 9:30pm.
762969481_395708333841465344 x	As a man you should think this way when you see a woman at a bar/club. http://t.co/gQ9Vkf7dCt
762969481_395707655894749184 x	RT @SincerelyMen: Boobs. Because eye contact is awkward.
762969481_395707601553338369 x	RT @BroCulture: "I don't like beer" #ShitPussiesSay
762969481_395706523487186944 x	Save water. Drink beer
762969481_395700566178799616 x	RT @CauseWereGuys: Do me a favor and say the words "my dick"... I just want to see if it comes out of your mouth as easy as it goes in.
762969481_395700459760918529 x	RT @TBGolmon: Someone bangs on the door and this is the Golmon girl reaction @theREALmeezy_ http://t.co/ZQ79tjgyOR
762969481_395700444640858112 x	RT @ComedyPosts: when girls call their boyfriends "daddy" http://t.co/WOsSBTRcem
762969481_395700363858169856 x	RT @ManlyAsshole: What do you call a woman with two brain cells? Pregnant
762969481_391998136975360000 x	#4guys foundation from guys for the guys. Mustache it up #movember
762969481_391997631855362048 x	RT @GeepsSays: #4guys foundation to raise money for prostate cancer. Get your mustache on #movember @SteveLorini @mikelorini @BrandonDamiano
762969481_357922882581573632 x	As a man, don't cling to a girl; she'll think you're annoying and don't have a life. Live your own life with your boys
762969481_337175639905939457 x	RT @Z1035Toronto: Today find the Street Team at Albion Centre / Kipling & Finch to win a Scion FRS or $100,000 in the Z103.5 Cash House Vau?
762969481_329251868947656704 x	The way I look at. I fucked that pussy #4guys #byebitch
762969481_329216227287384064 x	RT @BrandonDamiano: Do not go to WEGZ to tomorrow. Instead, find an alternative so the @TheReal4Guys can find a seat and watch the leaf gam?
762969481_328936963241541634 x	RT @Z1035Toronto: Pizza Pizza?s Slices for Smiles fundraiser is back! Purchase a $2 smile pizza until May 5 and a portion of the... http://?
762969481_323839813860073473 x	RT @DVNScion: Dirtiest Scion contest is back.  Check out the details https://t.co/We3sknpZLZ @DVNToyota @sciontistLC @Z1035ZTeam @DrPeck ...
762969481_320610512188608512 x	RT @Z1035Toronto: Come to Kanda Optical at 60 Cottrelle Blvd in Brampton for 50% off all prescription glasses and sunglasses from... htt ...
762969481_319266322989060097 x	RT @GeepsSays: https://t.co/po3jxrLVeq Theres the link VOTE!! I definitely wanna see this girl @sarahjuliaa cheering for the @TorontoArg ...
762969481_315245705134481408 x	Look at you...now look at us .... #4guys @BrandonDamiano @SteveLorini @MikeLorini @GeepsSays
762969481_312235010944008193 x	Sinatra life style I'm being frank witchya #4guys
762969481_312144312756494336 x	RT @ComedyPosts: You can't be ugly and play hard to get... You're already hard to want.
762969481_312143836463906816 x	Fuck bitches get money #4guys
762969481_310064845724725249 x	Easiest way to get rid of someone your not into just be a compete asshole. They will hate you but what do you care #4guys #tipoftheday
762969481_311443379923849216 x	@Joe_Angelillo this is true but if she has any respect for her self she will leave. Of she doesn't then just beat her
762969481_311485958614814720 x	@Joe_Angelillo who said it's with your hands;) #4guys
762969481_311486463650979842 x	@Joe_Angelillo you know she wants the d
762969481_311457719351656448 x	@Joe_Angelillo sorry, @geepssays isn't allowed to monitor the #4guys account. #BadAdvice
762969481_310588698372755456 x	RT @HuffPostWeird: Blind dog gets seeing eye dog. It'll melt your heart http://t.co/cXm4IYtNqM
762969481_310032048939208704 x	RT @FUN: Today is International Women's Day.
762969481_310031925999972353 x	RT @GoogleFacts: Homosexuality was still classified as an illness in Sweden in 1979. Swedes protested by calling in sick to work, claimi ...
762969481_310031693295788034 x	"@Joe_Angelillo: If I had my way, I'd never see you hurt again" = if I had my way, I'd never see you .... Plenty of bitches out there #4guys
762969481_310031528627433472 x	@Joe_Angelillo get rid of the hurt again #4guys
762969481_310031116042117121 x	RT @SteveLorini: @GeepsSays soon we can start having hotel parties and late nights out and we just tell our parents we're at the gym and ...
762969481_310031017727631360 x	Keep your heart on your sleeve but whip out your dick so everyone can see #hello #fuckthat #huge #4guys
762969481_309738916855033856 x	Pussy money weed make the world go round #4guys
762969481_309332029328207873 x	RT @MikeLorini: A rejected high five is so painful
762969481_309302500127801344 x	RT @GeepsSays: Take a picture it lasts longer set the dial to forever #4guys 1 is missing sorry http://t.co/e75psEy2
762969481_309302151962820608 x	RT @hannah__hess: "@dea_meissner: #4guys #4months #5relationships #noproblems ?" too far
762969481_309302034312613888 x	RT @matinaharbilas: @LucyYanckello at least we haven't been single our whole lives #4guys
762969481_309301862522290176 x	Fuck #cialis how does she go from 8 pm to 1130 pm #iwonder #iwish #4guys
762969481_309299986208813057 x	Malkin is so good he gets his own top ten on #tsn #4guys
762969481_309299704057966593 x	"@Sports_Greats: The trouble with not having a goal is that you can spend your life running up and down the field and never score. ?#4guys"
762969481_309297644499525632 x	RT @ComedyPosts: A bad decision always leads to a good story.
762969481_305843063664832513 x	200th Tweet !! #Follow the #4Guys @SteveLorini @MikeLorini @GeepsSays & @BrandonDamiano
762969481_298820285451366400 x	RT @SodomyClown: Friends while you're dating somone: "WE LOVE HIM!"  Friends when you break up with someone: "He's a total dickhead and  ...
762969481_290611118584512512 x	RT @C_leonardelli5: Home cooked Italian dinners might be the best thing ever ?
762969481_290103746896207873 x	RT @CoachsCornerCBC: So Ilya Kovalchuk would rather stay in Russia and play in the KHL. Hmmm. And he'de like to miss the season in New J ...
762969481_287649356008525825 x	#The4Guys http://t.co/9dJofnd0
