90719393_316947999811067905 x	@HighCheese Just be glad you didn't go to Bucknell, tuition bracket 2013:  http://t.co/exGvT1BQBg
90719393_394609613792083968 x	@TonyBrunoShow um no, that was far from interesting today, trainwreck comes to mind.
90719393_394609190955921408 x	RT @PierreRobert933: Photo backstage@the 2nd day of Bridge School show. It's legendary promoter Bill Graham w/Jack! In Philly@ Live Aid! ht?
90719393_394551465706291200 x	Goose egg for the offense 2 weeks in a row #eaglestalk #eagles
90719393_394546968493834240 x	#firechip #eaglestalk
90719393_394520026163970049 x	Remember that whole nonsense from Chip how the system is so great it doesn't matter who the qb is, um no. #eaglestalk #eagles
90719393_394515459791654913 x	Trainwreck Chip Kelly hurry up high powered offense #eaglestalk
90719393_394125709092081666 x	@VUCoachJWright @NovaMBasketball Old school Big 5 at the Palestra, bring them back for all home games!
90719393_394125455668023296 x	RT @VUCoachJWright: Loved seeing the streamers last night at #HoopsMania - great job #NovaNation ! @NovaMBasketball http://t.co/e83x5IJl7w
90719393_394125274394398720 x	RT @SheilKapadia: What they're saying: The Linc is "like a Six Flags amusement park." Natoinal media Eagles-Giants predictions http://t.co/?
90719393_394124986426077184 x	RT @VUCoachJWright: It's a bird, it's a plane, it's @DanielOchefu23 in his Superman cape - winner of the #HoopsMania Dunk Contest! http://t?
90719393_394124698982035457 x	@SheilKapadia main issue with the Linc is the horrible field conditions for a team that likes to play fast, Kelly needs to replace turf
90719393_392011658488721408 x	Another horrible throw from foles, not avants fault #eaglestalk
90719393_386329231837626369 x	@NeilWeinberg44 safe and horrible coverage by tbs #amateurhour
90719393_386328379349540864 x	Safe #tigers
90719393_385223896469078016 x	RT @VUrecruiting: RT this and once I get 1.000 followers I will give away 4 villanova tickets to their game vs GTOWN at the WFC to one luck?
90719393_384188360728006656 x	@carynrose except no one is going to use the springsteen tag on this new record
90719393_384186158714195968 x	RT @danreilly11: If watching this arcade fire shit doesn't get me a discount on the album, I'm suing.
90719393_384182991955984384 x	RT @carynrose: Of course arcade fire have fans who dress like regine
90719393_384182464937476096 x	Ok i get it, arcade fire discovered cocaine, looks fun but this new music is horrid. #snl #arcadefire
90719393_384179335974125568 x	What happened to the arcade fire i know and love:  cocaine
90719393_380897768304553984 x	#eaglestalk this offense is too complicated for these players, lots of confusion all over the field tonight, back to the playbook boys.
90719393_380896150846701568 x	Do you get the feeling this #eagles offense is too complicated for these players, lots of confusion all over the field, back to the playbook
90719393_380895408844967936 x	RT @ByDavidMurphy: Patrick Chung is questionable. He also is injured and may or may not return.
90719393_380890593133858816 x	RT @caseyfeeney66: This is embarrassing. Rule should be if same player requires injury timeout in same half, it's a timeout or unsportsmanl?
90719393_379320987676057601 x	#eagles wifi is an epic fail
