272751350_399160735882035200 x	I trust NooooOne! Especially you!
272751350_397856224697262080 x	If it Don't make dollers it don't make cents nigga!!! Foh
272751350_394077664921001984 x	You've got to know what your weaknesses are before the world reveals them for you!
272751350_393800733214400514 x	Don?t be afraid to lose yourself. The individual that comes out of the maze might just surprise you!
272751350_393797807968354304 x	?Not until we are lost do we begin to understand ourselves.? ~Henry David Thoreau
272751350_393496382163943424 x	If I could just get 2 seconds of time to myself I would be such a much happier camper. Just 2 lousy freakin seconds! #AboutToExplode!!!!!
272751350_392784356286017536 x	RT @PiscesAreUs: #Pisces females are hot women everyone wants.
272751350_392784342566449152 x	To be single or not to be single? That is the Question.
272751350_390880141196660736 x	OoooMyDamn have y'all seen Kim Lately?  #Sheeeeeeshh lookin good Momma! http://t.co/R24bTviFz4
272751350_390455149724184576 x	RT @DeionSanders: Learn to Manage your Time or Time will Manage YOU. (We ALL get 24 hours). What you do with your time is what Separates us?
272751350_390449617961500672 x	RT @XSTROLOGY: Give your #Cancer space but not too much to the point they question the relationship.
272751350_390449492824457217 x	Love is soo OverRated!!!
272751350_389807990926495744 x	@jus_jonesy nope I move the first or second week of November. Wussup!?
272751350_389797050357141504 x	@jus_jonesy When are you gonna let me see you and the baby? Imu!
272751350_389791426592395264 x	I can't stand a fishin ass nigga!! Especially when he's supposed to be my nigga!! Smh!
272751350_388047169724628992 x	Feeling Smiley ;-)
272751350_387362979026849792 x	My Situation Right Now. Studying to retake this Skills Test! I gotta pass this time! #Focused #Determine http://t.co/NcBUHA1C5F
272751350_387212343262064640 x	I can't function Properly without one! #Gm All http://t.co/UFdyhXlb2p
272751350_387027695974232064 x	@Bombchellez lol it gets like that sometime
272751350_387034535231488000 x	@Bombchellez lol Do it!! (In my big Sean voice)
272751350_387027202136899584 x	@___lovejones @PiscesAreUs @ZodiacAreUs BOOM!!! There it is!!!!! Understand It!!!!
272751350_387026939959324672 x	RT @___lovejones: ?@ZodiacAreUs: #Pisces are loyal but not stupid. We're loyal to those who are loyal to us?
272751350_386951160906940416 x	Damn Giants!! 0-4 wtf!! Smh it's a shame cus Eagles ain't to far behind. Ima still keep hope for my boys tho. #TeamEagles #ItsALoyaltyThing
272751350_386637900148125696 x	@Eniddxx3 @PiscesAreUs @ZodiacAreUs agreed
272751350_386637626008436736 x	@TR1PPY_ right that is far from true!
272751350_386485703053692928 x	Goodmornin all! Time to go fetch my family some breakfast.
272751350_386484932992049152 x	@PiscesAreUs That's a Damn Lie! Not this Pisces
272751350_386402482853011456 x	Uuugh No nigga Did u think that was gonna turn me on...Hell to the Naw! U can play by yaself tonight! I'm Gucci...
272751350_386373533909409792 x	So excited to get me and my babies out of philly!!! Its took me long enough! November were out of here!! Praise em!!
272751350_385160730598588416 x	This school mom thing might require a lot more patients then what I thought I had! Trynna teach my baby to be the best she can be! #Patients
272751350_385152081008807936 x	Retaking my state exam. I Must past this time!
272751350_385141890674196480 x	http://t.co/cSwczBalsK
272751350_384850260822343680 x	@Sarey_Burlesque well pls let me know ya secret to the weight loss cus it's just not workin to well for me lol
272751350_384851891739697152 x	@Sarey_Burlesque i've been trying but I stay the same Damn size! N yea Maybe I need to work out which I haven't really been doing.
