2165992136_395783740011446272 x	RT @ladygaga: TUNE IN NOW FOR MY LIVE PERFORMANCE AT #ITUNESFESTIVAL http://t.co/y8iL4EgQYA
2165992136_395783081547689984 x	RT @BensonHaleBR: Vote em PLL e Lucy Hale no People's Choice Awards 2014! http://t.co/FHxbhNiz0C
2165992136_395782535122124800 x	RT @justinbieber: i love music.
2165992136_395781726942687232 x	RT @Real_Liam_Payne: Happy Halloween here's my pumpkin attempt I'm very proud of myself and that I can now handle sharp objects :D http://t?
2165992136_395779819599704064 x	RT @brantdaugherty: Noel Kahn.
2165992136_395778929631313921 x	RT @amandabynes: drake is gorgeous
2165992136_395778912673738752 x	RT @lucyhale: Who is excited ?! Less than 2 weeks away ... http://t.co/r6cedbu4xq
2165992136_395778905652465665 x	RT @lucyhale: So @officialR5 told me not to touch their stuff at the rehearsal space. I clearly don't follow rules. http://t.co/cjRf3YkVd2
2165992136_395778894810206209 x	RT @lucyhale: Happy birthday to one of the nicest, Coolest guys around...@tylerjblackburn ! He's about to take over your TV screens w/ Rave?
2165992136_395778887663099906 x	RT @JoelOsteen: God will not give you more than you can handle. If you have a big challenge today, that means you have a big destiny.
2165992136_395778880876736512 x	RT @lucyhale: HAPPY THANKSGIVING to all you Canadians out there!
2165992136_395778851306864640 x	RT @IANMHARDING: @lucyhale GOOD. MORNING. http://t.co/jCGhab54CA
2165992136_395778841311842305 x	RT @IANMHARDING: Look what I found. @lucyhale http://t.co/WhrpjrOSbY
2165992136_395778830092103680 x	RT @lucyhale: Y'all Halloween episode was awesome and Ravenswood is freakin great toooo! So exciting
2165992136_395778822680756224 x	RT @lucyhale: Excited for the PLL Halloween screening IN A CEMETERY tonight. ???
2165992136_395778808243953664 x	RT @lucyhale: Where my eyebrow girls at ?
2165992136_395778646880681984 x	RT @msleamichele: TEXT CHANCE to 50555 to give $10 to @ChrysalisLA an amazing org that Cory and I supported together ?#chance2change http:/?
2165992136_395778635807719424 x	RT @Pharrell: HAPPY
2165992136_395778628572561408 x	RT @Pharrell: Man can never be a woman's equal in the spirit of selfless service with which nature has endowed her. - Gandhi
