15119617_395803051048460288 x	N?s, enquanto comunistas, pedimos um "basta!" ? isso!
15119617_395403631207268352 x	partidos campe?es no ranking nacional de corrup??o,
15119617_395816028527026176 x	Os regimes monaquistas que oprimem os prolet?rios espanh?is,ingleses, deve ser destru?do por meio da guerra popular.O Povo deve derrub?-los!
15119617_395815238836035584 x	Os monarcas sobrevivem no luxo as custas do suor da classe trabalhadora,? a hora da classe trabalhadora dar um basta nisso !
15119617_395812764666458112 x	Quem deve deter os meios de produ??o ? o povo e n?o um bando de monarcas parasit?rios que vivem no luxo as custas dos prolet?rios.
15119617_395812523036778497 x	? a hora dos povos do continente europeu que vivem sobre monarquias autorit?rias, se rebelarem contra elas, e derrubarem elas.
15119617_395811727889022976 x	Os trabalhadores ingleses sofrem sendo demitidos em massa pelas empresas capitalistas que s?o controladas pela monarca autorit?ria Isabel II
15119617_395811257816596481 x	Na Inglaterra enquanto a fam?lia parasit?ria do pr?ncipe William ? alvo de flashes da m?dia,
15119617_395810523939229697 x	os trabalhadores espanh?is sofrem  sendo demitidos em massa pelos grandes capitalistas.? a hora do povo espanhol derrubar a monarquia !
15119617_395810158783127553 x	Na Espanha enquanto o Rei Juan Carlos se farta no seu pal?cio com sua fam?lia parasit?ria,
15119617_395809645165424640 x	Os monarcas s?o os grandes respons?veis pela opress?o dos trabalhadores,e devem ser derrubados como os bolcheviques derrubam o tirano Czar.
15119617_395807934409482240 x	Chegar? um tempo que os ingleses,os suecos,os ?rabes,espanh?is, holandeses,etc. Se revoltar?o contra as monarquias que governam esses pa?ses
15119617_395807329137876992 x	E, enquanto nos dedicarmos a um objetivo comum que ? denunciar esse sistema selvagem e explorador que ? o capitalismo, venceremos !
15119617_395806981799174144 x	O comunista, enquanto revolucion?rio, deve indignar-se com essa situa??o que o capitalismo imp?e aos trabalhadores!
15119617_395806905794179072 x	enquanto seus patr?es burgueses sobrevivem ?s suas custas.
15119617_395806866044751874 x	Mas o comunista deve hastear a bandeira da justi?a, e amparar esses trabalhadores que acabam afundando junto com o sistema,
15119617_395806782079004672 x	deve a sua sobreviv?ncia, a sua perman?ncia somente ao trabalhador, que paga as custas dessas crises monstruosas.
