247441921_383061880954454016 x	#CongratsMitchandCam #ModernFamily
247441921_392460205336043521 x	RT @ShaneVictorino: Thank you to the @Phillies and the fans for the opportunity to tip my hat to you. It meant a lot to me. http://t.co/CmU?
247441921_392459301262196737 x	@ShaneVictorino do us all from Philly a favor, and #BEATTHECARDS! #withlove #philadelphia
247441921_391018316690915328 x	RT @drunkcoatesy: Last October, we were bitching about no #Flyers hockey. Same problem this year apparently...
247441921_390284623202095104 x	@susiedavison12 BARF
247441921_386711080711757824 x	@Peopleofsepta this lovely couple headed to pendel! #truelove http://t.co/yNKDzi4Cn2
247441921_386632280225353728 x	@XFINITYLive Really? No flyers on the big screen?? #rookiemove http://t.co/v7Wj5vUQh1
247441921_384880594662211584 x	@Jon_Gruden just said "spider two wide banana".. everybody take a shot!  @975TheFanatic
247441921_384147590046302208 x	Damn, #Jroll ending that game in style! #wow #sctop10 #spoilers
247441921_383041836958633985 x	These umps  doing  the #PhilsFish game better be on #SCnottop10 on friday. Those 2 calls in the bot of the 7th were horrible. #WOW.
247441921_380847360311820288 x	WHAT TIME IS IT?? #GameTime #ThursNightFootball
247441921_376068919125356544 x	@madison1218 @KevinHart4real he has been one of the better ones to come on.l so far. Good luck winning
247441921_375814470649778176 x	RT @MichelleDBeadle: Work harder, bro. and yeah, had to google you. RT @MikeMiss975: Is it out of line to point out the lbs 'round michelle?
247441921_368480891883900929 x	#LLWS 7 inning no hitter! #WOW #grantholman http://t.co/uoXKBFBN7d
247441921_368480156781785090 x	@KNegandhiESPN are you more upset that todays the end of a great era, or more excited to see the new #SandbergEra! #philliesbaseball
247441921_368466546198581248 x	RT @JustinDeFratus: Bittersweet day. Charlie will definitely be missed. Very excited for Ryno though. Demands a lot from his players!
247441921_330866263951822848 x	If that catch by hamels isn't  #1 on #sctop10 I quit at life. #lookwhaticaught
247441921_368466527441657856 x	RT @KevinFrandsen: Agree with Ryno, this is Charlie Manuel Day! Meant so much to me as a player, but meant more to city of Philadelphia and?
247441921_368461461687111680 x	RT @mikestutes: I want to wish Charlie Manuel all the best. Great coach,great leader,and great person. Thank you Charlie for all you have d?
247441921_368461376920236032 x	RT @scotteyre47: @BNightengale Charlie doesn't know how to quit! He will be missed in phillie. It is a pleasure to say I pitched for him.
247441921_368461331885985792 x	RT @KNegandhiESPN: I miss Cholly already.
247441921_368461309652008960 x	RT @Plesac19: Easy to hammer on Charlie Manuel BUT he did a fabulous job managing in a VERY tuff sports town to succeed in. Hats off to a v?
247441921_368459087094513665 x	RT @TheFakeESPN: After exposing Braun & Cervelli, A-Rod's associates allegedly framed Aaron Hernandez and blackmailed the Broncos' fax mach?
247441921_366249318824423425 x	Watching the #llws and this one little guys favorite player is @BenRevere9. #ilikehistaste
247441921_365236178334654464 x	@JeffSkversky YOU HAD 1 JOB JEFF..  #hiddenballtrick??
247441921_363311959195652096 x	@Litehousefoods is giving away over 500 prizes in the #DipEatPlay Sweepstakes! Enter now! http://t.co/8qDneKoLjQ
247441921_360961890916114433 x	@Philly_Nut_Nick I guess my invitation got lost in the mail?
247441921_360916767217946624 x	RT @drunkcoatesy: Is the Royal Baby gonna go to Hogwarts? Just wondering..
247441921_360916203511877633 x	"@JalenRose: Great times at Cedar Point w/my kids and nephews! @Hello_MrPatton @Troyrose15" Did you ride the Dragster?? #BestAmusementPark
247441921_360915742033575936 x	Get to work @espn.  Laynce Nix robbing Feilder has to be on #ScTopten. #HeymomlookwhatIcaught
247441921_360445731397574657 x	Phillip Lahm making #SCTOPTEN!!Making the Lahm Name PROUD!
247441921_359132225633521664 x	RT @BenRevere9: This dude Bynum misses the whole season and gets 24 million unbelievable..
247441921_355158294572171265 x	Im so exhaused that I can't physically get up to get a shower or go to bed.. #sleepingonthestairs
247441921_355157627115806722 x	I've already worked 48 hours this week, and its only Wednesday... Never been this exhaused before in my life. #workingclassproblems
247441921_351886925235359746 x	http://t.co/DHLthEMFJr
247441921_351724463139729412 x	#RightOnFightOn  Best of luck on a speedy recovery today, dutch
247441921_350453794267594753 x	RT @ShtPhilyFansSay: "Thank God we traded Jrue Holiday. Now Evan Turner can take over."  #ShitNoPhillyFansSaid
247441921_350453608640299008 x	RT @fakecoatesy: SHIT!!! I just bought a Glen Rice Jr. #Sixers jersey. DOG BALLS!!!
247441921_350417400220483585 x	@_yeingst about 4 years from now when the sixers are relevant again, and everyone starts jumping on the band wagon again. #myselfincluded
247441921_350417095860817921 x	RT @PeytonsHead: The 76ers just drafted the tallest 12 yr old in history. #HowOldIsThatKid
247441921_350416707376001024 x	My question is, Where the hell was I when the hornets became the pelicans?? #wtf
247441921_347560800568868864 x	#OppsIdiditagain #PulledaBritneySpears #Baldandbeautiful http://t.co/7Gs4u1YRFh
247441921_344483250321887232 x	RT @mrace_ventura: #ImSoLazyThat when I drop an ice cube, instead of picking it up, I just kick it under the refrigerator.
247441921_344435280146751488 x	@prestonelliot #underpressure is by far the best queen song. Thanks for making me fall in love with it that much more
247441921_344254241457700865 x	I'm watching the fucking #bachelorette right now.. I NEED A LIFE.. #L7Weine #LOSER
247441921_344230401520332800 x	@CecilyTynan the creek in my backyard getting closer to creasting! http://t.co/H5vte4RGBB
247441921_344223815393501184 x	@6abc wheres the flood watch in trevose?? #mondayfunday http://t.co/Y24SQ72dJG
