22051339_380864001150033920 x	@SpikeEskin He's too good.
22051339_368756499222261764 x	Fear the Wolf!!! #otbc
22051339_380866503505354753 x	@SpikeEskin And Mayock simply can't stop talking.
22051339_396460444669726720 x	@SpikeEskin Was tonight the Flyers Waterloo? Do Flyers fan know what Waterloo is?
22051339_396430285904289792 x	@FanSince09 Sandpaper.
22051339_396056639306219520 x	RT @FanSince09: Lotta people in south philly are wearing the same "Italian guy in a wifebeater asking me if I'm too old to be doing this" c?
22051339_395731980194951168 x	@CrossingBroad My brother-in-law is a Sox fan who didn't like Vic signing. I bought him jersey for Xmas to be a smart ass. I might throw up
22051339_395732298622304256 x	@CrossingBroad And I'm going up there next weekend. Big loss for me.
22051339_395731085474430976 x	I'm not sure why I even like sports at this point.
22051339_395721982459002880 x	@SI_PeterKing Free HGH too?
22051339_395704785741307904 x	@SI_PeterKing Lofty nugget. I think.
22051339_395703757738356736 x	@SI_PeterKing Okay.
22051339_395703665832779776 x	@Winless4Wiggins Brett Brown is from Maine. He's reverse tanking us so the Celtics get Wiggins.
22051339_395694642416865280 x	The Alabama fan tweets to @ClayTravisBGID are some of the funniest/saddest things I've read in some time.
22051339_395526126384062465 x	RT @FakeWIPCaller: Tonight is a must-win game for the Sixers
22051339_395003698419871744 x	@TonyBrunoShow You do realize that Clemens left UO before Chip Kelly arrived right? #moron
22051339_395005602185109504 x	@TonyBrunoShow It wasn't the same offense in 2005-6 when Clemens was the QB but please don't let facts get in the way.
22051339_394551521008160768 x	@MikeMiss975 He's got some Andy Reid in him re: game day management.
22051339_394539018819731456 x	@delcotimes started in my house an hour ago.
22051339_392461185926586368 x	@SpikeEskin Does anyone have the heart to tell him it's yarmulke?
22051339_391993400897306624 x	Can we stop with the Nick Foles is the second coming of Christ talk now?  I'm looking at you, Angelo Cataldi.
22051339_389476875615363072 x	@SpikeEskin I think Vick should start next week.
22051339_389474099690745856 x	@SpikeEskin He's just more relaxed in the South.
22051339_389238039538827264 x	@awfulannouncing Very against.
22051339_389185623229497344 x	@slmandel Tessitore Effect in full display in Happy Valley.
22051339_389182678165372928 x	Wow. The Flyers Power Play jackpot is up to $1.2 million
22051339_389182330730201088 x	@zoowithroy It's the Ghost of Lloyd Carr. #hesdeadright?
22051339_389181388744056832 x	@evilbillobrien I'm stunned that Michigan got a favorable call in a big spot.
22051339_389179938517319680 x	RT @celebrityhottub: Brady Hoke was so good as Earl Sinclair on Dinosaurs.
22051339_388774328172810240 x	Leaving work early results in me catching @gonzoCSN on Philly Sports Talk. It's the little things.
22051339_387350669239525376 x	@Braves fans doing themselves proud with all the Deport Puig nonsense. The new South, everyone!
22051339_386947816234688512 x	RT @zoowithroy: They're gonna review this and decide that Victor Cruz thought he was interfered with
22051339_386933405424029696 x	@AshleyKMayo It's pretty embarrassing that NBC is showing it tape delayed.
22051339_386923537032036352 x	@TheRealDGunnCSN Only if the media decides to create one.
22051339_385437650385403904 x	@CrossingBroad Hunt for Dead October
22051339_384303279947382784 x	@thegoalkeeper We remembered how to score! On the ball City.
22051339_384302535563296769 x	What a strike by Howson!! #otbc
22051339_384300012546846720 x	@drewmagary You forgot the fried mushrooms and Cadbury bar.
22051339_383357110568120320 x	@slmandel Dude, the IGHFARM is a pretty big deal.
22051339_382902603073720321 x	@JonandSeanShow Too bad the QB of the future isn't on the roster.
22051339_382648644077625346 x	Anyone know where I can see the highlights of the @NorwichCityFC big comeback today? #otbc
22051339_380900183649046528 x	@SI_PeterKing Denver will destroy KC. Twice.
22051339_380884511980261376 x	@RealGlenMacnow Money is more important than putting out a good product.
22051339_380880834238349312 x	@LesBowen MikeMayock who hasn't stopped talking all night says its a cramp so it must be true.
22051339_380866724184485889 x	@drewmagary Leave him alone. He came straight from work.
22051339_380859567414181888 x	@gonzoCSN Shovel pass!!!!
22051339_380855458502037504 x	Hey @drewmagary thanks for pointing out how much Mayock talks. #hewontshutup
22051339_380851010518155264 x	Can everyone stop acting surprised that Reid got cheers? We cheered McNabb when he came back as a Redskin.
22051339_380849323912994816 x	@CrossingBroad He kinda looks like Santa so there's that.
22051339_379768112088121344 x	@beer_radar I live down the street. Worth checking out?
22051339_379693031982919680 x	Thanks to @brianstartare for hosting today's FOKN golf event.
22051339_379278146258079744 x	@SpikeEskin I'm telling myself we would have messed him up if we got him.
22051339_379015122397954048 x	@SI_PeterKing In Canada?
