273189570_392131676387962880 x	@RoobCSN Barkley was awful but his arm strength was noticeably better than what we saw in preseason
273189570_396641396150779904 x	@Casey_McMahon thank you Casey!
273189570_396640464784211968 x	@jessicaanzelone thank you!
273189570_396689775828021249 x	RT @feelgoodfrank: Happy Birthday to @Bensmithten. There will be a cake for you at Prizm upon your return.
273189570_396686378110423041 x	RT @chessiemarie: Happy birthday @Bensmithten ???
273189570_396686150443601920 x	RT @AndrewDee91: Happy birthday @Bensmithten aka Harvey Spector!!! Can't wait to celebrate tonight ?????????
273189570_396686115580559360 x	RT @DustinPfaff: Happy birthday @Bensmithten let's see if we can remember it #getWeIrD
273189570_396640377299431424 x	@kelleyx0 thank you!! Can't wait!
273189570_396630543145529344 x	Shoutout to my sister @brittykittyxox for the birthday gift. She knows me too well http://t.co/XHOB6wRIHG
273189570_396618821860995072 x	@Ike58Reese he's catching all the flak for it but  not his fault. Refs job to break it up, you don't think about that while you are fighting
273189570_396478352023777281 x	So drunk that I thought my newsfeed was my mentions
273189570_396476358781857792 x	?@AndrewDee91: @Bensmithten if she knew how bad I wanna make this work #lemar @OnYourMarc12? @JoeClementi23
273189570_396411625004990464 x	Space Jam is on one of the hbo channels right now. You're welcome
273189570_396395307883196417 x	Breaking out the guyliner for my pirate costume
273189570_396369134272790528 x	RT @SportsCenter: THIS JUST IN: Jaguars WR Justin Blackmon suspended indefinitely for violating NFL's substance abuse policy.
273189570_396362036483198976 x	?@mrdougellin: http://t.co/e2y83NsFkt? @Nowicki23 @MattRestaino1 @MiguelCahill26
273189570_396338174085300224 x	@bbyymalik we have missed you!
273189570_396328577567690752 x	RT @jakemsprague: Last night was a blur of slutty cats and "Alejandro" by lady gaga
273189570_396323031603097600 x	@kristinanull @Daniellexo35 you sprawl to the ground, do a push up, get back to your feet, and jump. That's one. They are torture lol
273189570_396323435262926848 x	@kristinanull they are the staple exercise of crossfit
273189570_396311814620737536 x	Going out with law students for the first time tonight. Don't know if they are ready for my fresh out of undergrad rowdy ways
273189570_396309665471942656 x	RT @iPhoneTeam: If '?' isn't in your recent emojis, you're doing it wrong
273189570_396299532763287552 x	RT @WendellPierce: Millions of Americans will see their Food Stamps cut today, yet we give Billions yearly to oil companies in welfare. Sha?
273189570_396277754171105280 x	RT @Tomthunkit: If, Then #UniteBlue http://t.co/jPC2O9AblM
273189570_396272076501155840 x	It's pouring out and I'm in a vneck #dumbass
273189570_396270900816777216 x	The last two minutes of Bad Guy off of MMLP 2 gets me HYPED
273189570_396257745461993472 x	Eagles future QB in the newspaper this morning http://t.co/pRfQv5m00l
273189570_396267419729399808 x	@KingClem75 @Dannyf0x if I'm chip I'm telling howie you do whatever you got to do to make it happen
273189570_396256354148827136 x	Uh oh #NoShaveNovember
273189570_396256152256016384 x	RT @LOLGOP: GOP: Anyone who thinks the government should be making health care decisions for everyone is an elitist. Also, abortion should ?
273189570_396126264899424256 x	RT @MannyPacquiao: I am going to do my best to put my name back on the top of boxing. http://t.co/GAEivTAUiC
273189570_396122747698700289 x	Dolphin's OC is awful
273189570_396115594816540672 x	RT @JeffDarlington: At the risk of overstating it, the Dolphins? season is on the line in the upcoming 1:24. Yes, Mike Sherman, you throw t?
273189570_396106517310881792 x	Holy Hell what a run
273189570_396098574490300416 x	Of course they call it a hold
273189570_396093601819938816 x	RT @AudreyVanBaush: ?@HuffPostDC: "Captain Justice" is how you will address this defense attorney from now on http://t.co/odItrCH0M9?@Bensm?
273189570_396040939569160192 x	Foles is gonna bounce back this weekend
273189570_396037835964559360 x	RT @j0o_momma: No kid has actually said trick or treat yet
273189570_396037663025020928 x	Big week in fantasy
273189570_396033051907854336 x	?@kouliebear: Come a little closer then you'll see... Things aren't always what they seem to be.?what Ive been telling the trick or treaters
273189570_396029357938208768 x	RT @robdelaney: If you throw the candy past the kids, they run after it & you have like 3 seconds to show their parents your dick.
273189570_396027839990226944 x	RT @FDot24: Happy Halloween, I'm giving out Four Lokos if anyone has a sweet tooth.
273189570_396019893390147584 x	?@big_ben_clock: MUA HA HA HA HA HA HA HA HA!? @JennePasta
273189570_396018766124810241 x	?@JohnnyDramaChas: I'm telling you once your cars been stolen it never runs the same. It's like a guy sleeping with your girl.? @Nowicki23
273189570_395975516098166784 x	@StinkPinkChubs @megnimchuk vodka-waters instead of beer
273189570_396009133767262209 x	@megnimchuk @StinkPinkChubs it's bad by itself but with some lime and vodka sounds like it could be pretty good
273189570_396009729022894081 x	@StinkPinkChubs @megnimchuk come to Johnny Utahs for my bday Saturday we will try it
273189570_396017746841849856 x	@megnimchuk @StinkPinkChubs sounds like a winner I'll have to try it this weekend
273189570_396008874576064512 x	Genuinely upset with the flyers organization with this last offseason and moves this season
273189570_396006743471161344 x	RT @CSNPhilly: The Eagles' No. 1 priority? Finding the next franchise QB, says chairman Jeffrey Lurie: http://t.co/Sqp6arnudO
273189570_395975557072314368 x	RT @oczimmer: i'm going as #DanaGordon in honor of the #entouragemovie green light! @EricSequeira
273189570_395956927936864256 x	RT @HistoryInPix: Walrus' reaction after getting a birthday cake made out of fish. http://t.co/2Yzei2I8GY
273189570_395948449356853248 x	Siri calls me Heisenberg
273189570_395946798139068417 x	RT @gonzoCSN: Wow @MBarkannCSN @ike58reese http://t.co/pxOcdVVCyJ
273189570_395944686831296513 x	RT @CNN: A study of smokers and their non-smoking identical twins has confirmed smoking does age you. http://t.co/IrEptpA07z
273189570_395937720746651648 x	RT @FDot24: @Bensmithten I expect a 2am bull ride. If we're alive.
273189570_395935734211047424 x	Going to Johnny Utah's on Saturday for my birthday. Say my name at the door for 1/2 off drinks 9-12. Hope to see everyone there
273189570_395923274200518656 x	People still wearing costumes in law school. Most of them ages 26-30 something
273189570_395905146187972608 x	@ImThatDude_94 idk man I'm pretty disappointed overall
273189570_395899029911273472 x	RT @JohnnyDramaChas: RETWEET If you think Tarvold would make a great Halloween costume. #vikingquest #victory http://t.co/Yr1JyEa3nl
273189570_395891196779696129 x	@klo318 you gotta want it Kevin
273189570_395890002476822528 x	@kelleyx0 tell your dad he's invited Saturday
273189570_395882836642639873 x	RT @richardhine: Report: George Zimmerman left behind bullet-riddled target for wife to find | The Raw Story http://t.co/ZH5dRyBFOg
273189570_395764601566269440 x	I hate Boston
273189570_395752995943895040 x	Now the best 4 months of the year begin
273189570_395727341500239872 x	RT @MagicJohnson: Michael Carter-Williams put up 22 pts, 7 rebs, 12 ast and 9stl tonight in the win over the Heat.
273189570_395724275170017281 x	Carter-William's stat line is unbelievable
273189570_395719518393081856 x	MMLP 2 is very disappointing
273189570_395702505255870464 x	RT @robdelaney: .@BarackObama i build a website where women can send a Real queef from anywhere in the world to my PC. LEt me help you ?
273189570_395696601597214720 x	RT @FakeWIPCaller: You're doing it wrong, Sixers #30thpick
273189570_395669986225553408 x	RT @WendellPierce: @forkdude52 Your cancelled policy wouldn't have covered most of healthcare. It was cancelled because those policies are ?
273189570_395669959906295808 x	RT @WendellPierce: @Fedup_Mom Obamacare was initially a Nixon, Heritage Foundation, and Mitt Romney idea. Now the conservatives want to rep?
