1234518570_362624839179186177 x	New dress, ladies restroom pic http://t.co/SH5CMCaRwU
1234518570_362631667346714624 x	RT @Sierra0fficial: https://t.co/5nS5LEIXZh #reasonswhyracismstillexists
1234518570_399917063042396160 x	@Chicagoista Aaahhhhh!!!!! Nooooo! I loved that Irish Bar!
1234518570_399908842068135936 x	RT @omg_carrie: Oh goody I get to stand next to the man who reeks of stale cigarettes on the bus this morning
1234518570_399906100213846016 x	RT @yarapie: Swear every customer was super faded tonight #sundayfunday
1234518570_399905954713440256 x	RT @Cosmopolitan: SHOWER SEX. THE BEST KINDS OF SHOWER SEX: http://t.co/oZRXcBCM3u http://t.co/FdSYhr3yKT
1234518570_399900320647507968 x	My morning routine http://t.co/y1AMlmYYG7
1234518570_399791098068877312 x	RT @rachaelprouhet: I lost my keys.. Can I borrow yours?!  https://t.co/ivmQHBAqT0
1234518570_399790696443305984 x	RT @Miss_arizonaxox: I literally just need my tables to leave because I need a damn break! #crying
1234518570_399790272894091264 x	RT @usweekly: What a beautiful family! Kim Kardashian and Kanye West step out for a walk with baby North: http://t.co/LjPhBqPdEH
1234518570_399790206552797184 x	RT @usweekly: She may not be Miss Universe 2013, but see what Miss USA, Erin Brady, looked like in the swimsuit competition: http://t.co/xt?
1234518570_399789611523653632 x	RT @Cosmopolitan: Not feeling turkey this year? Here: 10 INSANE turkey creations for you to try on Thanksgiving http://t.co/A4uTPDjgAw http?
1234518570_399789438831566848 x	RT @kyliedecreexo: ?@HowiEazy: Interracial couples do it better ?? http://t.co/NGFlsgNpTv?@Johntucker990
1234518570_362625496195932161 x	@ObamaGTFO @gracespence lol
1234518570_399788633449701376 x	@Jcom419 @BamaJohn2 @allys_sons @ArmyWOPilot Jarod would you choose yummy chocolate cupcake or plain vanilla? Do you like CoCo in ya coffee?
1234518570_399682233021132800 x	RT @allys_sons: @blackconser2012: Genophilia = Love of own's own race. A natural instinct that Cultural Marxists want to ban (at least for ?
1234518570_399212425641091073 x	I'm feeling very militant today http://t.co/O49moh1Ewk
1234518570_395697183275507712 x	RT @Cosmopolitan: Ladies! The way we huddle over our phones constantly is basically a body language boner killer. Oops.
1234518570_395696922591125505 x	Who is this country would want to go on government run healthcare? If you work, employers provide healthcare plans right? #Whatsthebigdeal
1234518570_395679171059277824 x	@allisonalsop @PrepperChicks @isurvivalskills Really?
1234518570_395678727339646976 x	RT @SexuaIHumor: Can you last all 10 pictures without being disgusted?!? ??? http://t.co/w2bDQawMLT
1234518570_395678450523992065 x	RT @OfficialTJSteez: Mixed Girls >>>> ????
1234518570_395678003872559104 x	RT @Mileys_Bun: Look what I got in NYC today @Cosmopolitan @MileyCyrus #mileycosmo http://t.co/tKqsWmoaXK
1234518570_393267618678710272 x	I have to wait til next summer to wear short shorts! #Bummed #depressing #coldweather http://t.co/flOJIGASwk
1234518570_392691219597254656 x	RT @Guys_Codes: I love Hooters girls.. http://t.co/l6ztK9IwpE
1234518570_392690794827509760 x	RT @Heather_Ranayy: Hooters girls ?? http://t.co/uGBsfgcaPc
1234518570_392690684756385792 x	RT @carolinnneeeeee: Chief loves hooters girls  ????? @KTorps http://t.co/EFKhtLSfaX
1234518570_392689936249257985 x	RT @ashathoots22: hooters bikini contest. :) #hooters #bikinicontest http://t.co/J2SwObh8z3
1234518570_392686591035981824 x	RT @itsTEDpage: I've developed that "fuck it" attitude towards everything
1234518570_392685346552434689 x	RT @ThatWhasianGirl: ??? #truth #TeamBlackBoys http://t.co/d8BFJzwR8n
1234518570_392684734452469760 x	RT @Lovethemzebras: Interracial couples ?????. #TeamBlackBoys #TeamBlackGirls http://t.co/oZAyvj5KVx
1234518570_392684675467997184 x	RT @SkylarRaquel_: White guys are just so boring. #TeamBlackBoys . ?
1234518570_392679594093838336 x	Good morning! http://t.co/iRId1EhnGI
1234518570_392679300966526976 x	RT @allisonalsop: @ConNewsNow This is why we can't have nice things.... http://t.co/L4ps1A8HvD
1234518570_392679172918624256 x	@allisonalsop thank u 4 the follow
1234518570_392679046066081792 x	@heatherkrause_5 thanx 4 the follow
1234518570_392678948020051968 x	@ScorchingImages thanx 4 followng!
1234518570_392678876180000768 x	@jordan_darria thanks for following! Relatively new to Twitter
1234518570_391375720359796736 x	Listening to 101.1 FM http://t.co/J6vned33g2
1234518570_391363154095009792 x	Going out with my friends! #itsfriday http://t.co/n9x7uFdANg
1234518570_382266115851681794 x	Doing some modeling in Chicago today http://t.co/TZ0zN99RsB
1234518570_362762484525973505 x	@oohsarahh @ObeyHeadSauce Messiah, if you are brave enough to eat her, I will send you $20 if your mouth doesnt wilt and fall off...Gross..
1234518570_363302718065999872 x	@oohsarahh @ObeyHeadSauce Listen here lesbo if you post a pic sucking off @ObeyHeadSauce I will believe u are real. I tell guys my real pics
1234518570_363287230023876609 x	@ObeyHeadSauce Look u need to recruit help to defend YOUR OBNOXIOUS tweets towards women. I'm calling you out on it, NOT tryin to get wit ya
1234518570_363277435283832832 x	@ObeyHeadSauce You obviously hate women I think you are boarderlne gay. Calling us bitches and hoes makes you look like a caveman. No rapper
1234518570_363286227761377281 x	@ObeyHeadSauce I'm new to Twitter but I'm not new to guys like you. You are disrespectful to women and if you can't defend that, you're weak
1234518570_363278893085507584 x	@ObeyHeadSauce I dont care if you are a thug, if you get shot in a drug deal that goes bad, just get a new thug lol. Your mentions are funny
1234518570_363278456135495680 x	@ObeyHeadSauce LOL! What about biracial women like me? I like white men because they know how to treat a woman, make more $$$, big dicks too
1234518570_362764178064277504 x	@twerk0nmytweets @ObeyHeadSauce LOL! Twerk, you don't know me. Nice pics, your mom is prettier than you. Pic of your food #ThickGirlThursday
1234518570_362720485139681280 x	@ObeyHeadSauce LOL! I would cheat on you left and right... with white guys :)
1234518570_362633813278466048 x	RT @Hooters_Girl_: We come off as these really attractive, healthy eating, and living girls but we could all be on the show 'True Life I'm ?
1234518570_362417500207607808 x	#Polarizing #division #NoBama #foreignpolicy #Economy #nationaldebt #ObamaCare #poverty #unemployment http://t.co/tv9fCPs0Vr
1234518570_362412901551726593 x	#WhiteGirlWednesday I'm half white, half black... have a great night everyone! Bed! #TeamBlackGuys #TeamWhiteBoys http://t.co/jflW2av9dL
1234518570_362287644295700480 x	@ObeyHeadSauce Do you think you're followers are "I'm so into you" https://t.co/dbxs0A2MaU
1234518570_361817072818335746 x	@brookebabie You're not white. You're biracial. Therefore you are no longer a "snowbunny"! NOT a "white girl". That's like me, I'm biracial
1234518570_357981362143248384 x	How was everyone's #WhiteBoyWednesday ??
1234518570_357977415215108096 x	#MixedGirlMonday I know it's not Monday, beating the crowd! http://t.co/peYujTa5y1
1234518570_357961777478250496 x	@gracespence @brspence4 @hispence4 lol youre sister tries to top you. She needs a better camera! You are prettier. Off to work! #hootersgirl
1234518570_357949951843647489 x	@gracespence @brspence4 @hispence4 lol no, you would look more like me. My mom is white, dad black
1234518570_357939663408857088 x	@gracespence You need to submit that to #WhiteGirlWednesday !!! lol
1234518570_357881308585799680 x	Hey boys why ya holla at the thick girls? #ThickThursday
1234518570_356993478795862018 x	@TYLERGREEN632 @The_Sleeper4 That never happend. No one has died over this. Stopped traffic in LA, that's it. It's all so stupid
1234518570_356922234209701888 x	@gracespence You are pretty! I just had to say that
1234518570_356921573950750723 x	RT @Wait_Ress: Don't you dare ask me what I'm doing this weekend. #waitressproblems
1234518570_356918462326644740 x	Today. Job interview... http://t.co/0FgKUrXFoE
1234518570_350136065341923328 x	Congrats Chicago Blackhawks!
1234518570_337789427722121216 x	http://t.co/8BlxO7ZuVk
1234518570_337789060049424385 x	http://t.co/gBplWJ1h1K
1234518570_337788865848942593 x	http://t.co/JxcZ3EbWQn
1234518570_337788795640487936 x	http://t.co/OrVMXqE5hN
1234518570_337788569580081152 x	http://t.co/NwL4YTd2JO
1234518570_337788430597619713 x	http://t.co/YytYvrBLq3
1234518570_337788380299546625 x	http://t.co/X73mPU1KwV
1234518570_337788318408380417 x	http://t.co/oyWvBNlxUr
1234518570_337788264356388864 x	http://t.co/2nlc4Y60cL
1234518570_337788202008051712 x	http://t.co/YM3gnFIIq4
1234518570_337788135515754496 x	http://t.co/fQ61qdbvw0
1234518570_337788028745560064 x	http://t.co/UUer1hHaxF
1234518570_337787865671032832 x	http://t.co/ocm0sDGkG8
1234518570_337787778844741632 x	http://t.co/jPAiqCNe5z
1234518570_337787711509368832 x	http://t.co/EKz7Ocqr0a
1234518570_337787647856615424 x	http://t.co/0ia1pFAP3i
1234518570_337787535684165633 x	http://t.co/yDa4DYLaZt
1234518570_307872467274313728 x	http://t.co/Szqi2Um1xb
1234518570_307872393907539968 x	http://t.co/coTsdrBApn
1234518570_307872393903349761 x	http://t.co/f0WP6lnkzL
1234518570_307872171974340609 x	http://t.co/9tRHouDVmr
1234518570_307860569803866112 x	http://t.co/yXvYRtu4Vu
1234518570_307860514468413440 x	http://t.co/FFpyY9yWI3
1234518570_307860430125166594 x	http://t.co/uuGgoqEJu8
1234518570_307860343022034944 x	http://t.co/qSJE4pLtW9
1234518570_307860289280417792 x	http://t.co/klWQDY2xkp
1234518570_307860248478248960 x	http://t.co/hPS4yS3VED
1234518570_307858951305838594 x	http://t.co/EWwGVygmU5
1234518570_307858774763401216 x	http://t.co/gGA6aU1jPJ
1234518570_307858774700457984 x	http://t.co/7wTEjUQa8T
