135336396_86629129528688640 x	I have the biggest hot crush on #Drogo #yum #GameOfThrones
135336396_86645296804806657 x	@speaks2me Mine too! I wanna b nestled rite between them & hav their dragon babies! btw I'm so upset he's dead :( he was a REAL MAN! Hahaha
135336396_86607342480797696 x	So nice! Mmmm bloody steaks? RT @speaks2me: Grilling thick steaks and off to Tahoe in the morning. Summer time!
135336396_38250055349710848 x	Justin Bieber is asked about abortion.... WHAT THE FUCK does he know about abortion!!!??? Stop wasting news segments with this shit!!
135336396_38338295712841728 x	@speaks2me must have been the ultrasound when she saw the lesbian hair in her womb.
135336396_30698089887043585 x	I'm stuck in the office! :( RT @speaks2me Going to be 73? today...better get my winter gear out #leftcoastisthebestcoast.
135336396_30778150531104768 x	@speaks2me no not sick.... maybe sick in the head... but not sick! :D
135336396_948920779800576 x	@speaks2me k organic peanut butter? Cuz that's all I have...
135336396_947874057687040 x	I'm gonna make pancakes! Fuck yeah!
135336396_29637628852 x	Yes I would prob eat a person just for fun.. or atleast a chunk RT @speaks2me @sandyYpiru I love all things ZOMBIE. Eating human flesh=fun!
135336396_29636163358 x	@speaks2me omg I LOVE the Walking Dead... That was an amazing 1st episode! So much Gore puts a smile on my face :D
135336396_26018532101 x	Just got a bonus for comin to Satan's office on Saturday! :D
135336396_26041000194 x	@speaks2me he does now... he must feel guilty for recently buyin a Versace suit :/
