987487201_371776378301325312 x	@95Sports lol. Funny.
987487201_371775776783601664 x	@phillysoccerpg 3-1 union.
987487201_391761363095552000 x	@Sammy_Nicks hey u still coming down tomorrow
987487201_387411433971265536 x	@Sammy_Nicks active military is getting paid
987487201_391634401198899201 x	Gooooooaaaaaaallllll @PhilaUnion #playoffpush #doop
987487201_395990722132074496 x	@Kyle_SoB @TwoPoleKevin waiting for the day that #OlmecFC plays #millvillefc  What division u guys in?
987487201_395995371027300352 x	@Kyle_SoB u slackers. Lol. Well when u guys make it to big leagues hit us up. Lol we r in division 3
987487201_395994691378098176 x	@phillysoccerpg great article and read
987487201_395014479593095169 x	@michaelstrahan thought of u brother when I saw this. Cause i hate them too. http://t.co/pGDQduUn0x
987487201_395010181693988864 x	@GrantWahl @jrstlouis when is the Portugal vs Sweden games
987487201_395007079850979328 x	@WrestleChatNet not cool at all
987487201_393395351614656512 x	Love the new referee uniforms for fifa14 @EASPORTSFIFA http://t.co/TpAt2vbf0K
987487201_393098530602352640 x	@RHandJr Here are the details: http://t.co/rdYeOAMBD7?
987487201_391762150932631552 x	@thegoalkeeper so if Houston loses tomorrow. What's scenario for union?
987487201_391762912899244032 x	@thegoalkeeper k. Thanks man. Also do u know how long Casey is a union player
987487201_391585245411422208 x	@Sammy_Nicks hence the word bierbrunner. However I lean more towards German/Austrian
987487201_391586660372471808 x	@Sammy_Nicks what u doung today
987487201_391587264494862336 x	@Sammy_Nicks oh I also yelled at the ref twice today in Lu's game
987487201_391587160086032384 x	@Sammy_Nicks oh k.  Cool. What nursing home did u volunteer to do this at
987487201_391586590289825792 x	@Sammy_Nicks oh k. Yeah sandy just said that her grandmom said that she traced back to his christening papers from hungary
987487201_390615298904444928 x	@mererehmann_2 haha. This is too funny.
987487201_390613832714186752 x	@FOXSoccer @FOXSoccerDaily either way doesn't matter. They will not achieve anything in brazil
987487201_390577033463746560 x	My 6 year old insisted we buy 5 for 5 @chefsymon want to take my son to see the show. Age limit? Would u sign it. http://t.co/gumIuQXyBa
987487201_390589637192060928 x	@chefsymon thanks for reply. One last ?, could u advocate to make 1 show for kids @thechew  Has to be high interest as parents let kids help
987487201_390265949376761856 x	@mererehmann_2 hey. When is ur next home game. Saw u have a bunch of away games
987487201_390264488567775232 x	@fussballsusie don't have ask.fm meine Frage ist.  Was ist deine deutsche Top Elf aller Zeiten?
987487201_390260491496734720 x	@zacrigg @rogbennett Klose has scored more than plenty goals in serie a and Kaiserslautern
987487201_390174923442118656 x	@amobisays when can we get some fifa14 in man. Did u get a new 360 yet
987487201_390174561561751552 x	RT @brettyormark: RT and give me a follow for a chance to win my #CEOseats to Thursday night?s #Nets vs. #Heat game @barclayscenter !
987487201_390174127723933696 x	@SoccerByIves well if you're scared of Ghana than USA will never win a World Cup.
987487201_389583174025875456 x	@Sammy_Nicks yo were u at dirt bike race? How bad was Luther's crash
987487201_389582056130621441 x	@Sammy_Nicks I dunno why. We will be eating at Jim's before u know it.
987487201_389384662881406976 x	@thechew @DaphneOz @chefsymon @Mariobatali @clinton_kelly @carlahall are children allowed in audience? Any plans for a kids cooking show?
987487201_389238086343081984 x	@Sammy_Nicks Greg said it rained all afternoon and eve why I didn't show up.
987487201_389182969673695232 x	@PhilaUnion wtf is this shitty ass play. Come on boys
987487201_389100032143933440 x	@mererehmann_2 how bout I just come pick u up and we can have fun instead of u sitting around
987487201_389088066503467008 x	VIDEO: Marco Reus defies physics with this incredible soccer trick shot (via @BR_UK). http://t.co/akbKMv0f4R @RHandJr
987487201_388849729700122624 x	@mererehmann_2 lol wait a minute. U even posted this and still went to sleep. Next time we will watch it as a matinee
987487201_388838917887492096 x	@mererehmann_2  Suppose to be watching the greatest animated movie with me wreck it ralph. Why u sleeping http://t.co/xcuvzpyyU8
987487201_388690002378776576 x	@thechew @DaphneOz @chefsymon @Mariobatali @clinton_kelly @carlahall are children allowed in audience? Any plans for a kids cooking show?
987487201_388620639734878208 x	@Philly_brown10 who they playing and what's their scenario?
987487201_388337297382731776 x	@thechew @Mariobatali @clinton_kelly @chefsymon my 6 yr old really wants to see show. R kids allowed in audience? Can u guys do a kids show
987487201_388335268744671232 x	@thechew sushi
987487201_388100209169145857 x	Basti for Halloween! http://t.co/u7ye7EwmCA
987487201_388100146611101696 x	Lukas for Halloween! http://t.co/QcfCEBrh8n
