635494360_373525180087558145 x	@watchdogsgame @Official_PAX #WDPrints
635494360_396098452318199808 x	RT @Jones_Drew32: Homie D. Clown http://t.co/ElujniYquL
635494360_391761110514565120 x	RT @SciencePorn: This is the world?s longest bony fish is the oarfish, which can grow up to 15 meters. http://t.co/FdMDU9JpBj
635494360_396631155912364032 x	RT @TheFunnyVines: WHY U DROP DAT THUN THUN THUN?! https://t.co/agHlGh2efa
635494360_396631042578083841 x	RT @TheFunnyVines: He didn't eat at school today https://t.co/7WFrzqxgDV
635494360_396630915926872064 x	RT @TheFunnyVines: Me everyday https://t.co/6neHHUAvjU
635494360_396630734376808448 x	RT @TheFunnyVines: Whenever your jam comes on... https://t.co/tKL4mGAWPk
635494360_396630605070614528 x	RT @EricRaskin: The Sixers already beat the Heat, who already beat the Bulls. I don't see the point in even playing tonight's game.
635494360_396628482664325120 x	RT @itsWillyFerrell: I just read last year 4,141,347 people got married. I don't want to start any trouble, but shouldn't that be an even n?
635494360_373525061342605312 x	@watchdogsgame @Official_PAX
635494360_396392242925277184 x	RT @WOWFactsOfLife: Babies that are 4-6 months old naturally know how to swim. This instinct disappears after that time, and they need to b?
635494360_396364009936805889 x	RT @Audi: Everything about the Audi R8 Spyder is fast. Even the roof opens & closes in 19s. #WantAnR8 http://t.co/6YBDpMaKqW http://t.co/pU?
635494360_396353786643771392 x	RT @NBAWisdoms: For the first time since 1996, a Lakers vs. Spurs game will not have Tim Duncan or Kobe Bryant playing in it.
635494360_396353732746964993 x	RT @Ravens: Remember this? #NoShaveNovember http://t.co/umN6htkNAF
635494360_396100987368505344 x	RT @AlanHungover: Two antennas got married.   The ceremony wasn't much but the reception was excellent.
635494360_396099226058231809 x	RT @SciencePorn: Tequila has the same percise proportion of carbon, hydrogen, and oxygen atoms necessary to create a diamond.
635494360_396098629921828864 x	RT @adbrandt: Nice. RT @ESPNNFL: One more time for good measure: Baby Andy Reid and Baby Coach Ditka win #Halloween --> http://t.co/KXHQ8Rg?
635494360_396075726832533504 x	RT @TheFunnyVines: When you get a king size on Halloween https://t.co/2E1P4llKBv
