498984754_395009518058602496 x	http://t.co/LJSv3f2ReW
498984754_391535102032748544 x	RT @EricHilderbrand: @dcweatherbrand @Scottyp73 You know it's a big game when you're thinking about the Eagles on Saturday. Take the Birds ?
498984754_389448010259644416 x	@EricHilderbrand @dcweatherbrand #eaglessecondarysucksass
498984754_389446916926238721 x	@EricHilderbrand http://t.co/DfuJrjeLyN
498984754_389445039933231104 x	@davespadaro @EricHilderbrand this bucs offense is terrible. Eagles should win this game easily.
498984754_389442274821955585 x	RT @IngrahamAngle: Hugging & mugging: Watch your wallet whenever you start hearing reports that #McConnell & @SenSchumer are hugging or bac?
498984754_389441825750396928 x	RT @36westbrook: Eagles playing at a different speed than they have played since Washington !! #Eaglestalk
498984754_389440604327133184 x	RT @phillysport: Somebody in Tampa wants Tebow - http://t.co/l4qMU0Y7ra
498984754_389440195869048832 x	RT @hold_ma_nick: Can all Eagles take a minute & remember @36westbrook beast catch&run against Tampa in 07? when he broke 6 tackles for a 6?
498984754_389439377471840256 x	@pdomo @EricHilderbrand How was not fair catching that ball the right decision? #baddecision #darmarisjohnsonisarookie
498984754_389431369732214784 x	RT @Eagles: Overheard in Tampa ... #FlyEaglesFly http://t.co/Ea34QAlkcF
498984754_382692955037106176 x	RT @howardeskin: That #PHILLIES - #Marlins game may have been the most boring and brutal game I've seen in years! Really hard to watch.
498984754_382553383527534592 x	RT @Jeff_Daniels: We're Back!!! #DumbTo http://t.co/u2u42yM2hk
498984754_378348435596136448 x	RT @politico: Key parts of organized labor have a case of buyer?s remorse over Obamacare and they?re letting everyone know about it http://?
498984754_378324174889959424 x	RT @fredthompson: Report: IRS spent $10K on video parody of Trump's "The Apprentice". I say find out who authorized it & apply Trump's tagl?
498984754_378321659884621824 x	@EricHilderbrand @dcweatherbrand so Doc Halladay is pitching in beast mode tonight.
498984754_378321498773004288 x	@EricHilderbrand the first TD by the Pats tonight was a Chip Kelly special.
498984754_377446503931191296 x	@erichilderbrand #EaglesMobile: Quotes: QB Mike Vick | http://t.co/yOgCe72QdD
498984754_377269270910337025 x	RT @Eagles: #Eagles @MikeVick has a 110.9 career passer rating against the Redskins, the best by any QB in NFL history against Washington. ?
498984754_377267581151092736 x	@EricHilderbrand @ErinAndrews "@allthingsphilly: The Chip Kelly Era begins with a win. This is going to be fun."
498984754_377245659927445504 x	@EricHilderbrand @dcweatherbrand @edkel13 "@TonyBrunoShow: Tonight's ref is moving like Charlie Manuel right about now #Eagles"
498984754_377235574517952512 x	RT @richeisen: The Eagles have had 53 offensive plays in the first half. The Steelers had 53 offensive plays ALL GAME yesterday.
498984754_377234802539503616 x	@smartfootball @EricHilderbrand great call. We basically have provided all the points in this game including the skins 7
498984754_377234496791535616 x	RT @EaglesInsider: With 115 yards on 20 carries in the first half, LeSean McCoy is leading the NFL in rushing.
498984754_377233748120838145 x	RT @Buster_ESPN: Total yards: Philly 320, Washington 47. With two minutes to play in the first half.
498984754_377230530749542400 x	Its not even the first half. 25 points. @EricHilderbrand
498984754_377218149294149632 x	@EricHilderbrand "2007 called. It wants its camera phone back."
498984754_377216426547089408 x	RT @EricHilderbrand: @smartfootball To all the people that questioned whether Kelly would succeed in the NFL, I say "have a taste of that" ?
498984754_377215015511523328 x	RT @Ike58Reese: 30 other Defensive Coordinators texting each other, "Are you watching this SH@&"? #FlyEaglesFly
498984754_377214982703689728 x	RT @BrandonGowton: Chip Kelly ain't messing around.
498984754_377214255872753664 x	@EricHilderbrand Chip Kelly is FUN. Dude.
498984754_377214150692179969 x	#IloveChipKelly @EricHilderbrand
498984754_377213038366957568 x	@EricHilderbrand Vick in the redzone clams up and looks like 2012 Vick. Ugh.
498984754_377206899659128832 x	Chucky is amped!!
498984754_377209095054700544 x	@Scottyp73 Chuucky
498984754_377208444966551553 x	@erichilderbrand  So FAST AND SO NOT SOFR!!!!!
498984754_376876396511248384 x	@EricHilderbrand "@Ike58Reese: ?@Trublueiz: @Ike58Reese we are watching a wide open NFC East...go Eagles!? She's on to something."
498984754_376876162787844096 x	RT @Toyota: Watch & see how #CorollaStyle has transformed into the all-new elevated #2014Corolla: http://t.co/G8sbAUVLId #Corolla http://t.?
498984754_376875976812417027 x	RT @IgglesNest: You couldn't tell me that the Eagles aren't better than these two teams right now.
498984754_376873830918389761 x	@EricHilderbrand @dcweatherbrand Saved by Zero Bennett Toyota Event http://t.co/VvFvQ8Ikcy via @youtube
498984754_374373328905318400 x	RT @PrayInFaith: Everything you need for your destiny is within reach. Pray that God will open your eyes to opportunities, people and resou?
498984754_373627743554248704 x	RT @ChrisThayerSays: I bet I could be a genius if I had different thoughts.
498984754_368428807507558401 x	RT @Jeff_McLane: Sad day. Wrong guy going IMO. RT @magelb: Charlie Manuel is no longer manager of the Phillies, according to a source.
498984754_360960177987526656 x	RT @JeffPassan: Full news on Miguel Alfredo Gonzalez at Y! Sports: Who is he, how did he get $60M and why did the Phillies sign him? http:/?
498984754_360738218171314177 x	@EricHilderbrand @dcweatherbrand (in your best Jim Nance voice)
498984754_360203464233582595 x	@Ubisoft I have ESPN SPORTS CONNECTION ON Wii U. IS THERE A WAY TO ADJUST SETTINGS FOR LEFT HANDED PLAYERS? HELP!
498984754_358667750421446656 x	RT @KatiePavlich: Did Jeantel write this? ?@TheRevAl: We are headed to the NAN NY vigil w/ Trayvon's mother. Jay Z and Beyonce is joining u?
498984754_358666816517705728 x	RT @airandspace: Apollo 11 Lunar Module (LM) "Eagle" landed on the Moon this day in 1969 carrying astronauts Neil? http://t.co/8sanVvI9Xr
498984754_358322893555384320 x	@USAirways my wife who just had two strokes while away in California this week is not being accommodated by us airways!
498984754_356161685049978880 x	Let your light so shine before men, that they may see your good works, and glorify your Father which is in heaven. http://t.co/x7dCKiusHp
498984754_354407224329768960 x	@EricHilderbrand @dcweatherbrand this team is better without Ryan Howard in the line up. Mark my words.
498984754_353573802124394496 x	RT @BrandonLeeSBN: "Kazemi is basically the Iranian Lebron James."
498984754_353573772822986752 x	RT @BrandonLeeSBN: We're all winners when the Knicks and Lakers are losers in the NBA off-season.
498984754_353572122863480832 x	RT @times_yours: Dwight Howard?s name is whiter than Ron Howard, and Ron Howard has freckles.
498984754_353571962783662080 x	RT @EricHilderbrand: "If we sweep the Braves then we are right back in it!" says Irrationally Optimistic Phillies Fan @Scottyp73  @dcweathe?
498984754_353336747754668032 x	RT @AdamSchefter: Brett Favre thinks Dwight Howard is really indecisive.
498984754_353336140775964672 x	@EricHilderbrand cliff Lee! 10-2. Dude.
498984754_350249313139568641 x	@EricHilderbrand these bears are massive! I  immediately regret this decision
