23457587_325147112826343424 x	RT @The_Good_Lord: Tomorrow will be a nonstop holy fuck session.
23457587_396068214691889152 x	My new, cozy football hat.  Thank you Sarah! #FootballHat #warm&cozy http://t.co/GrDzCmO3bo
23457587_396067580324360192 x	You know you can't help but watch it at any age. #TheGreatPumpkin #HappyHalloween #ThePeanuts http://t.co/OTMskOhPbx
23457587_395303323274055680 x	RT @ProFootballTalk: Freddie Mitchell sentenced to 37 months in prison for tax fraud http://t.co/rFEO6xo7Xm
23457587_394786234020933632 x	@JennFredFOX29 @FOX29philly Do Not Flush: Q-tips, paper towels, feminine products, food scraps.
23457587_393344763329806336 x	@rheahughes brown probably wouldn't have tweeted pic if cboys were gettin smashed. #itsFlaunting
23457587_392775947117953024 x	RT @PaniniPOD: Win @Eagles @Lanejohnson65  @PaniniAmerica #nflpod auto card.  RT to help us get to 1600 followers #paniniwildcards http://t?
23457587_391921669285347328 x	I leave the quarter in the shopping cart as a tip for the cart roundup guy.  #ThatsHowIRoll
23457587_391672967044022272 x	RT @Bill_Nye_Tho__: Science fact: women don?t go crazy, they ARE crazy. They just "go" normal from time to time u feel me S/O FEMALES
23457587_391333836648632320 x	Hopewell Valley Central hosts Notre Dame high-school. Listen live 6:50  1077thebronc. @HVFOOTBALL http://t.co/9BPDNdak3E
23457587_390568913312174081 x	RT @nissaneagles: #Eagles defense is one of four in #NFL to surrender 21 pts. or less in both games the last two weeks
23457587_390253058669559808 x	The football show I do: http://t.co/9sbx81RnCR
23457587_387885078522908673 x	@NFL_AM  fix preseason. 2 ps games. Leave rosters at 80 players thru wk 2. Cut down to 53 for wk 3 and forward
23457587_386515769817055232 x	Pre game warm ups.  #WestChesterUniversity #GoldenRams vs #California (PA) #Vulcans @MikeSamsel http://t.co/zhLC85IvSW
23457587_385241936879443968 x	RT @MensHumor: Roses are red.  Bacon is also red.  Poems are hard.  Bacon.
23457587_385009222393810944 x	@rheahughes the walking dead & Hell in Wheels also on AMC
23457587_384995328573063168 x	...by the people, for the people....
23457587_384423581561942016 x	My #Eagles disappoint me. http://t.co/yOgHcY2v9J
23457587_384293639041859584 x	Thank you General Mills for making my childhood Saturday mornings yummier and the cartoons better by? http://t.co/83CcGxk6ZW
23457587_383625568375541760 x	@BigDaddyGraham jessica alba in Sin City
23457587_381919770914086912 x	@jayblackcomedy damn turnpike on a Sunday.
23457587_381048146086080512 x	@ThePaigeWyatt oh jeez.  Don't become a cat lady.
23457587_381031792004042752 x	@rheahughes isn't Akers @ Detroit?
23457587_380459635805028352 x	Browns trade  Richardson to Colts. Told Browns fans they would love Joe Banner.  #browns.
23457587_379312575584149505 x	4-3 to a 3-4 d should help against the te, right? #Eagles
23457587_378875463281958912 x	@MikeSamsel @WCUAthletics @WCHE1520Radio and I'm doing color commentary
23457587_378875325721354241 x	RT @MikeSamsel: @WCUAthletics Football on @WCHE1520Radio starting at 11:45. @jameszabo and I have the call!
23457587_377666285041381376 x	@ThePaigeWyatt you should probably dump him then.  #propersolution
23457587_376367692758138880 x	Doing spotting duty for West Chester University today. Listen on http://t.co/aK8FQiPcTX #collegefootball? http://t.co/iojD1O8M5C
23457587_376152101845753858 x	Took a tour, learned how to make a pretzel.  Big fun #pretzelmaking http://t.co/ynv9TKfWKB
23457587_375635196277968896 x	RT @fatguysshow: Our first episode of the 2013 season. http://t.co/R6IMg9mOPf @MikeSamsel @MattLombardo975 @jameszabo
23457587_359312803363946496 x	Nothing like getting 50 miles from home to find out that your wallet is still home in bed.  #MondayMorningProblems
23457587_354202644924993536 x	Any know what these bug are? #bugs #insects #group #unknown http://t.co/RRqJGILU1W
23457587_354202095496335361 x	Waves of amber grain. #farming #itsBeenAWhileSinceMyLastPost http://t.co/4TAMNKCHLJ
23457587_344412073234669569 x	@NFL_AM  who sells more jerseys in N.E. this year, Brady or Tebow?
23457587_344036609274048512 x	@NFL_AM @Ravens @TheRealJacoby12 @raylewis "I said... Where's my money!"
23457587_343343284594282497 x	@AmandaBynes preach on sistah. :)
23457587_340615077650653185 x	how is it that @AmandaBynes account not verified yet? #bizarre
23457587_339057316123009024 x	The beautiful weather today in Jersey really makes me miss having a motorcycle. #sigh
23457587_338651104399212544 x	Relationships are like turds. Though now, it has been proven, one can, in fact, polish a turd... It's still a turd. #sigh
23457587_338351956810686464 x	@jameszabo: The tinniest nick on the bag while grooming bleeds more than a cut throat. #WayTooMuchBlood
23457587_338311111411642370 x	@RealGlenMacnow unless Kelly taught Vick to have bigger hands.... #noMoreFumbles
23457587_337883308417495042 x	@Good_Day_Philly ugh! People will eat anything.  #cicadas http://t.co/08CfuwKKwk
23457587_337682396629565440 x	I have to say, I purchased the album, "Folk Songs of the American Longhair" by Brother Dege. I really, really like it. #music
23457587_337313411169935360 x	3 days of ball sweat inducing weather.  That's enough... Thank you. #tooHumid
23457587_337025110336757760 x	Exorcist and his family are amazing. #SYTYCD #inspiring
23457587_336513837656330241 x	@kristina_knight Memphis is beautiful.  Have a great stay!
23457587_336268943582973953 x	Seth MacFarlane guests on the Simpsons tonight. Cleveland Show cancelled. #FOX
23457587_335203343813210114 x	Please check my next article. http://t.co/QTCKNNRkwS
23457587_335102467060662273 x	While reminiscing about high school days, I've come to the conclusion that adults should have a "cut" day too.  #sigh
23457587_334636208665792512 x	@WIPMorningShow Taco Tuesday out... Hall & Oats in??? Makes me suspicious.  #eagles
23457587_333911598810931200 x	@WIPMorningShow dr dreamy operated on Sly & Arnold the same day. #uslessfactoid
23457587_333001357332185088 x	Have a great weekend everyone. #fridaynight
23457587_332476914998599680 x	I really appreciate @GovChristie  he is the best! http://t.co/UoZyOtPb4S #TheFleece
23457587_332273901012922370 x	Hold on now... Lion meat tacos? http://t.co/Wv6IGykUZO
23457587_332094038712913920 x	Oh Wednesday, why are you trying so hard to be a Monday.  #BadWeather
23457587_331570074949414912 x	@ThePaigeWyatt ...if I had a good pick up line.. I'd use it on you.
23457587_331481615467425792 x	Well it is diet food. #packagingfoolsyou http://t.co/I53mlGecsk
23457587_331206163104423936 x	Tonight on the Simpsons, Carl and Lenny hold hands ending years of speculation. It was quick, did you catch it??? #thesimpsons
23457587_331126190544924672 x	@theterrirunnels just cut a burrito up into segments.  Just call it Mexican Sushi.
23457587_331030887238094848 x	@HelenMcCready Thank you for the follow! Have a wonderful day.
23457587_331030834289209345 x	@MckenzieCoffee Thank you for the follow! Have a wonderful day.
23457587_331030766899326976 x	@MyShortFilms Thank you for the follow! Have a wonderful day.
23457587_330384658820902912 x	@RoobCSN hahaha.  Prodigy.  Anyway, isn't it Outlook dot com now?
23457587_329728905768493056 x	BBQ/Ranch dressing. #randomFoodPhoto #CauseEveryoneElseDoes http://t.co/QF7XiodYOB
23457587_329651366001795072 x	@kristina_knight best of luck with the big presentation!
23457587_329604022535331841 x	@Ike58Reese  http://t.co/Lj9H0BpD5S
23457587_329006928032317441 x	Just in case you forgot the order.... #stupidsigns #not needed in a adult office http://t.co/K9nu20tJqo
23457587_328992989823262721 x	Always nice to have a cartoon girl follow you on twitter. #Twitter jameszabo  #followers http://t.co/bnFHGFLo50
23457587_328671472967114753 x	@MikeSamsel  http://t.co/qwcrKn3PdN Thought you might find this interesting.
23457587_328202252022054912 x	Spotting some spring football for 1520 WCHE.  #spots http://t.co/0HbJJC4fJd
23457587_327950865182887936 x	RT @caplannfl: Big oy.RT @RoobCSN:Who are the Eagles' 10 worst first-round picks in recent history? This is quite a depressing list: http:/?
23457587_327938266579992577 x	@southernjew just watch it on tv like I do. ;)
23457587_327938111915044865 x	Ringling Bros. and Barnum & Bailey couldn't put on a better circus in NY.  #JETS
23457587_327894886676320256 x	@NikoletteNoel hope you have a wonderful weekend!
23457587_327207551005511680 x	This has to be a proper Gentleman's club with this hanging over the main entrance, right?? http://t.co/Y01DSYwMau
23457587_326985043153145856 x	Oh, if you live in central or north Jersey it is.  #slang #jerseytalk http://t.co/PCkOolXTWH
23457587_326112636750151680 x	I just want to pronounce that @BobsBurgers (on FOX) has quickly become one of my favorite cartoons. #bobsburgers
23457587_325435753540751360 x	RT @DraftSharks: Damn Jon Gruden makes me fall in love with every QB in the draft class!
23457587_325163411807801344 x	RT @BostonGlobe: Suspect #1 in Boston Marathon bombings has been shot and killed in gunfight with Watertown/Transit police.
23457587_325163323752599552 x	RT @BostonGlobe: One suspect dead. Search ongoing for 2nd suspect. Suspects exchanged gunfire with Watertown/Transit police.
23457587_325146907884265473 x	RT @MikeSamsel: @jameszabo said it best, this is like a real life Die Hard movie
23457587_324326526332055552 x	RT @jodymacman: Will remember forever "Sixty Minutes will be seen, in its entirety at the conclusion of our game..." RIP Pat Summerall.  ...
23457587_323918770655600641 x	RT @googlemaps: If you have info about those in the #bostonmarathon or looking for someone,please visit the Person Finder to add data ht ...
23457587_323900656823971840 x	Thoughts and prayers.... #BostonMarathon
23457587_323898581801136128 x	Holy Moly! Sometimes the best things at the supermarket is not the products there. That is all. #holymoly
23457587_322888079083974656 x	Ugh.... Just ugh.  #ugh
23457587_322043379238182912 x	@theterrirunnels iPhone.  But I understand a new one is coming out in July....
