110221799_376445359641223168 x	@enosarris or per se
110221799_376445253735034881 x	@enosarris la grenouille
110221799_376441413707124738 x	@FireCoachRicht I think there was a prophesy about the dawgs in one of the gnostic gospels Its a little convoluted but its in there. GODAWGS
110221799_374653389314859008 x	RT @Sethrogen: ?@TWC: RT to share the good news. We have reached an agreement with CBS" I hope you shit your insides out and die!
110221799_374576318949912576 x	RT @HuffingtonPost: How Uruguay's government wants to deal with pot http://t.co/6PjWJF5ZQ8
110221799_366955908795871234 x	@SheridanScribe @mufridsufyaan the entire mind set of ownership.  You don't get to 10,000 losses by accident
110221799_366955548228337667 x	@hoopshype Like what?  There are only so many superstars available in drafts.  How would you suggest the nba goes about deciding who gets?
110221799_364412019232866304 x	@MatthewBerryTMR would love to hear @enosarris on the podcast tomorrow.  I listened to you on his podcast.
110221799_361869108360396800 x	@souschefshza I just bought his book last week. I recommend his interview on 'fresh air'
110221799_361874694258954241 x	@souschefshza ignorance on a cable tv news show is not a story. Its the air we breathe.
110221799_361874446287503361 x	@souschefshza I even sent the fresh sir interview to my mom. Its a great listen. You can have the book when I'm finished.
110221799_361560718971109377 x	@enosarris wil myers
110221799_361562064180883456 x	@enosarris he's had some pretty nice matchups in the past couple weeks, but he's delivered. Selling high might be smart.
110221799_355734055926497281 x	RT @MelvillePipino: Colorist @jpearce37 spills the secrets behind our latest @Kerastase speed treatment to @styledotcom: http://t.co/WUcOs1?
110221799_355386572226564097 x	@MelvillePipino High-Speed, High-Shine Treatments at Patrick Melville Salon | Beauty Counter | http://t.co/33DpWHdCtW http://t.co/XyqTB3CUQT
110221799_349572713150550016 x	@HighCheese do you think we could throw amaro into any of these deals?
110221799_332132691896049665 x	My first day at @MelvillePipino salon! Ill be here for all my downtown people every wednesday. 3 centre market place in nolita!
110221799_325030908820328448 x	Watch @E! News live tonight at 11pm @De11eDonne @SkyDigg4 @WNBA @MelvillePipino fantastic makeovers! http://t.co/HTizKmUSSD
110221799_316648363057610753 x	"@MelvillePipino: Drastic hair color makeovers have ?don?t try this at home? written all over them: http://t.co/cvdH8ZRmMl"
110221799_314816081279713280 x	RT @MelvillePipino: Sweet. RT ?@YouBeauty Money can?t buy you love, but according to this study, a dye job might buy you a bonus. http:/ ...
110221799_309680098339065856 x	Its better and faster than plsying golf. Power Beauty Salons Become a Networking Opportunity http://t.co/loLnbbDuQ0
110221799_297777515739615233 x	Success! Getting Laura' s color done for the studio on monday. She was great today. Loves her new golden brown locks. http://t.co/PROxY8fu
110221799_294614401665867776 x	Another hard days work ;) Christine's color looks great and ready for the photoshoot tomorrow. Great times today! http://t.co/wXa26MLD
110221799_290168557466173440 x	@RollsonShabbos @peter_wasserman @JimmyChairman The finish to that Reading-West Brom was pretty thrilling. Don't hate jimmy.
110221799_263302724643328000 x	Here's another one!!  http://t.co/hnvhyCMY
110221799_263302566249656321 x	Ready for the shoot!!! http://t.co/rtyu4XVX
110221799_256259939419443200 x	@RicBucher It's quarter after one am on the east coast
110221799_255459891857195008 x	@phillysport @pdomo Terrific???
110221799_254301318217359360 x	Check this article about the writers recent experience in my chair. So You?re Now Blonde?Now What& http://t.co/DCtBZdoh  via @Sheckys
110221799_254299587492335616 x	So You?re Now Blonde?Now What& http://t.co/MmqT4DuJ  via @Sheckys
110221799_253478990596149248 x	@peter_wasserman Colombia, not Columbia. But yes, we are going all the way in 2014!
