395261224_386854176510455808 x	RT @DuckDynastyAE: RT if you're spending Sunday with family! #DuckDynasty
395261224_386854114061463552 x	RT @SportsCenter: ICYMI: Alabama WR DeAndrew White doesn't need two hands to make the #SCtop10 ? http://t.co/O7H2DbfHnz
395261224_386683591549550592 x	RT @ManCaveHeaven: RT if you agree. http://t.co/WqtaactYzx
395261224_346291803068178433 x	RT @BrianDawkins: It's  not a given every man with a child becomes a father. So RESPECT to all the true MEN that choose (cont) http://t.co/?
395261224_341715882680131584 x	RT @itsWillyFerrell: I got 99 cookies cuz a bitch ate one.
395261224_290570116213641216 x	RT @WolfpackAlan: Of course I talk to myself, I need to have an intelligent conversation once in a while.
395261224_290569905768628226 x	RT @Ike58Reese: Get Billick off the tube, he was terrible today.
395261224_287696610450894849 x	RT @itsWillyFerrell: Pushing a door that says pull and looking like an idiot.
395261224_284120552338255873 x	RT @spransch: ?@COPatriot: @GaltsGultch You'll like this one. :) http://t.co/7u359y6C?  Yup!
395261224_282840006920396801 x	RT @WolfpackAlan: Vagina jokes aren't funny. Period.
395261224_282600878555398144 x	RT @itsWillyFerrell: I hate it when I'm doing push-ups and I lose count after 1000.
395261224_282483846111453185 x	RT @Hilarious_Idiot: *Winter* Couples: We are going to cuddle and snuggle like there is no tomorrow. Me: *stares at pillow* You love me  ...
395261224_279788175977742337 x	RT @MrGetFlee99: My prayers really go out to the family's that lost Someone today at the sandy hook elementary school in Connecticut  wo ...
395261224_279785493154119680 x	RT @xDakotaTaylorx: Hmmm weird! http://t.co/DBvpntW1
395261224_279785365416603648 x	RT @itsWillyFerrell: Hiding your favorite food from the rest of your family.
395261224_279785242745769985 x	RT @Courlin: @xDakotaTaylorx war on guns is as intelligent as the war on drugs lol http://t.co/DsnhKBi4
395261224_279419584044494848 x	RT @RoobCSN: Adam "Frogger" Jones should be ejected for that head butt.
395261224_277765761181818880 x	RT @itsWillyFerrell: That depressing moment when you dip your cookie into milk for too long, it breaks off, and you wonder why bad thing ...
395261224_277234268067995648 x	RT @itsWillyFerrell: When a girl says, "whatever" she really means; "I hope you get shot, fall off a bridge, get raped by a shark, and t ...
395261224_277230936423288833 x	RT @itsWillyFerrell: This is the most EPIC Beer Pong table you have ever seen: http://t.co/ZLAgSj1M
395261224_276494164479315968 x	RT @SaraUnderwood: Omg! Another naked guest on @aots!! @nottjmiller you really out did yourself and @ericandre. #thinlittle http://t.co/ ...
395261224_276140203175993344 x	RT @itsWillyFerrell: Everyone is beautiful, sometimes it just takes the right amount of alcohol to see it.
395261224_275395835146166273 x	RT @itsWillyFerrell: Chuck Norris died this morning. But don't worry, he's completely fine now.
395261224_275392363021615105 x	RT @itsWillyFerrell: I hate when couples take awkward photos like this... http://t.co/4tp6Cd4Q
395261224_275349013153337344 x	RT @itsWillyFerrell: Before someone gets their drivers license, they should have to beat rainbow road on Mario Kart without falling off.
395261224_275255110253285378 x	RT @itsWillyFerrell: I wonder if tap dancers walk into a room, look at the floor and think, "I'd tap that."
395261224_275078015539638272 x	RT @Ike58Reese: Nick Saban brought BIG10 football to the SEC. No spread option, no 4WR sets. Just SMASH MOUTH FB.
395261224_274675113922797568 x	RT @WOWFactsOfLife: This year December has 5 Saturdays, 5 Sundays and 5 Mondays. This only happens once every 824 years: http://t.co/Yi8 ...
395261224_273603364703592448 x	RT @itsWillyFerrell: Screw the alarm system. I've seen "Home Alone", I know what to do.
395261224_273247067109998592 x	RT @itsWillyFerrell: Dear shaving commercials, stop shaving hairless legs. If you want impress us, shave a gorilla.
395261224_272508711463952384 x	RT @itsWillyFerrell: Women think pregnancy is hard? Try peeing with a boner.
395261224_272174585116491776 x	RT @itsWillyFerrell: 8 glasses of water a day seems impossible, but 8 beers a day seems necessary.
395261224_272168604655575040 x	RT @itsWillyFerrell: I'm going to open a store next to Forever 21 and call it Finally 22.
395261224_271818357815267328 x	RT @itsWillyFerrell: There are only two kinds of honest people. Little kids, and drunk people.
395261224_271422714235994112 x	RT @itsWillyFerrell: She laughed at my joke, which means she obviously wants to have sex with me.
395261224_271078474171682818 x	RT @spransch: Just found this funny... http://t.co/eXvtQT3i
395261224_271070846498508801 x	RT @itsWillyFerrell: My mom told me to follow my dreams! So I took a nap.
395261224_270334827163705344 x	RT @BrentCelek: No matter what y'all say I know I have let y'all down. Life's about stepping up when it counts.
395261224_270170104694718465 x	RT @itsWillyFerrell: #EverybodyLikes bacon. Anyone who doesn't cannot be trusted...
395261224_269624725762867200 x	RT @itsWillyFerrell: My phone dies faster than Chris Brown in stomp the yard.
395261224_268860943180644352 x	RT @itsWillyFerrell: I just saved a ton of money on car insurance by switching... my car into reverse and driving away from the accident.
395261224_268160116942049280 x	RT @BigBlack: At New Era Cap Co Irvine Offices http://t.co/jIv5csVe
395261224_267801098281185280 x	RT @itsWillyFerrell: Running up the stairs like a gorilla because it's easier that way.
395261224_264816607761682432 x	RT @itsWillyFerrell: Ghetto people are always naming their kids after stuff they cant afford; Mercedes, Pearl, Bentley, Child Support.
395261224_264815847237894144 x	RT @TimTebow: Here we go... NEVER thought I'd say this but let's go Ole Miss!
395261224_264802255520268288 x	RT @Ballsdeep955: Sara Jean Underwood http://t.co/aPuqLgxl
395261224_264801715440717824 x	RT @thatswhaticalls: Sara Jean Underwood #sexy #erotic more at http://t.co/ZeJADi3B http://t.co/U7aDmz7p
395261224_264464464659759104 x	RT @itsWillyFerrell: What the hell is up with "Fun sized" candy? There is nothing fun about less candy.
