290105256_389255577232482304 x	It's a ?kinda weekend
290105256_396340890434027520 x	RT @LifeAsBros: I've forgotten what it's like to have a normal sleeping pattern.
290105256_396303447622156288 x	RT @LifeAsBros: Retweet for Blue Mountain State Favorite for Workaholics
290105256_396277096194248704 x	Let's vote... Who should somf @shoreshorty14 or @megkel315 or @murpheezlaw???
290105256_396286129307394048 x	@MrRugsBunny home!!
290105256_396286362733010944 x	@MrRugsBunny and who you vote for?
290105256_396278205658570752 x	@Phillies what is Harry Kalas?
290105256_395978786313089024 x	RT @ESPNCBB: Preseason AP Poll: 1. Kentucky 2. Michigan St 3. Louisville 4. Duke 5. Kansas 6. Arizona 7. Michigan 8. Oklahoma St     Syracu?
290105256_395861525296340993 x	I had a dream last night that Megan Fox wanted to somf and the sixers beat the heat!!! #anythingcanhappen
290105256_395012546488709120 x	@tumaszm that's my boy!! Going to be great coach...just let someone else coach the free throws
290105256_395073423350964224 x	@tumaszm I'm not coaching this year
290105256_394527241616760832 x	RT @SportsRadioWIP: Barkley is in. Let us pray! - @darealtank78
290105256_394526755417235456 x	@MikeMiss975 what you think about our 4th round pick? #EaglesProblems
290105256_394524766507655168 x	3 days till @Sixers!!!
290105256_394510130118942721 x	"We are going to see a lot if cox during this game" #BleedGreen #FlyEaglesFly
290105256_394275148255481857 x	I  haven't seen you in 3 months and haven't talk you in 4 months
290105256_394162631906709504 x	?@TFLN: (425): I told my mom I'm great in bed. That is quality mother daughter bonding.? Can I get her number?
290105256_394155678589526016 x	@thesaltyb I don't remember shit #ithappenagain
290105256_394142421128585216 x	RT @Sixers: 4 days until #Sixers Opening Night presented by @IBX! http://t.co/H6iKnGLsUM   #TogetherWeBuild http://t.co/B83fC3cK08
290105256_394141238737506305 x	Somf....anyone?
290105256_392688856514195456 x	RT @LifeAsBros: Fuck candy, I want free alcohol for Halloween
290105256_392308211682140161 x	RT @UrbanEngIish: "Where dat n*gga at?" = May you please inform me the whereabouts of where my negro accomplice has sequestered?
290105256_391985098331287552 x	RT @LifeAsRednecks: http://t.co/srl84POylO
290105256_391522290992967680 x	RT @Laughbook: How come phones only get lost when they are on silent?
