146018842_395332727118913536 x	I'm going to laugh every time I hear this goal song.
146018842_395332601415602176 x	Vinny Lecavalier makes it 2-0 on the powerplay.
146018842_326875975033966592 x	Bruins score, 4-2 Flyers. Krejci with the tally.
146018842_395364210676629504 x	RT @flyers_faithful: Duck, Duck, Lose: Flyers' Win Streak Ends at Two After Loss to Anaheim http://t.co/UXlqHCSiZr #Flyers #NHL
146018842_395360195913588736 x	Now Palmieri's going to the box for an Anaheim too many men call. Busy guy.
146018842_395359546530463745 x	Kyle Palmieri scores his second goal of the night at 15:51.
146018842_395358825584152576 x	If not for Mason, this game would be a blowout.
146018842_395357961255538688 x	Some chaos in front of the net. Coburn and Getzlaf (sans helmet) have a moment.
146018842_395357504567140352 x	"Varsity Blues" just seems so out of place in the 'inspiring sports movies' montage.
146018842_395356784833347584 x	RT @davegisaac: Selanne not coming back tonight, Ducks say.
146018842_395356084853948417 x	I don't know how to skate/play hockey and I'm naturally uncoordinated, but I think I could have better puck control than the Flyers.
146018842_395355217304113152 x	After this start to the third period, I think this statement is valid: Oy, the Flyers.
146018842_395353466740015104 x	Ouch. Selanne took a high stick to the face and was bleeding on the ice. Got up on his own accord, though, and was helped off the ice.
146018842_395352790697918465 x	Ducks score just over a minute into the third period on a goal from Kyle Palmieri. Game tied at 2.
146018842_395352231748173824 x	Final period of play between the Flyers & Ducks!
146018842_395346411203481600 x	Thanks to a lucky bounce off the end boards, Andrew Cogliano scores Anaheim's first goal at 16:25 into the 2nd.
146018842_395344775840149504 x	Getzlaf was all alone coming in on Mason, but shot high. Still 2-0 Flyers.
146018842_395344359035387904 x	Anaheim's man advantage is no more. Bonino goes off for hooking.
146018842_395343823938650112 x	Glove save by Mason six seconds into the Ducks' powerplay.
146018842_395343395876401153 x	Penalty called on Giroux, two minutes for embellishment. "Asshole!" chants begin.
146018842_395342868203585536 x	Voracek almost just scored on a badass spin-o-rama.
146018842_395341491817570304 x	Simmonds has been having a hell of a game. Two assists already and he almost just got a third.
146018842_395332854064119808 x	@HMGreenblatt you're off the case, bobrovsky!
146018842_395340559172501504 x	RT @FlyersPublicist: Flyers Kids Halloween Costume Contest Winner... The Minions! Thank you to all of our participants! http://t.co/FLJWyai?
146018842_395340440691421184 x	We're just under four minutes into the 2nd period and the Ducks have 3 shots vs. the Flyers' 0. But if history repeats itself, buckle up!
146018842_395339061923020800 x	2nd period is underway!
146018842_395334458821206016 x	Flyers lead the Ducks 2-0 after one period of play, thanks to goals from Read and Lecavalier. Shots 15-10 in favor of Philadelphia.
146018842_395333508278669312 x	After review: no goal.
146018842_395333044036313088 x	Apparent goal for Anaheim gets waved off immediately. They're checking replay now.
146018842_395331907035996160 x	Ryan Getzlaf gets two minutes for slashing. AND THE FLYERS ARE GOING ON THE PECOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
146018842_395332425644908544 x	@HMGreenblatt it's my gimmick!
146018842_395331599803236353 x	The Flyers have had some good chances around the Ducks' net, but have yet to capitalize since Read's early goal.
146018842_395329726539001856 x	Philly's PK does their job and the Ducks are unable to score on the man advantage.
146018842_395328846133604352 x	Simmonds gets the call for hooking.
146018842_395327797977030656 x	Simmonds and Grossmann with the assists on Read's goal.
146018842_395327560898191362 x	Matt Read with the fist goal of the night, off of his own rebound. Flyers up 1-0.
146018842_395326215076057089 x	@flyers_faithful @DStrehleTFP And I have to sit next to him! Poor me.
146018842_395324760629837824 x	PHL starters: Simmonds-Couts-Read (F), Coburn-Grossmann (D), Mason (G). ANA: Maroon-Getzlaf-Perry (F), Lindholm-Beauchemin (D), Hiller (G).
146018842_395324093790035968 x	Tonight's scratches: ANA - Dustin Penner, Mark Fistric, Rickard Rakell. PHL - Adam Hall, Erik Gustafsson, Hal Gill.
146018842_395323524929171456 x	Because "Ghostbusters" is on and no players have come out in costume, so that's one dream they've crushed.
146018842_395323397288124416 x	I really hope the Flyers and Ducks take the ice to "Thriller" and perform a choreographed routine prior to puck drop.
146018842_395322068012511232 x	I've never actually seen "24", but I think it would be awesome to do a series like that based around a hockey team. Imagine the nerves.
146018842_395321342717083648 x	RT @DStrehleTFP: Tonight is Teemu Selanne's 1,398th #NHL contest, & is set to join Nik Lidstrom & Jaromir Jagr as only Euro-born to play in?
146018842_395318276835651584 x	This is the Ducks' fifth game on this road trip. The Flyers play the Capitals in Philly on Friday before hitting the road for two games.
146018842_395317712135540736 x	The Flyers (3-7), who have won their last two in a row, look to continue the streak against Anaheim (9-3) who have also won two in a row.
146018842_395316512057081856 x	Sweet, I forgot that the Flyers come out to Jay-Z's "PSA" for warmups. Still my jam.
146018842_395313708534353920 x	RT @flyers_faithful: Get ready for tonight?s matchup against the Ducks with @4sytheNthFlyers?s game preview http://t.co/tN56l0rctz
146018842_395307679402295296 x	Hello again, boys & girls! Let's get this Flyers/Ducks party started, shall we? (Well, in an hour and six minutes.)
146018842_390552177036390402 x	My latest: RT @flyers_faithful Op/Ed: Let's Not Make "The Label" a Thing - http://t.co/CBHix832Ji ? #Flyers #NHL
146018842_390170186852368384 x	RT @utley: Had the pleasure of talking with Riley Cote (@rileecoyote) about the Phantoms' last season in Glens Falls: http://t.co/kcmJH4Tczp
146018842_360414705468182529 x	Many thanks to @dooda1414 for taking the time to chat IRONMAN & Flyers with me for @flyers_faithful! http://t.co/PFNsxfYSfK #Flyers #NHL
146018842_359694534130671616 x	@dooda1414 Should have mentioned that I am with @flyers_faithful! Hope to hear back from you.
146018842_359689310594809857 x	@dooda1414 Hi Ian, I would love to interview you in regards to the IRONMAN competition. Would you be available to answer a few questions?
146018842_348081063060443136 x	My latest for @flyers_faithful, on how the Flyers organization needs an attitude adjustment in order to win a Cup. http://t.co/4D0MDqABBW
146018842_341658905472008192 x	@pelle31lives Liberty Belles.
146018842_341604185952882688 x	Had the pleasure of speaking with Moorestown native & Florida Panther TJ Brennan at the FF roller hockey tournament. http://t.co/8GdpgiJLci
146018842_329642171818967040 x	Fed up with the nonsense, I wrote a bit of a rant about the mainstream media and Ilya Bryzgalov for @flyers_faithful. http://t.co/iXT2RBJIQZ
146018842_328007216944795648 x	@HeyItsBrenno Hahah, no! I was on the phone and that happened somehow.
146018842_328007091283443713 x	Oh. Apparently my ear decided to tweet while I was on the phone.
146018842_327629434129633280 x	Many thanks to @David_Strehle, @JoshJanet, and @Roose_TCL for making my first season in the press box a fun one! Until next season...
146018842_327609240636227585 x	Tonight's recap for @flyers_faithful: A Rookie & A Vet Propel Flyers to 2-1 Win Over Islanders http://t.co/A43xZjU3T9  #Flyers #NHL
146018842_327602790232883200 x	@Roose_TCL @pelle31lives @dcattaisports @cjburns215 sahce.
146018842_327595855660056579 x	And that's all she wrote, folks. Flyers win 2-1. Off to Ottawa for the final game of the season.
146018842_327591753878237185 x	Finally, some life in this game! Lauridsen with his second goal in as many games puts the Flyers up 2-1.
146018842_327589705761816576 x	RT @ff_marcello: Eric Boulton. I celebrate his entire catalog.
146018842_327589689567617025 x	Fedotenko shoved down against the boards. Flyers heading to the PP as Martin takes a roughing penalty.
146018842_327588743512997889 x	@DCattaiSports Really hoping that (construction noise) does well.
146018842_327586242696986625 x	As my good friend @Estebomb would say while doing a Jim Jackson impersonation, that was some left-handed larceny by Bryz.
146018842_327585470072647682 x	We're underway in the last home period of the season for the Flyers...
146018842_327584627143344130 x	RT @fakecoatesy: Gang lets all take a moment and settle down. Drink An Amstel take off your pants and enjoy life.
146018842_327583949113131010 x	Whatever, the NFL Draft.
146018842_327583701540143104 x	All of the guys in the press box are discussing the NHL Draft. Everything is going straight over my head.
