40263343_397746711990665217 x	@maryaa_k Let us know what you get :)
40263343_398155976752111616 x	@TylerAustinTV Good luck!
40263343_399969700886888451 x	@Juxhin_Alushi :) What did you get?
40263343_399969629764063232 x	@jcrider84 Very impressive! What did you get?
40263343_399969199671738368 x	@Lamestorybitch Nice! Let us know what you get :)
40263343_399944768316514305 x	RT @22DaysNutrition: Plant Protein Power is on sale at @VitaminShoppe! Save an extra $2.50 with coupon in Muscle & Performance mag: http://?
40263343_399944680328429568 x	Congrats @MrsBalboa6! You are the winner in our #VSFanPackFriday giveaway. DM us your shipping info.
40263343_399937699043631104 x	WEB #DEAL! @DreamBrands #M-Drive is #BOGO 50% off now through Saturday! Shop now & #save: http://t.co/IrIkxcavN8 http://t.co/Ik9DO79eQV
40263343_399929550253338624 x	Shopping for #BoneHealth? Check out @MembrellHealth Bone Health + #D3 & #K2! Shop now at: http://t.co/iUz7uU2oaq
40263343_399914486561505281 x	Today we say a very special thank you to all who have served & are currently serving our country. #VeteransDay http://t.co/ZBsXgykzzu
40263343_399906881386590210 x	CONTEST: RT & enter for a chance to win a @ArcticEase prize pack! http://t.co/9nMnuw3Ncn |http://t.co/FiH8CGgNJB http://t.co/i14UjS4oMf
40263343_399687984423120896 x	Our True Athlete line is #BOGO 50% off until 11/24! Shop and save by visiting: http://t.co/IalbA6nBsM #sale #savings http://t.co/iyNDOVQuOW
40263343_399673634899656704 x	@CarlanguitasG no we don't have any stores yet in Mexico. You can buy online and we ship to Mexico
40263343_399669608925634560 x	How many of you have competed in a @SpartanRace ? Share your story. Always #pushyourself. We did a #beast this year http://t.co/NMfHHAo1Tx
40263343_399627570205184000 x	Have you heard of #Pycnogenol? We have it available online and ready to ship today.  http://t.co/QqzgBqc0Mx http://t.co/nfOONe1Hzz
40263343_399612437433184256 x	#ShoutoutSunday: What makes you a True Athlete? #iamatrueathlete http://t.co/gE1VPFw6TN
40263343_399597358805430272 x	#GrandOpening Alert: #Indiana we're open in #Noblesville (17143 Mercantile Blvd) Get a 20% off #coupon http://t.co/PAvMqzVgE5
40263343_399582248842059776 x	Check out these #Magnesium Caps from TwinLab! Available at: http://t.co/z7rR2yVOKU
40263343_399567167831937025 x	#ShoutoutSunday: Is Sunday your day or rest or another day at the gym?
40263343_399559038113165312 x	#tweetandtell is Sunday a day you let yourself indulge a little? What's on the menu for you today? #healthyoptions #sundayfunday
40263343_399265147363270656 x	Get your daily dose of #Omegas and #Coq10 with @NordicNaturals!: http://t.co/v1aqfJAQN8 http://t.co/VIxAyqK5DL
40263343_399234956993765376 x	Enter for a chance to #win in our @BlenderBottle a Day November #giveaway http://t.co/iJI3GacziS #blenderbottle http://t.co/NAkJJWiGhi
40263343_399227723815878656 x	RT @MuscleMeds: Shawn Lindo at the @vitaminshoppe today! In the Bronx NY on Fordham Rd. 11-2pm . @lindo321 http://t.co/ZQXHiEad8P
40263343_399219854471069697 x	Have you heard of our #MyTrition personal packs? Learn more & shop by visiting: http://t.co/GTRFlVfz9l http://t.co/Az6nym0Ap3
40263343_399005681497694208 x	Need a #protein pancake recipe? Try this one from our friends at gaspari. @teamgaspari? http://t.co/nZkhkeDifd
40263343_398978264662044672 x	Destroy what destroys you. #MotivationNation #Fitness #Strength #iamatrueathlete
40263343_398955619417604096 x	Thank you all so much for helping us reach 100k & spreading the word about us on Twitter #fanappreciation #vitagrin http://t.co/DD1AhKEG4j
40263343_398940526864392194 x	@trainer_gdpt sorry to hear that but we of course will be happy to have you visit us again!
40263343_398910722853179392 x	It?s #VSFanPackFriday: RT & enter for a chance to win this fan pack worth over $250! #contest http://t.co/7vKAa6cVUw http://t.co/V1GdkAw3Cz
40263343_398939245508702209 x	@jacobrodriquxz Monday evening here on Twitter. Enter and stay tuned to our page to see if you win!
40263343_398938318513004544 x	@eponine1949 just RT to enter, it's that easy :)
40263343_398933603561635840 x	We are 100,000 strong! Thank you all for being a part of our community and spreading the word about #vitaminshoppe http://t.co/nS3f75GW7B
40263343_398932962110373888 x	Congratulations Iris Icangelo - winner of the Get Fit Getaway Sweepstakes!  She will be flying out to LA to meet/train with @JillianMichaels
40263343_398912801676087297 x	@VitaminShoppe prizes from @naturaldynamix @TeamMuscleTech @TeamGaspari @YouthH2O @greensplus @OhYeahNutr @NeoCellHealth @SweetSweatUSA
40263343_398878007084859392 x	All this weekend lets #salute our soldiers both past & present. Share a photo or a tweet with us and use #VSsaluteasoldier #VeteransDay
40263343_398912285684416512 x	@curtgreaves of course, they surely deserve to be saluted, thank you for sharing! #VSsaluteasoldier
40263343_398902791365988352 x	Shop for @MuscleMilk Pro 50 Vanilla now at: http://t.co/VGVE7xu3lq #protein #musclemilk http://t.co/ZMzjjtqqNT
40263343_398898068159873024 x	@KF5IZO We are happy to have you as a VIP member :)
40263343_398897987579297792 x	RT @KF5IZO: Finally got VIP status from @VitaminShoppe Oh happy days. #fitfam #gymflow #gymlife http://t.co/UwXN5DEVw2
40263343_398893704913911808 x	@natttzeller Woo! Let us know which kind you get.
40263343_398887625710653440 x	@worush Nice! What are you both getting?
40263343_398883046839312384 x	@Philg119 Nice! We are looking forward to it.
40263343_398882942774435840 x	@philly76er Nice! What are you getting?
40263343_398872560458559488 x	Want to win a recovery pack? Enter here for a chance to win: http://t.co/05JOq3CgKZ #VSwinitwednesday @nuunhydration @KTTape @HylandsHealth
40263343_398871058008113152 x	@LopezClay This is great to hear! What did you get?
40263343_398863065195622401 x	#fillintheblank "If at first you don't succeed ____." (feel free to make up your own ending.) #TGIF #fridayfitspo #fitspiration
40263343_398863706555035648 x	@NazhirahR Love it! #Motivation :)
40263343_398857477418393600 x	If you?re looking for #testosterone support you?ve come to the right place. Shop our full offerings at: http://t.co/y29mvCxQhX
40263343_398856864269496320 x	@RWebling Thanks Rob, glad to hear you had a great experience with us. You can also order online when you are not in the US :)
40263343_398849933073473536 x	Week 2 of @Movember is underway. Check out our #VSMovember mustache! How's your #stache coming along? #Movember http://t.co/NcRVGXALe8
40263343_398843175898710016 x	@kevinbased Yes we are! :)
40263343_398824609417789440 x	@ECUFitGirl :) Let us know what you pick up!
40263343_398821732775387136 x	@cherryblacberry Thank you! What are some of your favorite products to get?
40263343_398824346296135680 x	@cherryblacberry Thanks for stopping in. We hope you enjoy your products :)
40263343_398816385306214400 x	@brittisballinn :) What did you get?
40263343_398822333462220800 x	@brittisballinn Enjoy! #iamatrueathlete
40263343_398817528363118592 x	@Versatile_Riser Awesome! What did you stock up on?
40263343_398816617305763840 x	@Jay_Quillin Nice! What did you get?
40263343_398812199210463232 x	Tomorrow's your last day to take advantage of our BOGO 50% off @emergenc #DOW! http://t.co/gXNUehTFd6 http://t.co/BOJnLeGWgf
40263343_398780094543847424 x	#FF our six brands in our #ballotofthebrands @VPX_Sports @QuestNutrition @TeamMuscleTech @PowerCrunchBar @ProSupps_LLC @BSNSupplements #vote
40263343_398649539168837632 x	So close to 100,000 followers. Thank you for all the love and support twitter family!!! #thankful #community #vitaVIPs
40263343_398779524210778112 x	@CTTSTAR ? thank you so much. We are honored! #vitaVIP
40263343_398779310070591488 x	@Json_Raw @Team_Optimum enjoy all that protein ???
40263343_398650464809795584 x	@K1C_88 what was it that you asked. We can also help if you'd like
40263343_398633261129551872 x	What healthy recipe did you make this evening for dinner? #chefs #tweetandtell http://t.co/6tJ59DwOtx
40263343_398632807339413504 x	RT @ItsMeNeika: @VitaminShoppe  @AENutrition oh my gosh I'm super stoked!!! I'm posting this on my IG, FB and twitter!! Thank you!! ??
40263343_398615864221900800 x	Your fitness goals should be out of reach but never out of sight. #MotivationNation #Goals #Dedication #iamatrueathlete
40263343_398585693121036288 x	Congrats @Travphelps & @ItsMeNeika! You are the winners in our @AENutrition giveaway. DM us your shipping info.
40263343_398570600744382464 x	Looking for #AcaciaFiber? We've got it! Shop for @RenewLifeInc #Acacia #Fiber at: http://t.co/spcZpcM5v2 http://t.co/PVHbmyZ3ap
40263343_398562996198572032 x	@harlequinfay666 Nice! Let us know what you get :)
40263343_398563859545346048 x	@harlequinfay666 @QuestNutrition That is awesome. Enjoy your trip!
40263343_398563230907658240 x	@Mikeymannne What did you get?
40263343_398563143989088257 x	@imitalian_17 Let us know if you go and what you get.
40263343_398563081108066304 x	@im_a_natty_girl Thanks for stopping in. What did you get?
40263343_398540390984597504 x	Are you a fan of #Coconut Oil? We offer a wide variety for all your cooking needs: http://t.co/V3vptkhrOi
40263343_398538902211817472 x	Soon we will announce details about our first Twitter party - lots of fun trivia and prizes all jam packed into one hour here, whos excited?
40263343_398525278789832704 x	#tweetandtell: My favorite part about fall is _____.
40263343_398517376259338240 x	@defrancisco28 That is awesome! Thank you for being a loyal customer :)
40263343_398512266808545280 x	@lennylarrys Yum!
40263343_398510171963789312 x	Today?s #vsfallfitness challenge: Planking!  Head to Instagram & upload a photo to enter for a chance to win. http://t.co/AbBu02CXTQ
40263343_398502942611103744 x	@lauren_mitch Nice! What did you get?
40263343_398495088856539136 x	Let Body Tech BCAA & Glutamine help fuel your workout and support muscle recovery.  http://t.co/OZxPAg5gg8 http://t.co/oggKCFTi8M
40263343_398482877324611584 x	@SoFITfia This is awesome! :)
40263343_398482766192336896 x	@HoLWood Thank you for the support! :)
40263343_398457333988478976 x	RT & enter for a chance to win a @AENutrition prize pack feat. #LIV #APE & #PRESURGE! http://t.co/ywFlygWulT | http://t.co/OYqDwFsLgn
40263343_398253489539002368 x	Never throw in the towel. Use it to wipe the sweat. Then keep going. #MotivationNation #iamatrueathlete #commitment
40263343_398250087543214080 x	RT @vitaminangels: Thank you @VitaminShoppe, participating vendors & your great customers!http://t.co/R6cuswR0PE Your donations will help r?
40263343_398212430800912384 x	@JustinManns That is awesome! Smart mom. What are you going to get?
40263343_398177978527797248 x	Are you a fan of #PlantHead #Protein? Shop now at: http://t.co/w2eBXOjceZ http://t.co/bfZLG7uiR8
