18243701_269630699634561024 x	I've always wondered about GPS http://t.co/OvwahN0p
18243701_331592750719967232 x	@BlueshirtBanter helluva call on @dbrassard16 tonight
18243701_388288616306188288 x	Is that a gum ball machine?  Nope it's a #dodgedurango - Ron Burgundy's Hilariously Stupid Dodge Durango Campaign http://t.co/lqQHZ5FYWA
18243701_380475489221378048 x	@sdgates that's awesome, congrats to you and your team.
18243701_380463184312037376 x	@gardenia congrats on everything, very exciting!
18243701_376862894966968320 x	@Breakthecycle2 @NYRangers I heard Thursday, with players reporting for physicals and interviews on Wednesday
18243701_376863683257069569 x	@Breakthecycle2 @NYRangers can't get here fast enough
18243701_365985194353762305 x	RT @MMehtaNYDN: Jets QB competition may already been settled. And it only took 1 min, 29 seconds. Incredible. #nyj
18243701_356933697959755777 x	@JasonSobelGC completely agree, pull some strings...
18243701_355429013319200770 x	RT @RollingStone: Dropkick Murphys have donated $300,000 to Boston bombing victims, with help from Bruce Springsteen: http://t.co/w0WvTxsgYC
18243701_353597271759273984 x	@MattBarnaby3636 what course is that?looks like a solid track, to bad the weather isn't cooperating!
18243701_351470948748234753 x	RT @ChipMalafronte: Adam Erne of North Branford goes to Tampa Bay Lightning in second round (33rd overall) #NHLDraft
18243701_348954949117423616 x	@cc660 settle
18243701_347528788504104961 x	@StanFischler looking pretty smart now
18243701_347412412523237377 x	?@jay_jaffe: Dodgers and Yankees have a combined $187.5 million on DL, more than payrolls of 28 teams http://t.co/3LEB3sUkgn? yikes
18243701_345343637393117184 x	RT @ESPNStatsInfo: Yankees will play their first 18-inning game since 1988. Athletics will play 1st 18-inning game since April 29th (beat A?
18243701_344601132678651904 x	@JasonSobelGC who gets invited besides last year's champion?
18243701_344249945907408896 x	This is awesome news - http://t.co/Cp2ORDhdis
18243701_339790509264470016 x	RT @stevezipay: NYR confirms coach John Tortorella is out
18243701_334137458872692737 x	RT @7BOOMERESIASON: Nuff said. #NYR Ovie frozen! See ya! http://t.co/ms3eVsSPJ2
18243701_332320668878249984 x	RT @UConnMHOC: Mike Cavanaugh named men's ice hockey head coach #bleedblue #HockeyEast http://t.co/zY2QznYL8u
18243701_331593773152870400 x	@Breakthecycle2 kreider?
18243701_331595375217606656 x	@Breakthecycle2 don't understand why Kreider is so low on list at this point
18243701_327602850597306368 x	RT @Espngreeny: Rex Ryan still hasn't figured out that half the time his team possesses the ball.  #Jets
18243701_327601414551515136 x	#Jets continue to be a joke
18243701_327600345012371457 x	RT @HubbuchNYP: The Jets apparently didn't watch their own offense last year.
18243701_325751521381871616 x	?@Silent_K: https://t.co/talZscA1VK? hilarious
18243701_319967453021081600 x	RT @Stephen_Kellogg: My friends if you're like me, just ride the wave & remember what Johnny cash said to Tom Petty "Some days are d ...
18243701_318541160471732224 x	RT @AmoreCourant: If you're from New Haven, you get it - know the proud, colorful hockey history and what Quinnipiac/Yale in Frozen 4 me ...
18243701_318056212040142848 x	Nimptopsical indeed (@ Rushing Duck Brewing Company) http://t.co/dpAFp3hAej
18243701_317750673548652544 x	RT @TSNBobMcKenzie: Congrats to Yale on knocking off Minnesota in NCAA hockey play today. All ECACers, past and present, enjoy refuting  ...
18243701_316698363733094400 x	@stevezipay @nydnrangers so why have they only played 7 games together?
18243701_316691526564585474 x	@OceanChild44 who knew? I may never sing that song again #doubit
18243701_313125886582984705 x	RT @rickbozich: And one more round of thanks to college football for making this the last Big East Tournament. Job well done.
18243701_309089157123284992 x	Lets go rangers! (at @thegarden for Philadelphia Flyers vs New York Rangers w/ 37 others) http://t.co/mJ5Aw5v79f
18243701_309089156863250432 x	I just unlocked the "NHL" badge on @foursquare! http://t.co/0ai2WZ7TQW
18243701_308961946592497664 x	RT @NeillOstrout: Interesting RT @BFeldmanCBS Federal law possibly violated in UConn/Calhoun case, reports @dennisdoddcbs - http://t.co/ ...
18243701_300789834044297216 x	RT @OFTOT: i think we now know why justin timberlake hasn't made an album in like 17 years.
18243701_298239452449480705 x	?@matkearney: I think this is Zumba?spot on
18243701_296407006808522752 x	RT @MSGNetworks: We're aware of the issue some of you are experiencing with your MSG channels. We are working to resolve it.
18243701_294280193697251328 x	@wyshynski that or his snow angel reference
