105971971_393008276599611392 x	RT @CloydRivers: Global warmin' my ass. It's colder than a witch's titty in a brass bra. Merica.
105971971_388684698358390784 x	RT @CloydRivers: Some kid called me a gay for wearin' pink. Stone Cold stunnered him then whispered, "Pink ain't queer. I'm protectin' the ?
105971971_378618374181650432 x	@ClintBowyer newest purchase it was the last one on the shelf! :) http://t.co/MjsUH97Kao
105971971_378312068916842496 x	Reliving childhood memories at the jersey shore. Some things never get old. So glad I got to spend time with @XoKrisMarieXo love u guys
105971971_377564151566315520 x	@XoKrisMarieXo just ain't the same without you guys! We need to buy a beach house and live here year round!
105971971_377475590380851200 x	RT @DeerHunting_: Opening day of Deer Season is a rednecks favorite holiday.
105971971_377262462015655936 x	RT @SportsCenter: Chip Kelly, welcome to the NFL. Eagles rack up 446 yards of offense on 77 plays, hold on to beat Redskins, 33-27.
105971971_376708139166728192 x	RT @Eagles: Today's games serve as a warm up for tomorrow night's #Eagles football. #FlyEaglesFly
105971971_376692386157445120 x	At the beach in south jersey, nfl football officially kicks off today, birds play tomorrow night....doesn't get much better than that.
105971971_376549183798644736 x	Beach in south jersey nothin better than that???????
105971971_375823814254280704 x	#18
105971971_374932425992056833 x	RT @CloydRivers: The higher the truck, the closer to God. Merica.
105971971_374204326052233216 x	I just entered to win a pair of @FranklinSports batting glove from @JUP_8TL! Check it out! http://t.co/mx2YqfXspI
105971971_373869759428710400 x	?@AdamSchefter: Patriots released Tim Tebow.? Eagles need a solid back up in Chip Kelly's offense go get 'Em.
105971971_373129149965414400 x	@JUP_8TL glad to see you in a braves uniform!
105971971_373127596739153921 x	?@JUP_8TL: You guys like free stuff?? Always man!
105971971_370684410334814209 x	@DriveMaverick are recent grabs eligible for the flatbed division??
105971971_370697154811408384 x	@DriveMaverick Awesome! i live in central Pennsylvania
105971971_369474859312902144 x	RT @WiseManJase: Maturity has nothing to do with age. Maturity comes from experiences, mistakes, learning, and understanding.
105971971_368432374826401792 x	@mlbbowman any chance Scutaro is available? #braves #giants
105971971_367701074355834880 x	@GodwintheWalrus @JepDuckman @JessicaDuckWife @williebosshog @JaseDuckman @friar_martin_dc cannot wait for season 4 premiere tonight! #quack
105971971_367693366802546689 x	RT @JessicaDuckWife: Don't have premier party plans, there's still time! The whole family/close friends=good times! Duck Dynasty season 4 p?
