18038660_159726184949751808 x	@theweepies + @Spotify Radio = #winning
18038660_122465475203575808 x	NLDS Game 5... It's on http://t.co/CZz0FlW5
18038660_122301077965127680 x	Game Five http://t.co/RoiWCkhe
18038660_398487287589531648 x	Hope it get's the funding it needs. Looks like a cool book. http://t.co/3EgitZKpKB
18038660_397726422170882048 x	@Espngreeny Hey Mike, does that kind of hazing happen in a Reggie White or B-Dawk locker room? Why not ask just for a trade?
18038660_393807997413359616 x	Name that blue... NOW! http://t.co/NJV4WVEkWT
18038660_390916142384304128 x	I love this whole #flyeaglesfly campaign the Birds are doing this year. Great stuff. http://t.co/u20QWxt4Vj
18038660_385078067552878593 x	The Eagles are looking for a front-end web developer. If only I had more coding knowledge/experience... http://t.co/vY9dGs1Al3
18038660_383642697334263808 x	Love the retro Halloween artwork. I'll be posting more in the lead up to Halloween. http://t.co/e6TXZCuG4R
18038660_378499611742441472 x	@Espngreeny Hey Greeny can we have Marty back? Said no Eagles fan ever.
18038660_375760389805719552 x	RT @phillybeerweek: HOLY PUMPKIN BEERS!  @PhillyTapFinder gets a peek at @InstituteBar Pumpkin Beer Fest list (10/5)  80 + Pumpkin beers ht?
18038660_375641563919302656 x	Ugh. Someone stop the madness. I'm not even watching the "creative process" video because, there doesn't seem to... http://t.co/ssm5u1H36e
18038660_372703125033201664 x	@PatMcGee Can't wait for the Tin Angel show on my birthday weekend. Can we make that an annual stop?
18038660_372701107489099776 x	RT @bashooka: 11 jQuery Mobile Navigation Menu Plugins - http://t.co/ordPSsUZrP
18038660_372699103383535616 x	RT @Bernieparent: Go confidently in the direction of your dreams, live the life you have imagined. http://t.co/BkqtTJyroW
18038660_370626351168237568 x	OK, now I need to start trying this. I see a lot of time management conflicts in my future. http://t.co/yc5cRhg0Um
18038660_363301541999943680 x	@beasleyreece Your interview with Angelo @WIPMorningShow this morning was tremendous. Thank You.
18038660_361800370143510529 x	?@graphixdesign: Playing with Your Words - Write For Us!!    http://t.co/pVmwxOIIQt Very interested!
18038660_360042659508781059 x	Awesome http://t.co/LbJoaFWP9I
18038660_160025507935682560 x	RT @RobCubbon: How to work from home http://t.co/sCF5d1NK
18038660_359666359413641216 x	Always an creative inspiration... John Langdon's typography for "Ron Howard's Revenge" by Meg Grant, AARP... http://t.co/vU6TLCIgGc
18038660_359640333342085120 x	@PrestonSteve933 GADZOOKS!! Thanks for the follow!
18038660_359338073370673152 x	RT @vitamintalent: "The best preparation for good work tomorrow is to do good work today." Elbert Hubbard
18038660_359143667702824960 x	RT @hanloncreative: #logo trends http://t.co/rJp5TYm9q5
