355171515_332877743610003456 x	@paulteutulsr Great advertisement for FTD!
355171515_398466674179203072 x	RT @FOX29philly: Fox Fursday! These pups are looking for a home! @fox29philly http://t.co/7q56qLzibk
355171515_397884302345920512 x	Bothers me that some people still don't know the difference between "your" and "you're",...elementary!
355171515_397854387777056769 x	Be real Be yourself Be unique Be true Be honest Be humble Be happy
355171515_397853615530205184 x	I'm not a big fan of sneaky people...or liars!
355171515_394826513801293824 x	?The only man who makes no mistakes is the man who never does anything. -Theodore Roosevelt?
355171515_390198922729521152 x	RT @cesarmillan: October is Adopt-A-Shelter-Dog-Month! Those of you who know me know that I always say ___ is the most important considerat?
355171515_388033477964488704 x	RT @MensHumor: I will respect any religion you practice...as long as you never knock on my door to tell me about it.
355171515_385072201088913408 x	RT @HarleysHaven222: October is National Adopt-a-Shelter-Dog Month! Rescue today to change tomorrow. #adoptadog
355171515_384777373507661824 x	?@MensHumor: Life is better with a dog.? @lovemi4boys
355171515_383539833324728321 x	RT @KacieFOX29: Mo Rivera's Yankee Stadium Farewell - Put your pride aside..this video will make you cry. If it doesn't, check pulse https:?
355171515_382647777697992705 x	RT @MikePriceWrites: Coatesville S.B Pres Neil Campbell just announced that there is an ongoing criminal investigation surrounding football?
355171515_380360735345627136 x	?@InspowerMinds: Do not handicap your children by making their lives easy. -Robert A Heinlein?
355171515_378167912244453376 x	?@MensHumor: Dogs > Cats Any day. Anytime. Anywhere.?
355171515_373404461001367552 x	?@UberFacts: Studies have proven that taking the underarm sweat of a man and putting it on a woman?s lips can boost her mood.? @lovemi4boys
355171515_372379558991134720 x	RT @MikeVick: Lovin the new @EamaddenNFL ! RT to win the VIP kit ASAP! #RunFree http://t.co/PBQFkV9JPB
355171515_372010154868613120 x	?Every man dies. Not every man really lives. -William Wallace?
355171515_370533233228001280 x	RT @PAHighwayInfo: @PennDOTNews and @GovernorCorbett set to announce new weight restrictions to more than 1,000 PA bridges at an 11 a.m pre?
355171515_370214230165061632 x	?@MensHumor: "Any dog under fifty pounds is a cat, and cats are pointless." -Ron Swanson?
355171515_368530228333010944 x	RT @JohnKincade: Amaro cries firing his manager. I cry watching the atrocious roster that he put together.
