177150481_26472949414371329 x	@MikeVick Eagles send Sean McDermott packing
177150481_26472321267011584 x	@Thepresidentcb Eagles send Sean McDermott packing.
177150481_26209446065606656 x	"@kimberlyjerz: Ohh yeahhhh!!!! ;)" Yes
177150481_26891739839070208 x	@brittanylowell I could understand, thats cool you got to meet him. Seems like a down to earth dude.
177150481_372890390028124160 x	I'm ready to #GetWet w/ @KREWELLA new album on 9/24.Join the Krew @ http://t.co/bs8BlUeJYz to unlock #PartyMonster - http://t.co/7A1abj2oLB
177150481_337948953653936128 x	RT @Phillies: One random winner will get two tickets to the game on 5/29. #PhilliesPhriday
177150481_336323373799968770 x	RT @NHLFlyers: ?@Bschenn_10: Philly fans last night to vote for @Simmonds17 for the #NHL14Cover! Let s go!!! #NHL14Simmonds? http://t.co/7v?
177150481_335036530437533697 x	RT @NHLFlyers: #NHL14covervote twitter voting counts for double today! Help @Simmonds17 overtake Tavares by tweeting  #NHL14Simmonds or sim?
177150481_292426266173403136 x	@Angelaaa_xoXO @MarqueeLV A good friend of mine works at Marquee..as for Chris Macchi.
177150481_290831555037904896 x	@markdk yes you did stalker
177150481_289162042324160512 x	@Angelaaa_xoXO Have fun in Vegas!
177150481_263425267215765504 x	@hunterpence still wearing your #3 Phillies jersey. So happy for you. #3 played a part in winning the World Series..the ball hit the bat 3x
177150481_180817096266092544 x	@DirtySouth what was that track you played right before the future phazing track? Thank you
177150481_117817228149264385 x	@DevonAlexis @ChickiesnPetes Devon Alexis at Chickies n Petes for Sunday Football...If I had 3 wishes...they would be gone that quick.
177150481_117811404555292672 x	@DevonAlexis id want to watch you then football, chickies and petes in south philly
177150481_108361646229028865 x	@MikeVick Congrats... you deserve it.
177150481_108236549807808512 x	@CutonDime25 Did You See Hunter Pence picked you in his Daft.
177150481_48986983346864128 x	@StephVicious  need a ride, lol
177150481_48269351165493248 x	@StephVicious your sick and I love it.
177150481_47438752225832961 x	"@DevonAlexis: RT RT RT Vote for me for Miss Howard Stern TV 2011! Vote here: http://t.co/jhg22j8" 10      8.5 AVG.  After my vote.
177150481_45304000664440832 x	PROTECTED
177150481_45306054573178880 x	@StephVicious @6igabit tru, I started driving a new way due to the gas prices, I floor it for 5 seconds then coast. Lol
177150481_45304580245946368 x	@jessiejofficial  How long will you be in states Jessie?
177150481_45303458844258305 x	RT @StephVicious: @6igabit Correct.. so.. what exactly are you saying here?
177150481_45300861060132864 x	@StephVicious
177150481_39026362245193728 x	@StephVicious where u going
177150481_39014894187585536 x	"@brittanylowell: Didnt have to walk a block to my car this morninggg!! the wind just carried me too itt #gooddeal" 	LMAO
177150481_38934470413389824 x	"@katyperry: This one! http://t.co/PHCyWIp" what an amazing mind, love u KP
177150481_38906998003220480 x	"@kimberlyjerz: @6igabit u should be in bed!" I am
177150481_38905785794826240 x	@DevonAlexis  doing what? In no mans land
177150481_38905320684130304 x	@kimberlyjerz dont want to watch.a. movie with me
177150481_36141885881847808 x	@jessiejofficial  Hearing is believing, chills ran up my spine...Who you are, is just what this American boy needed today. Much.love 2U.
177150481_35212911139885056 x	@ElaySmith Its 22 degrees here near Philly.
177150481_35211042577457154 x	"@ElaySmith: @6igabit out of town but will be home tomorrow." You got it babe
177150481_35195482594607104 x	@ElaySmith where are you?
177150481_33948236779626496 x	@kimberlyjerz ECM east coast manager. Have a great day cuz, the weather is shitty and raining here in Pennsylvania
177150481_33947918759100416 x	"@kimberlyjerz: @6igabit its a new day! Im allowed a cheat day every so often. :)"  As your ECM I advise you not to let it happen again.
177150481_33943519181672448 x	"@kimberlyjerz: @6igabit ughh I ate horribly yesterday. Thats all!" Well do your best today
177150481_33779665864753152 x	"@kimberlyjerz: Is feeling :/"  why?
177150481_33583499608854528 x	@chrisdelia Make sure you check.out my 1st cousin Chris D'Elia tonight on Comedy Central. Your Uncle Vinny married my mothers Sister Joan.
177150481_33433850545700864 x	@kimberlyjerz thanks for giving your cuz, your new #, I feel loved, luv ya.
