495327796_391733285782835200 x	Man that's a lot a fog
495327796_391732722957570048 x	Boo Yah TD Clemson
495327796_400451347096821760 x	This #KentuckyVsMichiganState game is what's up Kentucky starting to make it a game
495327796_400424597947817984 x	RT @BeFitMotivation: Ab moves http://t.co/b8Tnr8IIwg
495327796_400412704701026304 x	RT @katherinewoood: This snow is such a tease because it's not going to stick at all
495327796_400412665412988928 x	@TonightAlive new album "The Other Side" now that's some good music
495327796_400402941758435328 x	It's official http://t.co/5vobFHdunn
495327796_400402412487602176 x	Holy cow my brother just got the first F on a report card in the family
495327796_400233681932922880 x	So proud of myself got an 85 on an AP writing assignment
495327796_400231514136268800 x	RT @MikeAndMike: "Look, I knew what #Incognito was before the #Dolphins signed him. If I know how do THEY not know?" @Espngreeny
495327796_400230975629561856 x	RT @SportsCenter: Golden Tate was 24-carat on this #SCtop10 one-handed TD grab. Seahawks cruising in Atlanta. http://t.co/SHEHCijZlp
495327796_400097981460140032 x	RT @BeFitMotivation: ?COMPETITION TIME? 1. Retweet to win a pair of Nike Roshe Run 2. Must be following @BeFitMotivation http://t.co/odXyik?
495327796_400097158885818368 x	@SportsCenter sometimes I feel like this is so true http://t.co/ihz0wY9df5 but I do like @stephenasmith I miss the highlights I really do
495327796_400091707519545344 x	@theCHIVE haha just saw somebody in the Tampa Bay Miami game wearing a "Keep Calm an Chive On" shirt
495327796_400089031914303488 x	Damn well the @Sixers aren't looking so superhuman but at least my boys proved they can hang with the best
495327796_400088684898557952 x	RT @NFLONFOX: When Peyton doesn?t get game ball, Peyton gives death stare. http://t.co/7oUGU0nEM2
495327796_400088611359850496 x	@thewanted word of mouth>>>>>>>> great album
495327796_399730106765410304 x	RT @Tweets4Pay: LED Shoes! http://t.co/rDtzCTwYOC
495327796_399730004210487296 x	Another win for the Eagles baby
495327796_399364540804382720 x	RT @TheIrishTP: Touchdown TJ Jones. http://t.co/SQTvrdQNT1
495327796_399356059363852288 x	So today was pretty boring yup pretty boring
495327796_399355010309693440 x	RT @TheFunnyVines: Giving Head https://t.co/GnplLjMFKB
495327796_399354730495082496 x	RT @NDsidBertschy: DaVaris Daniels with his 5th TD catch of the season and career (first since the Purdue game on Sept. 14) #NDvsPitt
495327796_399354536336588800 x	RT @DeseanJackson10: Coming Soon! #NoBulliesIntheHuddle @drhouston http://t.co/VU33tllb4z
495327796_398952802997006336 x	Why is so hard to ask people for their numbers
495327796_398602700377817089 x	RT @Pomskies: Who wants this little guy? ? http://t.co/aEdsQRSdlw
495327796_398602259623583745 x	RT @AmazingSprtsPic: Dwyane Wade, LeBron James, and Terio? http://t.co/kXFWOxdpYQ
495327796_398592619741061121 x	RT @_dreamcars_: RT if you want this garage http://t.co/rWdNVQVckc
495327796_398592585788190720 x	RT @_dreamcars_: Peugeot Onyx http://t.co/RlDuT4EE9e
495327796_398592406406197248 x	RT @LetsQuoteComedy: Dad: Why are your eyes so red?  Son: I was smoking marijuana. Dad: Don't lie to me, you were crying because you're a f?
495327796_398422222450073600 x	Man I woke up and thought it was so Olof course it had to be Thursday
495327796_398192751642439680 x	@kristinat98 ins scale of one to ten how bad an eavesdropper would you say I am
495327796_397926297718226944 x	RT @MostSecretFacts: http://t.co/IXVQMGnEmP
495327796_397925766719373312 x	How the fuck do the flyers keep giving up leads in the third man if we could sustain leads we would be among the top teams
495327796_397924990034915328 x	RT @lNVENTlONS: Life's little instructions.. http://t.co/YDmfbOrZNb
495327796_397924293063217152 x	RT @OG_Riches: Single life gets old ?
495327796_397924058589044736 x	Steve Mason is a much better goalie than bryzgalov even with that let in with less than a minute left
495327796_397922728726261761 x	@Hartsy19 nice redirection for the goal 1st of the season could gave been a game winner nice. Go Flyers baby
495327796_397914497001988096 x	Seriously though wrecking ball is that song way to go @MileyCyrus
495327796_397890001398398976 x	Why can't I get a girlfriend
495327796_397863660938625024 x	RT @YourFoodPorn: Bacon Fries http://t.co/0dq3rWpNl2
495327796_397858239381258240 x	RT @FunnyPicsDepot: Happy Birthday Bae! http://t.co/ncCW2Eoltp
495327796_397857989476249600 x	Memories don't live like people do
495327796_397818742912348160 x	My person for secret santa?
495327796_397697720682418177 x	RT @CauseWereGuys: ...If I gave one http://t.co/ebusBN7bD6
495327796_397694367009611776 x	@devin_thorpe I saw your brother yesterday we drove r drivers Ed car to CATA and he was in the parking lot
495327796_397694795944329216 x	@devin_thorpe he told me at the PR lacrosse game he said yeah that kid that scored that was my brother devin
