713489633_395737656786952192 x	@KacieFOX29 Sexy kitty ;)
713489633_393174135482089472 x	Bang 3 run double for the #RedSox, 3-0!!!
713489633_393159660653772800 x	http://t.co/58vdpCgFwS
713489633_393158948821663744 x	Let's go Red Sox #WorldSeries #RedSoxNation #FearTheBeards #Feelitintheairtonight
713489633_396085435023515649 x	Should the #Flyers go to unload a defenseman I would like to see them swing a deal with the Flames for Mike Cammalleri #weneedscoring
713489633_396030609555877889 x	@Bryan__Bellamy @billmeltzer @RealRocket22 Richards sucks, he's a Jonathan Toews wannabe.
713489633_396043716575887360 x	@Bryan__Bellamy @billmeltzer @RealRocket22 He's #3 at best. For the money we invested in him you think he would have put out more pts.
713489633_396082247335686144 x	@Bryan__Bellamy @billmeltzer @RealRocket22 The only thing Richards brought to the table was worth ethic with above average skills.
713489633_396081647592169472 x	@Bryan__Bellamy @billmeltzer @RealRocket22 More accomplished at every level. At the 2010 Olympics Toews was Canada's best player by far.
713489633_396080977933770752 x	@Bryan__Bellamy @billmeltzer @RealRocket22 He won a Cup because of Kopitar, Brown, and Quick. Was along for the ride. Toews is 1000x better.
713489633_396080324322811904 x	@Bryan__Bellamy @billmeltzer @RealRocket22 I meant 2...
713489633_396080165882953728 x	@Bryan__Bellamy @billmeltzer @RealRocket22 Don't get it twisted he had 70+ point seasons, only 1 after signing that 12 yr extension. Now=40.
713489633_396078652846538752 x	This has to be the craziest Halloween costume ever!!! http://t.co/Khm80vpwSt
713489633_396031733919137792 x	@KacieFOX29 This is a plus and a negative imo...
713489633_396031323783319552 x	@FlyersNation Oh the benefits of playing with Landeskog and Duchesne...
713489633_396031064897900544 x	@FlyersNation Nice we'll win.
713489633_396027178187780096 x	http://t.co/EqGM9B5Jem
713489633_395868662428876800 x	@15Lasershow Nothing like being #WorldSeriesChamps...let's celebrate, get ready to put in work for next season #winningnevergoesoutofstyle
713489633_395867286953013248 x	@KacieFOX29 I'd prefer Andrew Wiggins!!!
713489633_395867142937399296 x	It is a great day in the Nation, #RedSoxNation #WorldSeriesChamps :)
713489633_395761581268951040 x	@howardeskin @ryanlawrence21 The Phillies suck and have zero on the #RedSox
713489633_395763464867962880 x	@ryanlawrence21 @howardeskin The Phillies are such a poorly run franchise it is a joke. #RedSox win because they do the rights things.
713489633_395761107908186112 x	#WorldSeriesChamps #WorsttoFirst http://t.co/xMhSoccAeQ
713489633_395759318798438400 x	#RedSox #BostonStrong #RedSoxNation #WorsttoFirst #Destiny http://t.co/KKIUuroWVx
713489633_395755585163243520 x	@sKatePronger #Worsttofirst #Destiny #RedSoxNation
713489633_395754998233329665 x	@HurkaDoesSports @FlyersNation Don't be a hater and don't get it twisted, the #RedSox are #1 in Beantown period. The Pats, a regional team.
713489633_395754407369138176 x	@fabiaguilafc It is such a great feeling, #Destiny #WorsttoFirst
713489633_395753812411314176 x	For the 3rd time in 9 seasons the #RedSox are #WorldSeriesChamps #BostonStrong #WorsttoFirst #Destiny
713489633_395730648172093441 x	@TheOfficialTATE The NBA sucks period.
713489633_395730415757303808 x	@28over87 @sKatePronger Too bad those losers couldn't live up to the hype of being NHL stars. Only they have a Cup is Jonathan Quick.
713489633_391292739226439680 x	@thecaysian How about St. Tropaz or Ibiza Espana???
713489633_395729934934896640 x	@ImBrunoMaars Agreed 5 five to that...rather be happy single than together miserable.
713489633_395729375209209857 x	@ImBrunoMaars If one is loving people for what they do for you and what you get from them that person has serious issues.
713489633_395728732708941824 x	@Hartsy19 @FlyersNation @ErinAndrews Hatsy turning into Miley Cyrus, wtf
713489633_395727442809470976 x	@TheOfficialTATE #Dominance #RedSox
713489633_395726925446262784 x	@xo_yasmin That's only not cool if your whole closet is high ended designer fashion.
713489633_395726442723831809 x	@sKatePronger Messed up!!!
713489633_395726243959939072 x	@RedSox #RedSox #Dominance
713489633_395723028438740992 x	HR Steve Drew, let's get the buddly ready #WorldSerieschamps #RedSox #RedSoxNation
713489633_395719482532179968 x	The Flyin' Hawaiian does it again #RedSox, 3-0!!!
713489633_395692547986968576 x	Let's go #RedSox, I want a #WorldSeries Championship tonight!!!
713489633_395665047521067008 x	@KacieFOX29 @pytphilly WTF, that just sounds nasty
713489633_395010577606930432 x	Let's Go #RedSox, keep it up 3-1 at stretch time :)
713489633_394966933533384704 x	@ImBrunoMaars So true, but at the same time actions speak louder than words.
713489633_394944905824706560 x	@sKatePronger Bruno Mars doesn't owe his sisters anything.
713489633_394742126283874304 x	@fabiaguilafc You know it!!!
713489633_394650804013236224 x	Boom, 3 run HR Gomes #RedSox...4-1 :)
713489633_394642328411185152 x	1-1, Let's Go #RedSox :)
713489633_394626086702960640 x	@StapeNewsday WOW
713489633_394555251506024448 x	My beloved #Eagles should just tank the rest of the season and get the best pick possible,  then draft #MarcusMariota.
713489633_394552379791519744 x	@KacieFOX29 And the Eagles select Marcus Mariota from the University of Oregon!!!
713489633_394526753513013248 x	@TheRealDGunnCSN Let's see what the kid really has :)
713489633_394525676256374784 x	@TheRealDGunnCSN Best news of the day!!!
713489633_394524629534269440 x	@cara_steel Dark hair always looks luxurious :)
713489633_394524448399060992 x	@TheRealDGunnCSN IDK why Chip doesn't pull him...this is a joke!!!
713489633_394524120014393344 x	@KacieFOX29 I suggest the Eagles put the lovely Ms. McDonnell in at QB. This team is horrible to watch :(
