149744553_265658838080966656 x	Lets go eagles!!! #notdoneyet
149744553_267766485827600384 x	nick foles for president
149744553_267742226359128064 x	Riley Cooper: White men can jump
149744553_396087086111277056 x	RT @TheMarkHenry: Me as Rick Ross http://t.co/iBENudP9Wr
149744553_395724164390453248 x	RT @RoobCSN: MCW: Best debut in NBA history? 22 points, 12 assists, 9 steals, 7 rebounds, 1 turnover. Are you kidding me?
149744553_395724093917368321 x	MCW had a #ballnight
149744553_395692732749852672 x	sixers. you guys are winning wrong...
149744553_392136487200129024 x	RT @TheRealDGunnCSN: WHAT A CATCH BY WELKER WOW
149744553_392010900514668544 x	ugh foles. wide open in the endzone
149744553_391995505733300224 x	RT @CrossingBroad: Gross.
149744553_391993385956823040 x	Nick Foles needs to make some halftime adjustments badly
149744553_391570506178387968 x	At the @Sixers open practice at the Palestra #goSixers http://t.co/sL7CtBsMGJ
149744553_390322864295247872 x	RT @Shane_CashGame: Drake the type of nigga to pick peach in mario kart
149744553_388783925914791936 x	RT @jchernok1: Unspeakable tragedy what happened to AP's son. Thoughts and prayers go out to him and his family.
149744553_388332574172798976 x	RT @LiIWayneRaps: Put honey on my cut. Call it honey booboo.
149744553_387788151181176832 x	Although the sixers wont be great this year I am really looking forward to watching Tony Wroten
149744553_387418765853343744 x	Toilolo just made me lose fantasy football. more like trololo
149744553_387394222476652544 x	I want a Walter White mask for halloween  http://t.co/r3GcA4rZAW
149744553_387029401457545217 x	RT @DoucheJoeFlacco: Fan of Matt Schaub Pick Sixes? Tune in at 10 to find out how six were picked off by a gunman in downtown Philly #Joyce?
149744553_342793719596081152 x	@Dat_Kid_Wiz haha word. I don't know anyone that watches the MLB draft.
149744553_387029380708331522 x	RT @JoyceEvansFox29: Thought "Breaking Bad" was hot last Sunday? @FOX29philly See who's breakin' bad in SW Philly leavin' 6 people SHOT - T?
149744553_386944553309073408 x	What an interception by @BrandonBoykin2 if the call stands
149744553_385207396085141504 x	RT @Pirates: This place is going to be rocking! #PNCBlackout #Buctober http://t.co/JYuDWuBRGQ
149744553_384716676195155968 x	RT @Jerry_Purpdrank: A thirsty dudes worst nightmare is the screen shot
149744553_381225955387113472 x	RT @BrianWilson38: Senator McComplain knows a thing or two about coming in second and watching someone take a plunge in the pool (I mean po?
149744553_380400271194861568 x	?@Philly_76ers: Andrew Bynum is 'nowhere near ready', expected to miss prese - http://t.co/MBMbT8fCBv Sports http://t.co/9bWRwPA6vz? Bum!!
149744553_379850497844183040 x	RT @DrakeBeThatType: Drake the type of nigga to text his homeboys goodnight
149744553_379318194328313856 x	Eagles defense = complete ?
149744553_379306299177336832 x	RT @THEREALEDP445: Boykins said give me that shit nigga
149744553_379296318503415811 x	Well. nothing new with the eagles defense.
149744553_379114227048275969 x	RT @SportsNation: Love him or hate him....Mayweather is money.
149744553_377233315767402497 x	RT @ComplexMag: DeSean Jackson broke out the Terio dance to commemorate his killing of Washington's secondary: http://t.co/vcb9tWnadd
149744553_377214041217056768 x	RT @EaglesInsider: Points off turnovers ... #Eagles convert first play post fumble to a 25-yard touchdown from Vick to DeSean Jackson. #Eag?
149744553_377191596950704129 x	James Casey started from the bottom. Not drake
149744553_376826765991485440 x	Glad to see nnamdi is still missing tackles
149744553_376803039115370496 x	I feel for Lavonte David tho #datfeeldoe
149744553_376802716674039809 x	What a stupid penalty to the player on the Bucs #Jetswin
149744553_375759314821971968 x	RT @MeekMill: He wasn't readddddddyyy tho lol I'm out........ Next stop the library so I can write this fire for kdot .... I gotta #practic?
149744553_372939989983567872 x	@toco13fg  felicidades Freddy!
149744553_372928139347116033 x	Late night Netflix is the best
149744553_372198092176506880 x	#Mileyasssmallerthan Mr Krabs worlds smallest violin http://t.co/CyL21NdCjm
149744553_371771048158834688 x	I am watching #maddenproam
149744553_266733822526255105 x	A day in the life of Tebow http://t.co/jNcFSF5f
149744553_371513125213704192 x	RT @magelb: Tuffy Gosewisch made two outs in the 18th inning against two different position players pitching.
149744553_368440349607202816 x	Ruben Amaro Jr. should be the one getting fired. #phillies #Charlie #Manuel
149744553_368161296581394432 x	That was straight up dirty #mccoy #shady
149744553_367150341743067136 x	RT @Jocsoamazing: #twitpicyourreactionafterhearingkendricksverse http://t.co/vqT6LUiuZA
149744553_366781374218244096 x	RT @sportspickle: Riley Cooper and friends. http://t.co/zf1he5Ic3j
149744553_366064427834945536 x	http://t.co/KCh0kW9Jaq
149744553_366001241857335296 x	#tebowtime
149744553_365479875521425410 x	RT @DwightHoward: @uHateBre with that face ion think u getting one either lol.
149744553_363508787920904193 x	RT @1adindarannia: The girl that played tasha as gibby's girlfriend is actually the model from the blurred lines video :). WAIT WHAT?! http?
149744553_363108920492961793 x	Jonathan Papelbon doing his best post 08 Brad Lidge imitation #phillies #shocker
149744553_362400624089907201 x	Some of the bulls on catfish are straight up #thirsty
149744553_361332801800384512 x	RT @MindlessGyrl21: The Conjuring (Black version) #Comedy ????????? https://t.co/yrAwc3OL16
149744553_360113837338398723 x	Shout out to the girl who made the whole class feel awkward with her comments and presentation #realtalktho
149744553_359697412970917888 x	RT @SportsCenter: Marlins Logan Morrison on the Braun suspension before last night's game: "You know we're clean. We haven't scored a run i?
149744553_357292206794608640 x	Cliff Lee: Zero F's be given #Allstar #Phillies #MeanMuggin  http://t.co/i4jAQvr6Tq
149744553_356138826122543104 x	Mercy, mercy me, that Murcielago #Kanye
149744553_350819953143844865 x	If the Phillies are out of contention and Roy Halladay is cleared to play, should we sit him out for the remainder of the year? #askthebooth
149744553_350452361157820416 x	@Sixers aaaaaand hes gone
149744553_350415814496751616 x	RT @jemelehill: So will Noel and Bynum be shopping for knees on Craiglist or nah?
149744553_350413593386299394 x	RT @yungsmoove21: OMG ....
149744553_350413514084593665 x	Sixers are such a joke!!
149744553_350060405525184512 x	Aaron Hernandez before jail = tight end.   Aaron Hernandez after jail = wide receiver #AaronHernandez ???
149744553_347926672953188352 x	I can't wait to see how many heat fans are left if Lebron ever leaves
149744553_347924356363591684 x	"We did it!! We did it!!"- Juwan Howard #heat #spurs
149744553_347923498498420737 x	I hate ginobili #realtalk
149744553_347205682635870208 x	Sorry T-Mac you will have to wait till Thursday
149744553_347204907423641602 x	Wheres the foul at ref?
149744553_344232325736968193 x	@Jrue_Holiday11 The Jruth
149744553_344201795171655681 x	#Tebow #Tebow #Tebow #Tebow #Tebow #Tebow #Tebow #Tebow #Tebow #Tebow #Tebow #Tebow #Tebow #Tebow #Tebow #Tebow #Tebow - Skip Bayless
149744553_343914264555311104 x	T-Mac sighting
149744553_343898506039287808 x	"Momma not home guess what i eat in the morning, cookies nigga cookies nigga" @mcoluch9
149744553_343556587832631296 x	The purge was very predictable
149744553_343195972773486592 x	RT @penguins: The #Pens season ends with handshakes. #Bruins win 1-0 and take the series 4-0.
149744553_342792273936920576 x	@Dat_Kid_Wiz nah I missed it. Anything big happen?
149744553_342795536484675584 x	@Dat_Kid_Wiz haha maybe. That diploma gonna look fresh wiz.
149744553_341010946124292096 x	RT @BleacherReport: RT @Matthew_Tynan: Since 1999, every NBA Finals has featured the Spurs, Heat or Lakers. Crazy.
149744553_340547751752372225 x	@mcoluch9 1/2 lol. It happens haha.  It was coop being on
149744553_339949545016393728 x	@H_Runner94 @mcoluch9 journals?
149744553_339932514250526720 x	@mcoluch9 that can't be!!!
149744553_338782362076839937 x	RT @Flow935: Amanda Bynes stay trippin' LOL... If you are not in the know... She and Rihanna have been trading insult tweets http://t.co/en?
149744553_337757606074535937 x	@jchernok1 against tuukka rask as well
149744553_337415570112798720 x	why was roy hibbert on the bench?
149744553_337407333879668736 x	just how the pacers planned it up
149744553_336882073400901632 x	RT @BleacherReport: .@KDTrey5 has donated $1 million to the @redcrossokc for disaster relief. Way to go, KD!
149744553_336683035355402241 x	#team3hunna
149744553_335880102418194433 x	RT @mcoluch9: Eric Kratz looks like macklemore
149744553_335021045679529985 x	RT @NHLFlyers: #NHL14covervote twitter voting counts for double today! Help @Simmonds17 overtake Tavares by tweeting  #NHL14Simmonds or sim?
149744553_334127659783172096 x	NHL playoffs+ overtime= great mix
149744553_331533079506214913 x	All you ever need is somebody on your team that can make you realize there ain't nothing wrong with dreaming
149744553_329790439920107520 x	RT @TheHawkDawson: We have lost another white girl... Amanda Bynes has lost her damn mind
149744553_329020473482543105 x	Congrats to Jason Collins for being the 1st active pro athlete to come out, we all know who is next tho #Bosh http://t.co/Bp2ody6zBT
149744553_328715228655267840 x	steph curry is a beast
149744553_328341627271782400 x	RT @mcoluch9: Bishmacked biyomboed
149744553_328256687486164994 x	Nate Robinson puts the team on his back doe
149744553_327585409326518272 x	RT @NFLONFOX: OT Lane Johnson's 4.72 at the NFL scouting combine matches @TimTebow's and @AnquanBoldin's (he's 6'6", 303lbs).
149744553_327491488466477056 x	Stop throwing snowballs bro
149744553_327217639749455875 x	sweet catch by Domonic Brown #phillies
149744553_326516830468464640 x	@mcoluch9 open up FT on the comp?
149744553_326141358920310786 x	@mcoluch9 whoever said this is a genius
149744553_324919981500428288 x	@mcoluch9 tmi my ninja
149744553_322714513675800576 x	This weather is atrocious #realtalk
149744553_321096551181209600 x	RT @NotReader24: Meanwhile http://t.co/ltNjbOTGfc
149744553_320716447275954176 x	Thank you Kevin frandsen!
149744553_319834566430953472 x	RT @ESPN_Numbers: Dwight Howard has missed more FTs this season (332) than Steve Nash in his entire 17-year career (322).
149744553_319282578798571521 x	#Yu mad Ranger fans?
149744553_318512084512043009 x	RT @BasketballPics: This should get endless retweets. #PrayForWare http://t.co/8nlIizwPYx
149744553_318184721337180160 x	Great run by Wichita state!
149744553_318034934176575488 x	@ThisKidAlex lol thanks you're next
149744553_318021153656565761 x	?@mcoluch9: Happy birthday to the bro @TheGLATman 18 today!?thanks cuz
149744553_317743647158329345 x	RT @donovanjmcnabb: Tony Romo 6 yr 55 million dollar extension. Wow really, with one playoff win. You got to be kidding me
149744553_316192038976630784 x	RT @kobebryant: How can I not follow #acesnation  I need more of my LM fam in my follows #acesforever #mambagenesis
149744553_316012431916818432 x	La Salle!!!
149744553_314944249458225152 x	RT @AirClayton: why would you try to block a deep ass three! fucking dumb ass sixers players. nigga had the biggest " i eat ass " face o ...
149744553_314568355174559747 x	@KNGDR3 hella lucky
149744553_313822538188865537 x	RT @HEATNationTH: #RIPJasonTerry http://t.co/7WCKlruVK4
149744553_313800616336044032 x	The Sixers better not resign Bynum this off-season.
149744553_312036331171745792 x	The Eagles CB's are almost at nice as the Jets quarterbacks
149744553_310956814701297664 x	RT @KevinHart2ReaI: RIP Brandon Knight: December 2, 1991 -March 10, 2013
149744553_309826183279816704 x	All of Rinaldos goals are snipes
149744553_307615129757970433 x	Its a bad day to be a sixers fan
149744553_306941625769291778 x	Gagne!!
149744553_306617996430962689 x	@mcoluch10 @adamg43 started from degrassi in a chair. the real drake
