250339782_52708952542150656 x	@nosillALeigh Haha....
250339782_52558871574753280 x	@AshleyGx26 yeah he is so hot!
250339782_391768391734009856 x	Grand Salami!!! #victorino
250339782_390299546796175360 x	RT @PaulPabst: Puig took his pants off and waved them around his head after his solid base hit.
250339782_389094209485287424 x	@ShaneVictorino go sox.
250339782_389093038376902656 x	@Sarcrawford you booze you lose!!
250339782_347096000017596418 x	@kelscrawford tell me about it!!!
250339782_346784995484000256 x	Happy Birthday @Ulmost_FAMOUS !!!!
250339782_336218356153712640 x	Good win Phil's!!!! #phightens
250339782_332609434842984450 x	I created group Glenside Business Owners and Professionals on Linkedin.: http://t.co/TjRrmxUMN6
250339782_331921383967830016 x	@Sarcrawford You are nuts!!!!
250339782_330854184670859264 x	Check 1,2 check check.
250339782_252564230140727296 x	Win or lose just play hard an make it fun to watch.  #gobirds
250339782_250444515083694080 x	That's a bad sign NFL.  Fans will go away if calls like that are going to be made many many times a week.
250339782_243907654383177730 x	4 more months. 4 more months. Ha
250339782_243907469343092736 x	Why would you want to be president?  Either way half the people will hate you.  Tough job and a bunch of bs.
250339782_243903847414775808 x	@pmansell32 Barry.  Haha
250339782_243144310764228608 x	@dakine_beats because they need a finer brush.  Theirs is too broad.
250339782_241667836890734592 x	Hey @laurenrick !  We have a 900 or 915 open tomorrow if you want earlier.  Let me know soon and we will put you in.
250339782_235178870456848384 x	RT @Sarcrawford: Happy national left handed day to all of you non right handed freaks
250339782_233687977350533121 x	@Sarcrawford you better knock it off or I'm sending momo your way!
250339782_233688931663757312 x	@Sarcrawford she would probably hold you up because she would have a conversation with each an every one of them.
250339782_233323466609278976 x	Fishing anyone? http://t.co/LW5LdjfS
250339782_232934928944353280 x	@Ulmost_FAMOUS me too. Wtf?
250339782_232892260914692096 x	@kelscrawford ummm stop talking about you know who.  That's what they do in Pittsburgh
250339782_232892853913800704 x	@kelscrawford the funny thing is that I thought you were talking about Cali.  I didn't even see her pics.
250339782_232195519986941952 x	@Sarcrawford 1 more since your there.
250339782_223545032416825344 x	@laurenrick looks like someone's got the munchies.
250339782_219081282993393665 x	@pittsburgh1love I think you used up all of the memory with all of your pics.
250339782_217336938443702272 x	@pittsburgh1love like an Indian?
250339782_217336193224945667 x	Lies are like old cars, at some point they will backfire.
250339782_210549433014820864 x	@pittsburgh1love thought you were done posting pics.  Holy smokes!
250339782_208600992781041666 x	So sick of liars and immature people.  Here's an idea.  Be yourself and stop copying everyone else's life.
250339782_204989183826202624 x	@CrossingBroad what was your response?
250339782_204992198855503872 x	@CrossingBroad not blaming.  Just asking.
250339782_136812710682820608 x	A liar will not be believed, even when he speaks the truth.
250339782_204337484107223041 x	Lost our buddy today!  He was such a trooper.  He literally purred until his last breath.  I will miss you Tyler! http://t.co/9Y76hrLS
250339782_204032178894553088 x	Until Shane swung at the 1st stinking pitch!  Cheese and crackers!
250339782_204031693538082816 x	Feels like a playoff game.  #gophils
250339782_202574840933265408 x	@pbnjilly @kellrickard @kelscrawford @laurenrick @Ulmost_there just did cycle class and sesh w/trainer.  Pic of rock hard abs coming soon.
250339782_202202704762777601 x	@HowardStern you are the best!  Loving it so far.
250339782_200012529525723136 x	Game.  Set. Match.  Season over!  At least we beat the penguins.
250339782_199320614413156353 x	If you have tickets to watch the devils finish off the flyers Tuesday sell them now while there still worth something.
250339782_199319633029894148 x	Heartless Flyers gave up. Tired and not hungry.
250339782_198249839916617729 x	My twitter was hacked so of you get something from me plan on getting a lot more. The tweets the hacker sends are hilarious and fun.
250339782_194965282740125696 x	@kellrickard unless you get drunk and pass out on the floor.
250339782_193873984675262464 x	@pbnjilly is it raining down your way?
250339782_193872496875941889 x	@pbnjilly ummm. You really don't need to lose 10 lbs.
250339782_193496201054785537 x	@kellrickard great choice!
250339782_183352023217999872 x	@laurenrick all that looking forward to 21 and once your there you want to turn around.
250339782_175346717368131584 x	@shalomshuli  #RonniePickUpLines   Woe woe woe suck my cock!
250339782_174616051047333890 x	RT @MensHumor: There should be a special spot in hell reserved for couples who use baby talk in public.
250339782_168783856739172352 x	RT @cwotd: My favorite version of a Whitney Houston song: http://t.co/S7f7mU3L
250339782_165584987272388609 x	RT @K_4Kutz: Message to all fat girls. Lose weight before you tan yourself orange #smdh
250339782_164042756501680128 x	RT @mlbtraderumors: Pat Burrell Retires http://t.co/A1w2S9u2 #mlb
250339782_161289248148955138 x	You must be kidding!  The niners gave it away.
250339782_161290798820884480 x	@ashaleehart321 do you believe this crap.    All I wanted was the giants to lose.
250339782_161127996542033920 x	RT @ScottPaterno: Finally, to Penn Staters, past and present, know that Dad loves you all and has always loved being part of your family.
250339782_160841457316536320 x	@pmansell32 @lisonleighal about as boring as before.
250339782_160789951691227136 x	RT @salgovernale: Shoveling snow blows....I'm still waiting for my wife to finish so she can get my lunch.
250339782_160778674856132608 x	http://t.co/IWC7UOG6
250339782_157673140598747136 x	Some people are so full of shit!  How do you sleep at night?  I just don't get what the point is?
250339782_156918283965181953 x	@pbnjilly is a pornstar an actor?
250339782_155833558735405056 x	Hey everyone!  I'm the asshole!  If you want to gang up on me and tell me how to live my life than feel free.  Some people already started!
250339782_155451220486668289 x	RT @StephenCQuinn: Lady luck please let the dice stay hot.
250339782_155129941334298624 x	@pmansell32 maybe even a feather!
250339782_155129243083350016 x	@laurenrick @pmansell32 so good to see you guys today!  Hopefully I'll see you again soon.
250339782_155106905499512832 x	I like Flyers aggressiveness.  They have lead but playing like they are trailing.  Keep it up!!
