301492153_72067849811791872 x	Imagine that, the world didn't end
301492153_384481262100283392 x	@MikeMiss975 @spyder_jkshue PSU is 3-1 with 65 scholarship players and USC is 3-2 with a full roster and a fired coach.  Who stinks again?
301492153_384496551986749440 x	@spyder_jkshue @MikeMiss975 And USC played Hawaii, Wash State, BC, Utah St, and gave up 62 to ASU.  Good try though
301492153_384499277541941248 x	@spyder_jkshue to each his own.  I'd take State College any day over LA.  Gotta agree with @MikeMiss975 , Silas has to have some regrets now
301492153_368888562076250112 x	@DanMcCanty @BunToast nice fish.  Big f*cking eyes, but a nice f*cking fish
301492153_354712305570824192 x	@laurenashleyyy @BuzzFeed. This is so true.  I'm not quite there yet!
301492153_353231016300785666 x	@ReluctantSE he scores big goals in big games.  Great move if $ is right
301492153_349365273213665282 x	RT @Spectrum_Philly: Whether you're a fan or not, the Stanley Cup is the greatest trophy in sports. #NHL
301492153_349361170832035841 x	Wow.  Crazy good series.  Almost have to feel for Bruins fans.  Almost.  #becauseitsthecup
301492153_348988172069392384 x	If Nik's faith was so important to him, he wouldn't risk his life like that in front of his family for tv ratings and publicity #skywire
301492153_348983972522508289 x	RT @TheTweetOfGod: Sorry, rest of the world, Junior and I can't help you now. We're too busy helping some loon cross a canyon on a piece of?
301492153_343195818263707649 x	RT @FlyersNation: Claude Giroux had as many points in the last eight days as Crosby, Malkin, Iginla, Letang, Neal, and Morrow.
301492153_307184647727611905 x	RT @ItsAllJoesFault: #NCAA employees feel everyone is being punished for the actions of a few. SERIOUSLY?! You can't make this up! #psu  ...
301492153_298259678536814593 x	RT @CharissaT: #TooSoon RT @GHartley5: @CharissaT thought u might like this http://t.co/HSmWhfT5
301492153_297390916686192642 x	RT @MuttCutts: One time we successfully mated a bulldog with a Shih-Tzu. Yeah, we called it a bullshit.
301492153_294936864245313536 x	You know it's going to be a bad commute when it takes over a 1/2 hour to go 2 miles #commuteproblems
301492153_291690083696926720 x	@BunToast must be a badass lady.  Cindy Lou Who wooo
301492153_291210189187723265 x	So the lady that sits across from me at my new job is named Flo and all I can think about is "Excuse me, Flo?" from Dumb and Dumber
