21977146_348458311328362497 x	Music Video: Day 5 http://t.co/pp3PLNt05Y
21977146_347162893655093249 x	Rita's. http://t.co/TRLoUVCsIP
21977146_344268391948906497 x	SONY: Sure they're both black boxes, but ours is italicized.
21977146_396034944343887872 x	substituting blue cheese with ranch when ordering chicken wings, is like substituting every song ever written with a kid's bop version.
21977146_396014618104954880 x	Really? No one else knows about mischief night? I was wondering why they were such easy targets.  http://t.co/8lqTq7irnT
21977146_395747955753226240 x	So I had prepared all these tank jokes and then the @Sixers won. #OneAndEightyOneForWiggins    https://t.co/0dI4PgkDtv
21977146_391073066714816512 x	Ok, here's my shark movie pitch: SHARKS on METH. Even when their teeth fall out they have unlimited replacement teeth.
21977146_390282475588423682 x	One of my biggest concerns about Miyazaki retiring is that I'll probably have to buy all his movies in an expensive Totoro shaped container.
21977146_389899852856844288 x	RT @killquilty: who was the makeup artist in the "where my girls at" video? cuz, like, very good job with the eyeshadow rectangles http://t?
21977146_389890529657233408 x	RT @stereogum: Watch a new video by Roomrunner (@rmrnnr) http://t.co/JUBSpxmY2R
21977146_389846747193049089 x	RT @SPINmagazine: Roomrunner (@rmrnnr) sick zombies on TV chef in their insane "Wojtek" video http://t.co/mhHjF9IFXe
21977146_389825905147006976 x	RT @IMPOSE: Attn @MTV VMAs: Watch this @Rmrnnr video for "Wojtek" http://t.co/jOFm27UyL4 @FanDeathRecords
21977146_389090746273255424 x	RT @allsongs: It's Friday. You can make it! We can help. Watch this rad video from our noisy friends Roomrunner (@rmrnnr). http://t.co/3OCG?
21977146_388909887771508736 x	RT @rmrnnr: "Wojtek" video also contains cameos from: dave jacober of @DopeBody, steph fogle of @HivebentMD, and evan devine of @evan_devine
21977146_388909846797365248 x	RT @rmrnnr: thx so much pete and stephen for all their hard work on the video and countless hrs putting @WojtekWolski86 name on a bunch of ?
21977146_388751603311722496 x	Most GIF?able video of 2013.   http://t.co/aS0lW2Eu6B
21977146_387809742082424832 x	Thought about watching Orange is the New Black but ended up watching the Big Dollhouse instead. Pam Grier plays a prisoner named Pam Grear.
21977146_386356833696243712 x	Highway to the danger zone http://t.co/G9koSbVhxH
21977146_386179408727252993 x	Casual Friday? @RobertBroadfoot http://t.co/uZROkCTS67
21977146_385498576916213761 x	Anyone got 6 terabytes I could borrow for a day? #SeriousQuestion
21977146_385451455462662144 x	@Binzno2 ?@ollymoss: Got so many requests for prints of these Minute Walts I popped them up in the store for 24 hrs https://t.co/HYZYNAKU9Z?
21977146_385300855735328768 x	You've never really experienced cool until you've fired a golden AK47 into the air while yelling "I DON'T HAVE A MICRO-PENIS!"
21977146_384076350564233216 x	RT @50cent: I can't belive my grand mothers making me take Out the garbage I'm rich fuck this I'm going home I don't need this shit
21977146_384040757293617152 x	Congress needs to put aside their differences and start banning restaurants that serve fries, but refuse to give you ketchup. #WarOnTerror
21977146_383767382147092481 x	Someone told me I need to put more time into my tweets. Not true. It took me as long to write this as it took for you to read it. #equality
