441411840_381729180070989824 x	RT @politico: Anthony Weiner: 'I'm not an idiot' http://t.co/4yiozeKHoe
441411840_395954111016730626 x	? LeSean McCoy Says He Tried To Recruit Terrelle Pryor To Pitt But They Couldn?t Afford Him Barstool Sport: BarstoolU via @ochositko
441411840_395949602605510656 x	Biden: Obama and I Aren?t ?Technology Geeks,? Thought Website Would Be Fine http://t.co/bpJ5PFeaQI via @NRO
441411840_395880055076696066 x	? Wait?Other Parts Of The Country Don?t Know What ?Mischief Night? Is??? Barstool Sports: Philly via @twitterapi
441411840_395584027526459392 x	Copier repair guy is really rockin a hairstyle. @ochositko
441411840_395295137980362752 x	SOWELL: The race-hustlers among us - Washington Times: http://t.co/HprsntElFs via @washtimes
441411840_395263429759336448 x	Kanye West: Kim Kardashian is more influential than Michelle Obama http://t.co/B9ADwfk56r via @phillydotcom #delusional
441411840_394988931248181249 x	Lit
441411840_394468466133987328 x	http://t.co/dOTTgmXe1D
441411840_394457702648545280 x	The indoctrination begins. http://t.co/EdxjsjOx8c
441411840_394456766282756096 x	Tailgate has started. Meat balls. http://t.co/Q6anS2FAXj
441411840_394207172890202112 x	@BreitbartNews Blue Devils are cooking some Turkey. @ochositko
441411840_394265756676132865 x	@ochositko always wrestling.
441411840_393713847573684224 x	RT @BBCBenThompson: Clocks go back this weekend - interesting international view: Where in the world uses daylight saving time and why? htt?
441411840_393713134680412160 x	RT @SportsRadioWIP: Some of the highlights of yesterday?s amazing Vick/Barkley interview with @AnthonyLGargano and @RealGlenMacnow | http:/?
441411840_393712386420772864 x	RT @AllenWest: Obamacare operator fired for telling the truth reveals true face of iberalism http://t.co/04ZzqjZ2OU
441411840_393712331467018240 x	RT @WIPMorningShow: "I think LeSean [McCoy] is fired up, he's frustrated with the way he played last week." -@Jkelce. Listen live: http://t?
441411840_393559180176814080 x	RT @ErinBurnett: It's not just you, Angela. Former CIA operative says cost to bug a world leader's cellphone is $400-$500 & it's easy http:?
441411840_393558978816647168 x	RT @JennyDellNESN: And it's @davidortiz with a 2 Run HOMER to put the #RedSox ahead 2-1 in the 6th!!
441411840_393558895240937472 x	RT @AshleyFoxESPN: Ortiz is so money.
441411840_393488912989302784 x	Just posted a photo http://t.co/bOGcPovbKW
441411840_393368075707228160 x	On transportation funds, Corbett tells lawmakers: 'Get this done' http://t.co/u0pulVFLO8 via @phillydotcom
441411840_393179872245592064 x	@sportswatch @jodymacman that's what happens when u lose!
441411840_393081814145052672 x	RT @nprnews: IRS Delays Start Of Tax Season, Because Of Shutdown http://t.co/SclJmNbBYY
441411840_393078488548118528 x	http://t.co/QwGTLs7Tfr
441411840_393078625068527616 x	@Stoga_83 #callyourPAcongressman!
441411840_393065122253402112 x	Pope Expels German 'Luxury Bishop' from Diocese http://t.co/vBvqmK9Qno via @BreitbartNews
441411840_392816329394118656 x	Amateur snaps spectacular photo of Saturn's rings | Fox News http://t.co/VVlJhNaV0d via @fxnscitech
441411840_392809424751849472 x	Nobel Prize winner Robert Shiller on jobs numbers, home sales, economy - CBS News Video http://t.co/vSx0ErUCUV
441411840_392807789464010752 x	@AC360 @Sebelius Wanna bet?
441411840_392807576720506880 x	@politico @NancyPelosi Not with this health care debacle.
441411840_392807013606252544 x	RT @AC360: "Why didn't they bring their A-team in in the first place?" @drsanjaygupta to @sebelius about #ACA website. #AC3630
441411840_392684014873501696 x	Cruz: ?Nigerian Email Scammers? Running Obamacare Website ? CBS Houston http://t.co/Ja9wODdUcD
441411840_392460513520922624 x	RT @NatePlay60: NY Giants fans heading to bed earlier than I am.
