435224665_422564197893804032 x	@kimberlily spoiler alert: Lena D?s yammers make a guest appearance.
435224665_423952409333751810 x	Charlie Manuel overseeing the replay challenge dynamic would be a 76% increase in ratings. I?d watch a winless team.
435224665_423952044215398400 x	.@CSNPhilly Nice work forcing out Sarge. Now can you make sure that Charlie M?s new responsibilities include advising on replay use? Thanks!
435224665_423950242912808960 x	@treblaw this is grate!
435224665_423902273706545152 x	@meechone yeah, but he?s got a pretty sweet jump shot, so there?s that.
435224665_423901523437842433 x	Really, it?s been 31 days since I muted @ohholybutt already? Time flies! #ff
435224665_423900788860010496 x	Hologram Pete Wentz! RT @inpasadena: A bit late in the game but who are you most excited to see at Coachella? http://t.co/Og5IFPSMKm
435224665_423892156068007936 x	I don?t always crack jokes on the Internet, but when I do I prefer to use a played-out and unfunny joke format that only old people laugh at
435224665_423669752100159490 x	Did they catch the Swiss Cheese Pervert yet?  (Please say no, please say no, please say no?)
435224665_423631486688821249 x	Can you believe people used to get through the day without the aid of ?friends? from 20 yrs ago posting inspirational quotes on Facebook?
435224665_423626817702858753 x	@TedStryker just messing with you. It?s actually @LiveAtFirefly. Great f?ing lineup though?
435224665_423625888786157568 x	@TedStryker Better lineup, Coachella or @firefly?
435224665_423619388504150016 x	Damn, just now seeing this?RT @latimes: According to the Doomsday Clock, we are a mere five minutes to apocalypse http://t.co/9rCWHcu6id
435224665_423535031915520000 x	@saracircle @treblaw @friznitz5 @Kunk7 it?s well documented that I?m the sweater vest KING! I?m a walking GQ shoot, Circs.
435224665_423536062548299776 x	@saracircle @treblaw @friznitz5 @Kunk7 gotta be honest, if we?re making this about someone other than me, I?m not really interested.
435224665_423537476267814912 x	@saracircle @treblaw @friznitz5 @Kunk7 I knew you?d get me, Circs. Have a great day, guys. Hit me up if you want to talk about me some more.
435224665_422164414523908097 x	RT @treblaw: @riddickbowe what do you think about James franklin
435224665_423566228980891649 x	@GoingHard_inger @treblaw @saracircle @friznitz5 @Kunk7 again, ?me, me, me? when that ?me? is not me. smh
435224665_423249559435747328 x	@saracircle need me to grab a snapper out my office window?
435224665_423250032393846784 x	@saracircle but yeah, you?re much more expert than most, for sheez.
435224665_423257198999777280 x	@saracircle ALAS, FOR I AM CUNTIFICUS!!!  (okay, I?ll quit beating that dead horse)
435224665_423260712408870912 x	@saracircle I do, but that would be awfully mean to one of the six people who watched and appreciate your brave acting endeavors.
435224665_423244240492056576 x	My bitch maid. RT @LAist: What are your favorite food delivery services in L.A.? (Like GrubHub)
435224665_423243793614135296 x	@saracircle Had a dress shirt made (for work) with a ?Cuntificus? name plate, and I don?t think I?m getting the respect I deserve?
