1397354186_392308932745515008 x	The shooter has been ?neutralized? at #SparksMiddleSchool http://t.co/2UQ0DYdrG3
1397354186_392309408773861376 x	So sad, another school shooting.
1397354186_397714682343350272 x	RT @graysonkamm: #StPete Mayor Bill Foster is inside voting (for himself) now- he'll talk w/us after. Rick @Kriseman voted mins ago. http:/?
1397354186_397712487338217472 x	GO VOTE TODAY! I urge you to go, and make a difference. #vote
1397354186_397712228939739136 x	RT @TampaBayTraffic: VETERANS EXWY: RT @JasonACG: @TampaBayTraffic VetEx more dreadful than usual. Backed up to Hutchinson.
1397354186_395528624658714624 x	RT @BBCAfrica: Vote-counting is reported to be under way in a unilateral referendum held in the region of #Abyei claimed by both #Sudan and?
1397354186_394817266744717312 x	Trayvon Martin, George Zimmerman Halloween Costumes Not Funny... http://t.co/6pxf94lWco
1397354186_393359088975093761 x	RT @TEAVANA: @FislerNews Cheers, Elizabeth!
1397354186_393079684117721088 x	Cutie! "David Beckhams 2-Year-Old Daughter Scores Goal http://t.co/uqpmcojMac"
1397354186_393018491294326784 x	Inmate Who Escaped Has Court Hearing http://t.co/vDe0z7khU5
1397354186_392704486830907394 x	Apple's new system is free! #Apple
1397354186_392679636460511232 x	Opening statements began this morning in the Anthony Taglianetti murder trial.
1397354186_392674222901719041 x	Sneak Peek at Aquatica Orlando?s New Water Thrill Ride! http://t.co/NJvWLAIP4i  #NothingTaller
1397354186_392664107171590144 x	National Unemployment Fell, Metro Areas Still Suffer http://t.co/hy32KEJYNr
1397354186_392661077600661505 x	Abortion Debate Renewed In Texas http://t.co/r0fOzSPCwk
1397354186_392620320772743170 x	The couple I hate to love, and love to hate: Kim Kardashians engagement ring http://t.co/M8IqTWQmUP
1397354186_392324285877854209 x	Two Children In Critical Condition After Middle School Shooting http://t.co/pKVLgmviWf
1397354186_392322930165563392 x	Reno School shooting update: Hospital has two male minors in critical condition. #renoshooting
1397354186_392322425431412736 x	Local Reno station claiming boy shot himself at #SparksMiddleSchool but it is NOT yet confirmed. #shooting
1397354186_392321254599823361 x	@Magi_C are you referring to the Sparks Middle School shooting?
1397354186_392321499027083265 x	@Magi_C Where did you hear that news? I'm a reporter with News Talk Florida, trying to get more information.
1397354186_392321964229931008 x	@Magi_C Ok thank you very much, I appreciate your help.
1397354186_392320606718287872 x	Who is covering the press conference of the #sparksmiddleschool shooting at 12 ET?
1397354186_392316489820143616 x	Video At Scene Of Sparks Middle School Shooting http://t.co/hmpGpUh8F6 #sparksmiddleschool #schoolshooting
1397354186_392318796959977472 x	@redptstrategies I hope so. Shame that CNN decides to do three top stories on speech instead of shooting. Ratings > News.
1397354186_392310937404702720 x	President Obama speaks on #AffordableCareAct glitches http://t.co/GCivJhyr3r
1397354186_392309352901935104 x	RT @Magi_C: Prayers to the ones that got shoot and to everyone one who witnessed the shooting #sparksmiddleschool
1397354186_392307217715589122 x	BREAKING: Shooting Reported At Nevada Middle School http://t.co/2UQ0DYdrG3 #Sparksmiddleschool #nevadashooting
1397354186_392284759490981888 x	Obama To Address Health Care Website Errors http://t.co/h7cTu4ISeL
1397354186_392284503449690112 x	This is one of the funniest @CNN videos! Politicians Who Know How To Dance #politiciansdance http://t.co/1jWCoyml3s
1397354186_392249398169571328 x	Why would firefighters start a fire? "Back-burning" technique used to battle #nswfires in Australia. Video: http://t.co/6mXqZjDBMj @BBCWorld
1397354186_392249290212401152 x	Same-sex marriages begin in the Garden State: http://t.co/pWqWCCRy39  @NBCPhiladelphia
1397354186_391656803341062144 x	Another one!! For the 2nd time this week, an #oarfish is discovered in CA. This one is 13.5 ft long http://t.co/4pIL21Gg0r
1397354186_391651034407649280 x	Drinking Chai tea from @TEAVANA and cleaning the house. Just for a second it feels like fall in Florida!
1397354186_391647159076261888 x	@MariottiShow just filed a great column about the Cardinals game last night. See it on http://t.co/JSKEfA0tW4 #MariottiShow #1040theTeam
1397354186_391246404397449216 x	What?! "Woman Caught Shopping With Dead Baby In Purse http://t.co/HWkqLmQuXM "
1397354186_391239645947650049 x	RIP #TomFoley
1397354186_391188187302727682 x	@Newzysteph Love your site, @CareerChick very empowering!
