316393705_385805463251869696 x	@JoePitts4PA  #justvote
316393705_396257789812551680 x	RT @CatholicDems: On a day where food stamps are cut by $5B, today's Gospel is the Beatitudes. Fitting. http://t.co/7dP5S82xT1
316393705_396257094048808960 x	RT @DanAmira: Hard to believe Romney was a merciless bully in high school http://t.co/VAzLxEwHxi
316393705_394634421753896960 x	@DaleMurphy3 @MLB Get rid of the DH!
316393705_392397261025837056 x	@MillerGabrielle @CallMeFitzTV yes it is!
316393705_392327934058696704 x	@Patsy1207 @Slate That's what I say!
316393705_391356843400130560 x	@sbaickerCSN no kidding
316393705_391356095438258176 x	@sbaickerCSN This Is Not For You with Neil Young a guest guitarist
316393705_391343887807442944 x	@TheRealDGunnCSN Nice guy!
316393705_390563531521028096 x	@MindtheGap_BBCA Fish and chips with mushy peas at Quips in Lancaster, PA
316393705_390563803743916032 x	@MindtheGap_BBCA fish and chips with mushy peas at Quips in Lansster, PA #MindTheChat
316393705_390209096563298304 x	RT @BarackObama: Retweet if you agree that shutting down the government is not a negotiating tactic. #EndThisNow
316393705_390149768225492992 x	RT @BarackObama: Retweet to tell Tea Party Republicans in the House of Representatives: Do your job. End the government shutdown now. #EndT?
316393705_390071278260195328 x	RT @NewYorker: George Packer on Dealey Plaza and the city where J.F.K. died: http://t.co/KdPpWKFgHr
316393705_389913152152145920 x	RT @CatholicDems: Fascinated by those who think they are so patriotic that they'll fly a flag of rebellion. Do they not understand contradi?
316393705_389796620721991681 x	@MJMcKean Thank you very much!
316393705_389388813950529536 x	@MyPolishFace thank you!
316393705_387643313475837952 x	RT @TheNewDeal: The Teaparty Aren't Hypocrites, They Just Prefer a White President Creating Debt Over a Black One Fixing it. #TeapartyShutd?
316393705_387612462180474880 x	@DennisDeitch What, you don't think supporting a "looser" (sic) like Obama is wrong?
316393705_387601225967230976 x	@TheRealDratch Hah! Missed that at TJs yesterday. Overwhelmed by the pumpkin coffee, soup, cereal bars, etc.
316393705_387352318804787200 x	@WhitlockJason @richeisen but none of the viewers do!
316393705_386941738835017728 x	@KevinCooney They are both dumber than a bag if hammers. Really hard to listen to hear guys.
316393705_386934979764432897 x	@Jeff_McLane of course Cruz has been whining all day about interference
316393705_386934868292415488 x	@Jeff_McLane bullshit call
316393705_386930892805242881 x	@LesBowen It is ridiculous.
316393705_386911124916281344 x	@RoobCSN safety! Brutal!
316393705_386904465523359745 x	RT @NeinQuarterly: Come to Philly for the Liberty Bell. Stay for the dialectics. http://t.co/FWN8rAtLoa
316393705_386571294286041088 x	@rickygervais I did see Schindler's List Serv, but can't remember who.
316393705_386518352103231489 x	RT @DennisDeitch: THE HEALTHCARE LAW IS LAW. THE HEALTHCARE LAW IS LAW. THE HEALTHCARE LAW IS LAW. THE HEALTHCARE LAW IS LAW. THE HEALTHCAR?
316393705_386254151380107264 x	RT @WhiteHouse: RT if you agree: It's past time for Congress to #JustVote and end this #Shutdown.
316393705_385946296118681600 x	@normmacdonald Like Ambrose Bierce's story "Occurrence At Owl Creek Bridge"
316393705_385844226342518784 x	RT @TheNewDeal: Remember When the America Elected Mitt Romney, a GOP Senate, & More GOP to the House in 2012?... Me Neither #BoehnerShutdow?
316393705_385806291035504640 x	RT @TheNewDeal: #Retweet to Tell @SpeakerBoehner to Stop the Extortion. PASS A CLEAN CR BILL & END THIS SHUTDOWN! #BoehnerShutdown #GOPshut?
316393705_385783368459505664 x	RT @DennisDeitch: Ole Miss' mascot represents a guy who fought for the side that wanted to keep blacks enslaved forever who has expectation?
316393705_385497356311228416 x	RT @BarackObama: Retweet if you want this #shutdown to end.
316393705_383367153115987968 x	@AnswerDave @DennisDeitch  George Will and Selig are asshats
316393705_382928128999694336 x	RT @raulmalo01: @washingtonpost no shit it was a waste of time
316393705_381797921710440448 x	@ESPNNFL what does Matt Millen think?
316393705_381797725786095616 x	@ESPNNFL said the man who traded all his picks for a whacky porhead
316393705_381163256267952129 x	@joanwalsh @Salon He has the most punchable face in politics!
316393705_380877415507324928 x	RT @LesBowen: Standing O for Donovan, as everybody who actually knows Philly predicted.
316393705_379058217856532480 x	RT @lizzwinstead: Motivational Speaker is a term invented by narcissists who figured out how to get paid for it.
316393705_378312862961504256 x	RT @assholeofday: In case you missed it: Look at all these assholes try to make 9/11 more about Benghazi than Ground Zero: http://t.co/FXbQ?
316393705_377947702296076288 x	RT @gastropoda: .#NPR: Benghazi? WTF? Every time you "report," you need to add up embassy attacks under GWB. Also, too? 9/11.
316393705_377856773480529920 x	RT @TheNewDeal: #NeverForget: Bush Ignored Warnings of an Attack on the WTC While on Vacation & Gave Up on Catching Bin Laden. #Wherewereyo?
316393705_377814501690974209 x	RT @TeaPartyCat: POLL: 74% of Republicans couldn't name anything else that happened in 9/11 besides Benghazi. 26% said "Um, Pearl Harbor?"
316393705_377234741030027264 x	@DennisDeitch good boy
316393705_377234496103677952 x	RT @ColbertReport: Christianity is the best way to cure gayness: get on your knees, take a swig of wine & accept the body of a man in your ?
316393705_376088004252938241 x	RT @RealDonalDrumpf: Congratulations @repmichaelgrimm! Last week you raised $ supporting a strike on #Syria. Now you're doing the same oppo?
316393705_375678372057452545 x	RT @assholeofday: Is Rick Santorum asshole of the day for urging strikes on Syria for 18 months... then changing his mind because Obama htt?
316393705_375414630660988928 x	RT @MyPolishFace: "America runs on dunkin'!" - Michael Jordan
316393705_374201739718975488 x	RT @Will_Bunch: Interviewing Piers Morgan about David Frost would be like interviewing Michael Martinez about Willie Mays
316393705_373043608683048960 x	@DennisDeitch   Christmas list??@Joethepublicist: Yep. We're publishing Donald Fagen's memoir on 24th October: https://t.co/YHcENc7gbL?
316393705_372874211087613952 x	RT @DennisDeitch: Jimmy Rollins' stolen base was his 420th of his career. You know how to mark this occasion...
316393705_372873605987975168 x	RT @Buster_ESPN: When I heard about NCAA/Manziel decision,I thought of the Sopranos episode when Meadow walks away grinning after negotiati?
316393705_364877494497079296 x	RT @repjohnlewis: When President Johnson signed the Voting Rights Act, he did more than sign a bill into law, he liberated our nation.
316393705_364872410631507968 x	RT @DennisDeitch: Think I'll do a "Mock Cooperstown" vote via Twitter with 2014's ballot. Do some RT/Favorite stuff to this if you like the?
316393705_361982724271112192 x	RT @TeaPartyCat: And verily I say unto you that Paul Ryan will deny voting 19 times to raise the debt ceiling under Bush before the cock cr?
316393705_360532883443679235 x	RT @billclinton: I'll never forget it. MT @WJCLibrary 1963 photo of @billclinton at 16 yrs old meeting JFK at the White House. #OTD http://?
316393705_360532236275154944 x	@MavericksMusic Ven Hacia Mi
316393705_359052044763922432 x	RT @pat_irishmusic: Week top tweets, 1 - The Waterboys ? legends of Celtic folk and rock. Great overview of their career.   http://t.co/28u?
316393705_356576984823906307 x	RT @capricecrane: "Anyone who's ever met me knows I'm an asshole, but I want strangers to know it too." - People who drive Hummers
316393705_356165206432419840 x	@RoobCSN That would be great!
316393705_354783175697907712 x	@KevinCooney @DennisDeitch @ryanlawrence21 @WheresKernan Field of Dreams is the Bread of baseball movies
316393705_353664400923705345 x	RT @MBarkannCSN: You will not find a better restaurant anywhere than: http://t.co/NnxEJtkTwI
316393705_353662084858380288 x	RT @DennisDeitch: Bryce Harper voted an All-Star. You people are idiots.
316393705_353579502498091008 x	@RealCJ10 @KevinCooney Don't remember the Braves whining about umps behind home plate when Maddux, Glavine were getting strikes 6" off plate
316393705_353653203679711232 x	@RealCJ10 @KevinCooney  no it doesn't make it right and granted Hernandez is truly awful
316393705_353125103015444482 x	Perfect! ?@RoobCSN: I disagree. He's written way more awful songs than me
316393705_353124402130460672 x	RT @RoobCSN: I'd rather chug sewage RT @KennyCruzDixon Hey Roob did you get a chance to see your man John Mayer at #PhillyJam?
316393705_352483438789537793 x	RT @TeaPartyCat: It's not the $100 million cost of Obama's trip to Africa that makes conservatives mad; it's that it's a round trip flight.
316393705_352205803937218560 x	Really, @espn? A-Roid's rehab ABs?
316393705_348845881052766208 x	RT @TeaPartyCat: Before the cock crows, Marco Rubio will betray his own immigration reform bill three times.
316393705_344987991414030336 x	@MillerGabrielle thanks!
316393705_344275353348497408 x	@counselonpointe  http://t.co/dONCA9hjXf
