65137552_296039279765909505 x	Blimp sighting at dusk in New Orleans: http://t.co/3vYbxRAT
65137552_390450359992193024 x	@JimmyKempski @ChipWagoneer OK, I will, because there aren't NEARLY enough people breaking down film and blogging. Really rare these days...
65137552_382319334049480704 x	So DRC whiffed on the coverage, then took out his own man to free up the receiver for the TD...
65137552_395563839045238784 x	Chip asked if QB instability is going to be more or less permanent. "God I hope not" he says.
65137552_395184389706891264 x	Chip Kelly says game plan doesn't change much with QB: http://t.co/poRHYri5Jj
65137552_392658826086076416 x	Vick expected to tell us he's ready:  http://t.co/LjbJnTk7Ca
65137552_166229093220761600 x	If Newt Gingrich were a sitcom character, he'd be Dwight Schrute.
65137552_154704210728976384 x	@Mfarabella My Twitter feed, my agenda, Michael.
65137552_133763804252221442 x	If there's one thing the Eagles have, it's corners. Why is DRC still in the game? Killing the team.
65137552_120609283728617472 x	Hey, Tra Thomas actually made a good point: you need downhill, physical linebackers to play wide nine.
65137552_120599817390010368 x	Eagles defense remains a rudderless ship, from what I can see.
65137552_112978405254901760 x	AJ whaaa??? Kind of an odd move
65137552_112975651350380544 x	Forgot to mention -- Darryl Tapp, who's playing a tremendous game, out with pec strain.
65137552_112945242814160896 x	Pretty sure Cadillac Williams didn't anticipate this workload today. Might need oil change and tire rotation at halftime.
65137552_106901288624734208 x	It's gonna take a while to dry Casey Matthews' hair after this game. Like, til Monday.
65137552_389468176884330496 x	Whatever happened to Brent Celek?
65137552_300818343705841665 x	And good of Downton Abbey to wrap up the two-hour episode in time for me to switch over to the Grammys
65137552_389704522169602048 x	@WIPMorningShow I'm gonna say the fourth and 1 that woulda been a sack if the nose tackle hadn't jumped. Just a guess...
65137552_371465768384598016 x	Chip: Wouldn't use word "regress" RE Vick.
65137552_380854314677174272 x	There is no way an 11th-year NFL quarterback thinks that's the throw to make there...
65137552_380857598888534016 x	@bigcoop200 Give it a rest, please
65137552_267770747236257792 x	King Dunlap killed that drive
65137552_389801103380205568 x	Chip: don't think Polk full practice tomorrow. Ditto Peters and Chung. Expects Peters back for Wednesday
65137552_369638752370819073 x	0-2 single. Wheels wants to be sure to give the hitter credit there. He's a generous fella
65137552_352241077916409857 x	Wheels loves it when a late-inning reliever won't throw strikes. Myself, I think they're kinda necessary.
65137552_308697170612191232 x	I didn't have to wait til March 12 to be "unrestricted." I wore really old, stretchy underwear under my running pants today.
65137552_377227738421006337 x	44 Eagles plays for 278 yards, Redskins 15 for 46.
65137552_394315258455924736 x	So what's the rule? Does the fielder have to be trying to trip him?
65137552_394315878927716353 x	That's silly. RT @JohnPhilMLU: Seems to be because the legs came up...even if legs being raised didn't actually cause trip.
65137552_389409300436635648 x	If "Nick Foles is warming up" sends you into a spasm of tweeting me about my imaginary hatred of Vick, please unfollow. Better for everyone.
65137552_388745580513488896 x	This MRSA thing is just a conspiracy to bleep up my one day off.
65137552_388756281533558784 x	It's interesting that Nick Foles suddenly popped up on the Eagles' injury report Friday with "probable/groin." Wasn't there Thursday.
65137552_394942293612191744 x	Ah, darn now they're taking a call from guy with patience and perspective. This is no fun. Cut him off, Cuz!
65137552_388752318273159168 x	Meanwhile, Eagles list Vick "questionable" for Sunday
65137552_377209622223781888 x	What ARE they saying on TV?
65137552_396111093892124672 x	Just saw replay again. No mention from broadcast crew. Guess that rule isn't operative tonight.
65137552_333422169965088770 x	Very nice play but I would not go nearly that far. ?@chriswberry: @magelb @LesBowen he just made up for it?
65137552_333414606691266560 x	Wheels actually speaking truth here. My head hurts.
65137552_379445501651066880 x	Brandon Boykin can play. Three more like him, Eagles would have an NFL secondary.
65137552_375684342858915840 x	Michael Vick was not happy with today's scuffle, or its aftermath:  http://t.co/gJ6rwJ3S8H
65137552_371781664353288192 x	Might not be. Depends on what's out there RT @cjchamp2001: @LesBowen when do you think Casey Matthews will be cut?
65137552_371447048094351360 x	Huge, senseless turnovers are what I'm taking away from this game.
65137552_285536177560379392 x	Eagles say vehemently that there was no dismissal of Andy Reid on Friday. He will meet with Lurie Monday.
65137552_386940638110834688 x	Wow. chance to really take control of game, Eagles stumble around, trying to throw three in a row with Foles. Don't get it. Where's McCoy?
65137552_135819742568124416 x	Nnamdi offside is the story of that drive.
65137552_230658699792879616 x	Reid: Trent Cole has an AC joint problem. Unclear when he practices.
65137552_361129878705283072 x	Jason Peters is up to speed! (That's a pun. See, It's funny cuz he was arrested for drag racing): http://t.co/Ee5GvcdBBh
65137552_317793367931092992 x	A Horst is a Horst, of courst, of courst...
65137552_380880602188099585 x	Andy needs a TO, 27 sits down...
65137552_354779464921645057 x	One thing I'll say for Wheels: his contempt for Bastardo isn't even thinly veiled.
65137552_394943433917620225 x	Here we go. This caller is "bored out of my mind" and says Chip needs a franchise quarterback. Howie "understands where you're coming from."
65137552_394822719461945344 x	Chip seemed stunned that Mike Vick's hammy wasn't right yesterday, after 3 weeks. Guess they didnt have any 33-year-old players at Oregon...
65137552_393368631943639040 x	Kelce's take on opponents adjusting to Eagles' inside zone read: http://t.co/14VDjUMGJT
65137552_393372449611333632 x	@DouglasGifford Thanks. They seem to be making the stories more accessible on the http://t.co/WKM5Lxrsbm site.
65137552_392308541761282048 x	I was away over the weekend but now I think I'm caught up. Basically, Dom Brown played a terrible game at QB for the Eagles, right?
65137552_390118085971443712 x	That last link was for my review page. Be sure to read the whole thing, don't miss the Donnie Jones/Dhani Jones joke. I worked hard on that.
65137552_389697304737107968 x	Sometimes I write on the plane home. Not feeling that today. Hoping to be sentient by the time Chipper talks at 1. Lofty goal, yes.
65137552_388679091391823872 x	Doug Martin, Tampa's running game will be a big focus for Eagles' D, Brandon Graham said: http://t.co/9ZMPoiYEdY
65137552_388655032901844992 x	Chip, Vick make it clear I'm gonna be watching warmups w/binocs Sunday in Tampa. Promo Code E35B:  http://t.co/YFyLeyEn5m
65137552_388658986356342784 x	@DouglasGifford I don't think it's gonna be with us much longer. Of course you COULD just subscribe, and help me remain employed...
65137552_339800278796738563 x	Jeff Lurie: Jason Peters has his own personal reasons for not being here, and I empathize with him.
65137552_392631139333984256 x	Well, I've discovered the secret to getting a zillion smartass Twitter responses. Just make a typo in a position abbreviation. Fun for all!
65137552_392628109662748672 x	Or QB GJ Kinne, trying it without the typo
