1110422041_394262135817396224 x	@priincesss22 @RinaldoZac me too! Its usually Simmer getting hit in the face by pucks.
1110422041_394263301817110528 x	@priincesss22 when I played I got hit in the helmet & visor plenty of times & it hurts. Sure the face is worst.  Ugh!
1110422041_393742452172926976 x	@priincesss22 your boy almost had a sweet goal!
1110422041_391024236175056896 x	On a positive: we get a whole week where none of us will want to break something or kill somebody.  YAY!
1110422041_391027383970856960 x	@priincesss22 they didn't play bad last 2 games but lost it in final mins.  Puck just won't go in.  I just don't get it....
1110422041_391028023438635010 x	@priincesss22 I'm just depressed right now.  Another sleepless night.  Ha
1110422041_391013790575509504 x	@priincesss22 if they lose that will haunt him later tonight...
1110422041_390971290288668672 x	@priincesss22 Looking good girl!  Rock that shirt with bride!  LOL
1110422041_390972844995510272 x	@priincesss22 yeah, on other hand could be at game pissed off.  Let's hope not right?!  #GoFlyers
1110422041_390887112318672896 x	@priincesss22 Zzzzzzzz
1110422041_390296071458787329 x	@priincesss22 Look who I saw... that's you two right? http://t.co/EaV3uwcPqk
1110422041_390298731628990465 x	@priincesss22 yeah I waved a few times but figured ya couldnt see. I'll send ya some pics tomorrow.  Zac & Brayden sprayed us with ice. Ha!
1110422041_390291617183461376 x	@priincesss22 sorry phone was being weird. Yeah it was really cool as always. Can't believe they lost this damn game!!! Ugh! So pissed!
1110422041_390294185406115840 x	@priincesss22 everytime I'm on the bench ur future hubby says hi to us. So does Rinaldo.  You jealous?!  ; p
1110422041_390166881761763329 x	@priincesss22 http://t.co/xQaLJXtUc8
1110422041_390174099512643584 x	@priincesss22 plus don't forget they'll be handing out rally towels tonight too.
1110422041_390175116316778496 x	@priincesss22 gotta keep my girl in the loop.  ; p
