351202419_306282146853699584 x	@ryansellman1927 #mooch
351202419_365155279362461696 x	@NBurt11 @saltyjakemurphy you wish #allnaturalflow
351202419_396012957030576128 x	This downie trade won't solve that goal scoring problem
351202419_395906979727568896 x	A little bit south of Saskatoon #puttinonthefoil
351202419_395629885785653248 x	Quack quack quack mr ducksworth http://t.co/XGhoZYBGqY
351202419_395300933027889152 x	Thanks UT for making me take theater class #killme
351202419_393008954760261632 x	RT @Buccigross: Alex Ovechkin: 31 goals in last 30 regular season games dating back to last year-highest goal total over any 30-game span o?
351202419_392345882625982464 x	@mennanbcdonnell we need this http://t.co/bD8IoA1dlo
351202419_391451207296114688 x	That dude with the transparent Lexus
351202419_391257414718480384 x	@espn one timer slap shot that goes bar down in overtime #ChampionshipClincher
351202419_390998193817014273 x	Paul holmgrem can start packing his shit now
351202419_390997652231708672 x	@mennanbcdonnell hey but we get 2 goals scored on us really well #bottomfeeder #angrycity
351202419_390987967499866112 x	RT @mennanbcdonnell: I hate how like thing have to do get in the way of my drinking schedule #thestruggle
351202419_390982477520846848 x	The flyers look like trash
351202419_390870176620875776 x	Flyers vs penguins tonight #NHLrivalry #shitsburgh #pleasescratchcrosby
351202419_390857045324603392 x	Bank got robbed a block from campus #greenspot
351202419_389797329467084800 x	#flow http://t.co/0Re1WHkBNo
351202419_389792657603825665 x	Just broke into my own house #creditcard
351202419_389125919635689473 x	@saltyjakemurphy when did you make that your picture hahah
351202419_389240038745452544 x	@saltyjakemurphy it's a legendary pic
351202419_388436389710528513 x	RT @ChirpHard: Joe Thornton, ladies and gentlemen. http://t.co/9BYf5XFAqp
351202419_387992340406611968 x	@espn #BestHockeyGoalEver http://t.co/HqkfQ9hYgd
351202419_387658236389642240 x	Shamu needs to go back to her tank where someone might give a fuck
351202419_387408339186884608 x	I put the country station on the porch and all my neighbors went inside #tampa #hood #minorityme
351202419_387239535522091008 x	So Philadelphia sports teams has fired all 4 of their coaches since about June #blownup #rebuild #goflyers
351202419_386649391228276736 x	Ovechkin is gonna have at least 50 this season
351202419_386369658892615680 x	Just got my first junkyard alley cat #inthismafucka #tampahood #sebastian
351202419_385458137136119809 x	Flyers season opener tonight #NHLFaceOff
351202419_385048231425482752 x	so congress causes hundreds of thousands of people to stop getting paid but they still get their money #bullshit
351202419_385012829985570816 x	NHL tonight #finally
351202419_383762895974440960 x	Chilling on the porch #tampa
351202419_383752420884750336 x	RT @twf_16: 80% of the show cops is borderline police brutality
351202419_383328409675235328 x	Just played musical chairs #college #getmeouttahere
351202419_381605859006357504 x	Saw my former RA looking up at the roof spot from last year trying to see what's going on #didntcatchme #sucker
351202419_381595967268864000 x	All these people in Tampa are saying that you can have a 3v2 in hockey #youknownothing #espnfault
351202419_381566166348886017 x	Just saw a real life Florida Panther fan #endangeredspecies
351202419_377434970199179264 x	Neighbor is wearing a caution educated black woman shirt
351202419_370796521195073537 x	Freaking out right now
351202419_370307929590996992 x	@HunsbergerChris hahah nothing better
351202419_369602649764954112 x	RT @_Happy_Gilmore: RG3 will not be able to make tonight's game against Pittsburgh because he got asked to work a double at Good Burger.
351202419_369425014921396224 x	RT @AnishESPN: If it fits in your purse... It's not a dog.
351202419_368962601864019969 x	This dude just ate 4 king size packs of Reese's in under 3 minutes #speed #giantnightshift
351202419_368213608138043392 x	RT @DanyAllStar15: Yeah, Giroux didn't go top cheese 50 fuckin times in 07 that's why he got hurt smashin his clubs when he missed a putt. ?
351202419_367912314726387712 x	Never making it through this shift
351202419_367028928739024896 x	@sonicdrive_in your commercials as well as your food suck #tellmeaboutit
351202419_365156920706871297 x	@NBurt11 @saltyjakemurphy hahahah
351202419_365168528464162816 x	@saltyjakemurphy @NBurt11 I couldn't handle that much flow again #RIP
351202419_363572092723146752 x	This guy is wearing so much cologne I'm getting lightheaded
351202419_363386176054767616 x	@espn that was a great top 10. I didn't see the last walk off coming #baseballsucks
351202419_362339082963124224 x	@NBurt11 couldn't find his car if it was sitting right next to him #panicbutton
351202419_361987578901168128 x	$70 didn't even get me 3/4 of a tank
351202419_359820138154962946 x	The floor is lava!
351202419_359481857693331457 x	That team Canada Olympic team looks scary good #hopingforamiracle
351202419_357047117958742016 x	Working night shift has completely screwed my sleep schedule #nocturnal
351202419_356128094668595201 x	I could never work an office job #cantsitstill
351202419_353214840669601795 x	If the flyers don't resign gagne I will be crushed
351202419_352840012884217857 x	ESPN broadcasts more about pro eating than ice hockey
351202419_352832346946416641 x	I wonder how many hot dogs chestnut eats every other day of the year
351202419_351804164738793472 x	When you drive a Prius you lose the right to drive in the left lane #slow #aabatteries
351202419_350750763213012992 x	@Buccigross flyers were one ping pong ball away from patrick Kane
351202419_350121633958215681 x	RT @ZenonKonopka: 28 NFL players arrested since the Super Bowl (yes since the Super Bowl) #areyoukiddingme #sosmart
351202419_349576012851458048 x	RT @DarrenDreger: The Flyers decision to buy out Bryzgalov isn't much of a surprise.
351202419_349371087953477632 x	And now for the rest of summer we are all stuck watching baseball and getting daily Lebron updates from espn #notwatchingthatshit
351202419_349359489327173635 x	Wow. Only in the NHL playoffs
351202419_348889673067810817 x	76 has traffic at all times of the day #stuck
351202419_347905739261612032 x	The infamous towel hoarder @HunsbergerChris http://t.co/EVqYcauDZZ
351202419_347553661527924738 x	@Buccigross patty Kane #bucciovertimechallenge
351202419_347546364646920192 x	Great fucking game
351202419_346994661249921024 x	There is an army chopper circling my neighborhood
351202419_346098878413676544 x	@Buccigross seguin #bucciovertimechallenge
351202419_346080175643037696 x	Bobrovsky wins the vezina and here we are with Mr.Universe #sweet #goodmoveholmgrem
351202419_345295931601723393 x	There's always that one asshole who does 60 in the fast lane
351202419_345013145342980096 x	@HockeyHood @CellyHard Crosby walks into a bar and asks for a cranberry juice cause he's on his period
351202419_345012537558978560 x	@Buccigross shaw and Bergeron #bucciovertimechallenge
351202419_344540198979383296 x	Seeing the purge @gina4930
351202419_344527830203375616 x	RT @NatePlay60: I'm now the only unsigned virgin.
351202419_343928324608888832 x	RT @BizNasty2point0: 100% of white guys with dreadlocks have at one point lived with someone they met off Craiglist.
351202419_343913092914237440 x	We're all gonna end up livin in a van down by the river #chrisfarley #SNL http://t.co/aNmudrUvkd
351202419_343560102164447232 x	@Buccigross hossa or brown #bucciovertimechallenge
351202419_343264972060622849 x	Never gonna be able to sleep tonight
351202419_343208013563314176 x	And the phillies lose because some steroid junkie is still allowed to play #ROIDS
351202419_342848166917439490 x	RT @Bighugh53: S/O to Chris Bosh for thinkin he could make that shot! You were the only one that you could homie!!
351202419_342711795523395584 x	If you want to know what lebron ate for breakfast watch sportscenter #lebroncenter #asskissing
351202419_342495274364715008 x	And that's why no sport is better than hockey #2OT #StanleyCup #Rask
351202419_342472399012380672 x	@Buccigross Horton or niskanen #bucciovertimechallenge
351202419_342429532923510784 x	RT @NBurt11: My 86 year old grandmother just said Pierre looked like a "penis with glasses on" I'd vote her for the grandmom of the year!!
351202419_342429049622249473 x	haha #rolltoilet http://t.co/yPqzXErCrR
351202419_342287962777714691 x	RT @TheFakeESPN: Pittsburgh Penguins embarrassed in blowout loss to 2nd best air hockey player at local Chuck E Cheese.
351202419_342116879801925634 x	did nobody in the hockey world see that goalie play the puck outta trapezoid.  Should be a powerplay kings not hawks
351202419_342053781023887362 x	RT @DarrenDreger: Visors will be grandfathered in.  Hybrid icing tested in NHL preseason. Shallower nets to be used next season. All subjec?
351202419_341984653600755712 x	I need a fucking job
351202419_340493650989576193 x	Random ass people I've never even heard of favorite my tweet from like a month ago #weird
351202419_339942034389467136 x	RT @TheFakeESPN: Blackhawks win 3-1
351202419_339934971550633985 x	@Buccigross sharp and franzen #bucciovertimechallenge
351202419_339094054669254656 x	Can't win without the ball #duke #fogo
351202419_337575974797455361 x	@NBurt11 very familiar haha
351202419_337249119724769280 x	RT @MRichie_10: How much higher would the ratings in hockey be if we did interviews like this? http://t.co/7zYxUytmBo
351202419_337078026565197824 x	Why do we refuse to use air conditioning #nosleep #sweating
351202419_337024210142650368 x	@ryansellman1927 hahaha this is great
351202419_336305594568945665 x	@Buccigross condra or Neal #bucciovertimechallenge
351202419_336247715514159104 x	RT @ifyouseeKAYmeee: Lmao the rangers coach is a straight douche
351202419_335919659729711104 x	?@DmanHockey: #PerksOfDefensemen if you touch our goalie, we get to light your ass back up on fire and fuck you up.? @NBurt11
351202419_335186585198931968 x	Forgot how not fuel efficient my truck is #gasguzzler
351202419_334163873353568258 x	@ifyouseeKAYmeee @gina4930 @kelseyburnett19 @hayliemoeller I have nothing to say
351202419_334129612739190784 x	Lundqvist is a wall
351202419_333396477445558274 x	@Buccigross okposo or Crosby #bucciovertimechallenge
351202419_333384455483949056 x	HOME
351202419_333337568194203648 x	Finally got through the traffic only to get stuck in a monsoon
351202419_333332392485982208 x	RT @AnishESPN: Detroit leading #2 Notre Dame 2-0 after the 1st... IF (and it's a big IF) Detroit pulls this off - you're talking a historic?
351202419_333321972245213186 x	RT @kelseyburnett19: This traffffic is insane
351202419_333171530420867072 x	?@NBurt11: One year ago today marks the best bachelor party in the world @dhuns5? that weekend has yet to be topped
351202419_332914687450693632 x	Moving out and driving home #610 #longrideahead
351202419_332317709226352640 x	@Buccigross bozak and krejci #BucciOvertimeChallenege
351202419_331598717645910016 x	@Buccigross filppula and ryan #bucciovertimechallenge
351202419_331595724145971200 x	pavel datsyuk is too good #snipe #bottlepopper
351202419_331444908873359360 x	Beach all day #summer
351202419_330736353727889408 x	RT @DrunkKane: yeah, I'm at the track fuckin betting on the Kentucky Derby, what number is Sarah Jessica Parker?
351202419_330380018767253505 x	The week of hell is finally over #finalsnextweektho #fuck
351202419_330018737837195265 x	The second worst thing about the end of the semester are the class survey emails #emailsonemails #fullinbox
351202419_329995854133989377 x	RT @TheSchoolPhilly: Great article on Eric Lindros, one of the all-time Flyers greats #88 | http://t.co/PqQmVhB7Po
351202419_329992291467022336 x	1 more week til I'm going home #summerliving #cantwait
351202419_328891746345951232 x	RT @DrunkKane: Mark Sanchez threw a going away party for Tim Tebow... But it was intercepted and ran back for a touchdown.
351202419_328321258699759616 x	The flyers need to lose tonight. This win is not worth dropping 4 picks #goodseasonboys #golfseason
351202419_327149673964007424 x	I can't wait until summer #2weeks
351202419_326870335477657600 x	This kid has been showering for 30 minutes #getout #turnyourshittymusicofftoo
351202419_325371454478761984 x	My sunburn itches #wtf
351202419_324583530451591169 x	6 outdoor games is stupid. It takes all the uniqueness away from the winter classic. First these new conferences and now more outdoor games
351202419_324334195415592961 x	Ovechkin is back #nhl
