1330176252_364557460742213633 x	#Popcorn Hoes
1330176252_386720541601591296 x	@BionicBombshell I'm High As,A,Giraffe asss
1330176252_389110215590703104 x	@WeIlKeptSecrets yes
1330176252_395401503126474752 x	@iamBreadBoiFoe Smokin Weed Watchin Jimmy Kimmel
1330176252_395357872936071168 x	RT @KattWilliams: BLACK Parents ONLY Give You 1 Ride ? Its either they Drop You Off OR They Pick You Up Its NEVER both!
1330176252_393884032489897986 x	RT @HippiePosts: The #Catfish theme song should be "U.O.E.N.O." ????
1330176252_393517335035666432 x	RT @IntEngineerings: Every guy needs this http://t.co/Ffm22BMiO9
1330176252_393210883679076353 x	@BionicBombshell I guess it's whatchu Call It Each One Teach One
1330176252_393142821869195265 x	@JDeezyMTV Dats a Good Look Dudes Gon Be Handcuffing Dates Tho LOL
1330176252_393141593907003393 x	@FuckYouXavier Only GOD Can Judge Me FUCK Your Honor
1330176252_393104198515970048 x	@Cuban_Michaels Get Well King Michaels
1330176252_393103746227380224 x	RT @TedOfficialPage: Men lie, women lie, screenshots don't.
1330176252_393100665561444352 x	@TedOfficialPage Ted-Is-Fuckin-Awesome
1330176252_392436093011771392 x	@UnusuaIFactPage @inventionposts Yessssd Butcher Lookin Sexy In Red Bottom Heels
1330176252_392431192001110016 x	RT @LilTunechi: Amsterdam u fxxkin go hard!! I luv y'all
1330176252_392405968622874625 x	@ImmaHndFull @TYTYDAVIS1 @DfyeAnt @BlessedN_Tatted @6AVE @VisionAriesPR @Dion_Live @AyeeFrankeeTJ @warmani @tjay501 Evening
1330176252_392373887251394560 x	RT @tjay501: @TYTYDAVIS1 @DfyeAnt @ChlydeLaForge @BlessedN_Tatted @6AVE @VisionAriesPR @Dion_Live @AyeeFrankeeTJ @ImmaHndFull @warmani whad?
1330176252_392373859241840641 x	RT @DfyeAnt: Mornin Gentlemen @ChlydeLaForge @BlessedN_Tatted @6AVE @VisionAriesPR @Dion_Live @TYTYDAVIS1 @AyeeFrankeeTJ @ImmaHndFull @warm?
1330176252_391670461550952449 x	RT @SteveStfler: She pregnant? Not your business. She suck dick? Shit thats her. They broke? Not everybody got money. Mf's be worried about?
1330176252_391666207331319809 x	@SteveStfler Only wen I'm Stoned
1330176252_391523121133395968 x	Thank GOD for Block Buttons
1330176252_391270264761102336 x	@JoeBudden @MSjulianaa Joe Budden Slaughter Dudes Wen yu talkin Best Rapper It's Rhetorical.
1330176252_390965480476782593 x	@BryNtMusic It's Nerve Wrecking but move on We must I,feel ya bro
1330176252_390965068482879488 x	RT @SteveStfler: I think the main reason I dislike kids is because they have so much energy and I don?t and I?m secretly jealous
1330176252_390964491996782593 x	@kwayze And Try to Make You Out To Be The Bad Guy so typical victim
1330176252_390964234307129344 x	RT @iKeepItTooReal: The reason I hate math tests: http://t.co/HDiXLF5DdC
1330176252_390962939441594368 x	High as,a Giraffe Ass,Rite Now
1330176252_390858528589479937 x	RT @BarackObama: "The first government shutdown in 17 years is now over." ?President Obama
1330176252_390858311639134208 x	RT @Thesciencealert: Intimacy: A relation into which fools are providentially drawn for their mutual destruction.
1330176252_389116918273044480 x	@MostSecretFacts It was 6 lol
1330176252_389107723016478720 x	RT @WeIlKeptSecrets: Honey, when mixed with vinegar and water, can remove worms and other parasites in your body.
1330176252_388472191475396608 x	@iRepTeamHEAT @iTeamHeat_ I don't know about LeBrob but LeBron is the Shizznaiee
1330176252_388088021637029888 x	RT @TedOfficialPage: rt If you are a stripper and proud
1330176252_388087422925295616 x	RT @TedOfficialPage: Sorry for calling you a bitch. I really thought you knew.
1330176252_388087316440289280 x	RT @TedOfficialPage: Sexually rubbing the wall until you find the switch.
1330176252_387764289517281280 x	@awkwardposts @GhettoChiIdren I heard Morgan Freeman
1330176252_387363272686465024 x	RT @psychologicaI: "Mephobia" is the fear of becoming so awesome that the human race can?t handle it and everyone dies.
1330176252_387360431662059520 x	RT @psychologicaI: Psychology says, staying quiet doesn?t mean you've got nothing to say. It means you don?t think they're ready to hear yo?
