1312107852_395720609054724096 x	@ruthrucker2 You're welcome! #GoBigBlue #BBN #LaFamilia
1312107852_395754463467548672 x	@nannan354 You're welcome. #LaFamilia #BBN
1312107852_395734770325671936 x	@swccvinnymac Ahhhh a fellow Raider! Few and far between here in Ky. #RaiderNation
1312107852_395737319736483841 x	@swccvinnymac LOL. True that. We'll be back.
1312107852_395731626044293120 x	@CornetteCollin You're welcome fam. #LaFamilia #BBN
1312107852_395721385664057344 x	@Medium_KYblue You're welcome #BBN #LaFamilia
1312107852_395715936352608256 x	RT @UKBoobs_: It's basketball time again. Time to get #ukboobs going strong again. Ladies send in your UK cleavage pics for Fridays game
1312107852_395715836897280000 x	Oh you're dressing as a character from #duckdynasty for #Halloween ? I bet you'll be the only one at the party.
1312107852_395712888633303040 x	#Prediction - #WSU over #ASU by 7 in Pullman for tomorrow nights Halloween game. Lots of scoring in this one. Take the over. #pac12
1312107852_395709162686263296 x	#Prediction - #MSU puts a scare into South Carolina before #Gamecocks finally pull away in the 4th. USC by 12. #SECfootball
1312107852_395707920790196224 x	#Prediction ; #Gators over #DAWGS by 3 in a very physical low scoring affair. #SECfootball
1312107852_395704986929491968 x	#Prediction; Blackmon and Booker both choose #UK tomorrow and join the #BBN #LaFamilia #WeAreUK #GoBigBlue
1312107852_395675932280647681 x	Predictions; #upsetalert #Canes over #Noles by 3 and #Arkansas over #WarEagle by 1.
1312107852_395664428231712771 x	Predictions; Upset Alert- #Vols over #Mizzou by 6 in a barn burner. #UK over ASU by 28 with Reese Phillips taking snaps in the 4th. #BBN
1312107852_395286466516905984 x	Wow! All I'm seeing as I scroll down my Twitter Feed is @FballIsLife69 Keep up the hard work man and good luck wherever you go. #BBN
1312107852_395266555900350464 x	My guess for the biggest surprise performance in tonight's #BlueWhiteGame is John Hood. Thoughts? #BBN #WeAreUk #GoBigBlue #Kentucky
1312107852_394884852300136448 x	UK vs. Mizzou kick-off has been set for high noon. Most likely gonna be televised in ESPNU. #BBN #WeAreUK
1312107852_394883853103685632 x	RT @KySportsRadio: Julius Randle, James Young and Willie Cauley-Stein make NBC's College Basketball "Dream Team": http://t.co/BYlxUyYc75
1312107852_372767045450227712 x	RT @JalenRose: #IHaveaDream : 50 years later & a quality Education is still deemed a privilege not a right. What a shame. http://t.co/RnUP9?
1312107852_372392545344843776 x	RT @J_Clem20: SATURDAY
1312107852_372382970457653248 x	#YAHTZEE 4 star WR Blake Bone commits to UK over his home state school South Carolina. Suck it Spurrier!
1312107852_372104151356166145 x	Jalen Whitlow will be taking the snaps in Nashville Saturday. #BBN #stoopstroops #WeAreUK #GoBigBlue #kentuckywildcats #readyforfootball
1312107852_370322861443276800 x	Ahhhh those Vols and their BBQ's. LOL. http://t.co/JxmJvIMmch
1312107852_370321385631277057 x	RT @lukehiers54: Thinking #Kentucky is the right place for me, got to go see the school. Then will probably make a decision #bbn #stoopstro?
1312107852_364583462511972354 x	Alex Rodriguez has been suspended for 211 games. Which if you're familiar with MLB you'll know this translates to just over a month.
1312107852_364590916398350336 x	@dirkdizzle23 can't lie. I stole this from my boy Conan. Love that show.
1312107852_362732031450431488 x	So many amendments and I can only choose oooonnne! I plead the Fif!!! One, Two, Three, Fo, Fif! F-I-F fiiiiiiiiifff.
1312107852_362262846526070784 x	RT @CoachMainordUK: Yes!!!!!!! #YAHTZEE !!!!!!!  #bbn http://t.co/bAypbHrVDO
1312107852_362262653198016512 x	#BBN Rollin' then dice again! #Yahtzee #YahtzeeWatch
1312107852_361985240257937408 x	RT @Trey1Williams: @beTaylor56 congrats to my bro Brady your still good in my eyes bro good luck and go do work!
1312107852_361985005188153344 x	RT @KySportsRadio: 3-star OT Brady Taylor commits to Virginia Tech over Kentucky. (TT)
1312107852_361930312051212290 x	#BBN Are y'all ready for another #Yahtzee #stoopstroops #BBNFAM
1312107852_361230295745314818 x	#BBN we have another #Yahtzee
1312107852_358342036765675520 x	@kwiltj Go get 'em Wilt! #BBN will always be KW fans and you're always welcome back. Once a Cat always a cat. Still luv the hook #LaFamilia
1312107852_358340843268096001 x	RT @kwiltj: Dear BBN, this past month has been very emotional and challenging for me. Whether to transfer or not has (cont) http://t.co/lbt?
1312107852_358290318468190208 x	Alright #BBN the bad news; Wiltjer is gonna be a Zag. Good news is we have more #Yahtzee on the horizon!
1312107852_357946931382722560 x	Could be another #Yahtzee on the way for #BBN Get those dice ready!
1312107852_357947815541997569 x	@dirkdizzle23 possibly within the next 3 to 5 days if my source is right.
1312107852_356982891600822273 x	Hearing rumors that Javess Blue could be ineligible. At this point it is just that; "a rumor." So, take it for what it's worth. #BBN
1312107852_356605364818542592 x	Hearing reports that Josh Clemons' injury is "serious."
1312107852_355155288682266626 x	RT @William_Titan: last DEP meeting before i get shipped out in augaust. #thankgod #Navy
1312107852_355154025206919171 x	I be passin' out turkeys like Nino Brown baby!
1312107852_354976191066800128 x	RT @JWhitlow_2: There's no way I can pay ya back, but the plan is to show ya that I understand..
1312107852_354796466100912131 x	RT @kelliepatrick32: the guy on America's Got Talent from bell county!!! yeaaaaaaahhh #coalkeepsthelightson ??
1312107852_354796240287969281 x	RT @heidiklum: Great song, great voice and a great story... well done #JimmyRose #agt
1312107852_354793233714384897 x	RT @CollierMills: #JimmyRose
1312107852_354793018856968192 x	RT @KySportsRadio: Proud of you Jimmy Rose. #BellCounty
1312107852_354792872022781952 x	@Trey1Williams Welcome to the #BBNFAM
1312107852_354792706167414786 x	RT @Trey1Williams: Played a little YAHTZEE TONIGHT!!
1312107852_354792384376209409 x	RT @aaronpolis29: Coal Does Keep The Lights On!
1312107852_354790178633682944 x	RT @craigblanton: Hey #BBN, lets watch and praise a real Kentucky Marine, #jimmyrose ....America's Got Talent
1312107852_354786958339346432 x	Big Shout Out to my fellow Southeastern Kentucky boy #JimmyRose ,dude just killed it on #AGT  #BellCounty
1312107852_354786030928408576 x	RT @KySportsRadio: Big shout to my fellow Bell Countian and big UK fan Jimmy Rose, who will perform in the next hour on America's Got Talent
1312107852_354785968475209728 x	@KySportsRadio Jimmy nailed it man! Proud of him  #JimmyRose
1312107852_354767729443602432 x	@Trey1Williams Welcome to the #BBN #ShockTheWorld
1312107852_354767206904627200 x	T.V. Williams come on down! Welcome the latest addition to the #BBN #Yahtzee
1312107852_354755096095113216 x	RT @awill40: It's too much favoritism in college football. It's about the man behind the pads not the school you're from.
1312107852_354753713170157569 x	RT @Cassidy_Rob: Ok. Williams is here. Hats on the table. Getting started soon. http://t.co/uF0T7HcNvS
1312107852_354752756566851584 x	RT @RowlandRIVALS: According to @Cassidy_Rob we are still waiting for T.V. Williams to arrive at the announcement ceremony.
1312107852_354744222160666624 x	@William_Titan Yep. Possible knee injury.
1312107852_354747910509961216 x	@William_Titan They are now saying it's just a contusion.
1312107852_354748460177702912 x	@William_Titan For sure. Those knee injuries can be tough. As we know all too well.
1312107852_354748038524321793 x	RT @lronGuts: 1) Think positivly 2) Exercise daily 3) Eat healthy 4) Work hard 5) Stay strong 6) Worry less 7) Pray more 8) Be happy
1312107852_354746604651155457 x	RT @36DaBus: Happy birthday to coach @UKCoachStoops
1312107852_354745101253218306 x	@William_Titan He did leave the floor on his own. I don't know much more than that. It's only my opinion, but I think he is gonna be ok.
1312107852_352941997859934209 x	Happy Independence Day America!!! #happyindependenceday
1312107852_349667892905771008 x	Calipari to Boston rumors in 3, 2, 1.....  #BBN
1312107852_348190230651748352 x	Hitting the mountains tomorrow morning. #4Wheeling #Countryfied
1312107852_347900333369991168 x	@DrewFranklinKSR Kanye West says; "it's the best baby of all time...... of all time!"
1312107852_347896734862696448 x	I wonder if Birdman uses Dapper Dan? Might be a good endorsement opportunity. #nbafinals
1312107852_347895649800433666 x	It's all fun and games 'till Lebron loses the headband and Jesus Shuttlesworth goes off behind the stripe. #nbafinals
1312107852_347895018838691840 x	RT @DKief10: Shout out to all the ladies that are only watching the game to please their boy
1312107852_347168605147897857 x	RT @boom_that_guy: They playin that Michael Jackson... #Legend
1312107852_347164502514614272 x	#Yahtzee
1312107852_347100412152782848 x	#Yahtzee x2 This time it's twins for the football team!
1312107852_347029542818414592 x	RT @RFlannigan5: Let it be Known !
1312107852_346821475589820416 x	RT @RFlannigan5: Tomorrow @ 10 i will be live on the Air with @KySportsRadio it Should be Interesting! Stay Tuned #BBN
1312107852_346819379968745474 x	RT @KeylaSnowden: "The only way to get BETTER, is to surround yourself around BETTER people" ?
1312107852_346448514831765504 x	Bosh with the hands of steel. #nbafinals
1312107852_346436341195735041 x	Duncan is like one of them old guys at the YMCA that control the paint & dominate the younger guys with their old school style #nbafinals
1312107852_346433994591711232 x	Wow. I didn't know they called traveling in the NBA. #NBAFInals
1312107852_346433013300736000 x	RT @SpankyBrown: Bill Russell look like a big Q-Tip... #nbafinals
1312107852_345906416663552002 x	Gonna make like a horse turd and hit the dusty trail this morning. #4Wheeling #countryfied
