1460086987_392998867391610880 x	COLUMN: Was the #Eagles' recent loss just a hiccup or cause for concern? | http://t.co/GtOjkK6oJa
1460086987_393076301189242881 x	@TheGalviz_05 so you believe they'll turn it around this weekend?
1460086987_396351045678280704 x	PREDICTIONS: Check out our staff?s predictions for this weekend?s game against the Raiders. | http://t.co/01uF4WNfE7
1460086987_396323930564091904 x	Miguel Cabrera was in Philadelphia today rocking an Eagles sweatshirt. Can he play QB? | http://t.co/MaOZTr4p5X
1460086987_396313035318362112 x	COLUMN: @Josh_Reising offers up his mid-season grades for the #Eagles. Do you agree with his assessments? | http://t.co/UjM711YyCI
1460086987_396299440991916032 x	ICYMI: We asked @RaidersReporter 10 questions to get a better feel for who the Oakland Raiders actually are. | http://t.co/rYBLI8FkeS
1460086987_396260435231387648 x	BEHIND ENEMY LINES: We talked with @RaidersReporter of @cover32_OAK about everything from Pryor to The Black Hole. | http://t.co/rYBLI8FkeS
1460086987_396019273086144512 x	FANTASY FORECAST: The ladies from @herfantasyfb getting your line-ups ready for #Eagles vs. #Raiders. http://t.co/Vad45oj1jL
1460086987_396007376186122240 x	Since we?re halfway through the season, what has been your favorite Eagles moment so far this year? Tweet us back and let us know!
1460086987_395972489832321025 x	FIRST & 10: Of course Michael Vick will be dressing up tonight, but who/what does Buck Stanton think he should go as? http://t.co/KDpm7md7Nx
1460086987_395931160422776832 x	ICYMI: Even on a losing streak, @ThatDanSmith says the Eagles had some victories this week. | http://t.co/oyCHk7EuIp
1460086987_395898049530060801 x	COLUMN: Despite a loss last weekend, the Eagles have had some small victories this week. @ThatDanSmith explains. | http://t.co/oyCHk7EuIp
1460086987_395611045605036032 x	RT @RoobCSN: Bennie Logan will be starting at nose in place of Isaac Sopoaga, traded to the Patriots.
1460086987_395589526737141762 x	MAILBAG: Super Bowl prediction, 1972 Dolphins will be poppin' Rozay & VOTE 4 @Alexis_Cover32's NFL inspired costume! http://t.co/KCMinxMs48
1460086987_395588607404429312 x	MAILBAG: Should @alexis_cover32 be for Riley Cooper for Halloween? See the other options then VOTE! http://t.co/VmNmrcl1jV
1460086987_395585601975484416 x	COLUMN: Wildcat? Why not, says @PaulAmanaGill. | http://t.co/iz2wsn3goh
1460086987_395535566676037633 x	COLUMN: See what grade @MikeMiss975 gave Chip Kelly so far this season. | http://t.co/fWaIuePB3l
