1869319062_387032887620415488 x	Ryback: The big bad scary heel...who wears a pink shirt #wwe #battleground
1869319062_385491205078777856 x	@SpikeEskin Very true haha.
1869319062_396427011020701696 x	@ScarletMcKfever @matt_mullin All this sushi hate is upsetting me.
1869319062_396425058282766336 x	@matt_mullin @sydney_slater Can't back you up on this one, bruh. My love for sushi overrides our friendship.
1869319062_396117289151369216 x	@Miz_Dom89 For the first time ever.
1869319062_396106468698505220 x	Damn, Giovanni Bernard.
1869319062_396113151520813057 x	@PhoulBallz According to the report I saw it was apparently on the 26th at some point. But it is no longer TV taping.
1869319062_396095112515563521 x	Classic Woods. RT @ScarletMcKfever: FREAKIN out Riley Cooper in the http://t.co/R5HFrOBV4F office ????? http://t.co/oF02S6kty3
1869319062_396076960511557632 x	RT @ScarletMcKfever: Sorry TNF, you're gonna have to wait a minute http://t.co/SPtIdlfAMV
1869319062_396063743483731968 x	Is Daniel Bryan to blame for Summerslam profit drop? http://t.co/CzpfDvzyPz #wwe
1869319062_395730960425025536 x	@philajosh @BriMcCardle @therealmikekb @matt_mullin Anything for the team.
1869319062_395641721779798016 x	Update on TNA for sale rumors; Change to TNA show in Philadelphia in December: http://t.co/lVfkanQXVy
1869319062_395633677452853248 x	Here's what the experts are saying about WWE 2K14: http://t.co/hsj3zzsGVG
1869319062_395634967641747456 x	@matt_breen I think that sums it up pretty well haha. I haven't gotten my hands on it yet. I plan on it this weekend.
1869319062_395635777129836544 x	@matt_breen I know I will. Last year's game was the first I genuinely enjoyed in a long time.
1869319062_395244633724178432 x	Andre the Giant's legendary drinking and other tales recounted in new book: http://t.co/BkgTdeOtuU
1869319062_395071788750626817 x	WWE Raw results and observations: John Cena beats one of my favorites with one arm. Poor Sandow: http://t.co/YP4jSyvgRo
1869319062_394668999834755072 x	"Believe me. I tied my own shoes once. It is an overrated experience." #comingtoamerica
1869319062_394660633431396352 x	WWE Hell in a Cell 2013 results: Sweet chin music from Shawn Michaels helps Randy Orton win WWE Championship: http://t.co/w5oqJ18dDx
1869319062_394650076645031936 x	Bob Backlund wants all the children to learn arithmetic! #HellInACell
1869319062_394648214453776385 x	WWE Hell in a Cell 2013 results: John Cena wins the World Heavyweight Championship: http://t.co/NgoORGYbSf
1869319062_394641626313662464 x	John Cena with a pink shirt and a black elbow pad on his left elbow.
1869319062_394641208611311616 x	I'm almost certain John Cena will have a new T-shirt tonight. Who wants to put money down on a particular color?
1869319062_394638638664794113 x	@LionsRoar360 I have results on my blog here (http://t.co/SoX4fnWpjV) Check it out.
1869319062_394637154329964544 x	WWE Hell in a Cell 2013 results: CM Punk defeats Ryback inside Hell in a Cell, beats on Paul Heyman: http://t.co/qP7HCKFvcL
1869319062_394630609512849409 x	WWE Hell in a Cell 2013 results: Dean Ambrose retains United States Championship via countout: http://t.co/mjw9ZxTMYq
1869319062_394622643543871489 x	RT @MrNickMason: BAH GAWD IT'S KANE! #HellInACell
1869319062_394622448668135424 x	WWE Hell in a Cell 2013 results: Cody Rhodes, Goldust retain WWE Tag Team Championships: http://t.co/MSu5ecSFeM
1869319062_394612988029579264 x	RT @WRESTLEZONEcom: Damien Sandow wins via the You're Welcome.
1869319062_394611756435132416 x	Does WWE really have to run commercials during these pre-shows. Isn't the pre-show one big commercial for the PPV already?
1869319062_394609788102778881 x	Well apparently Big E Langston will go after the other mid-card title. Will face Dean Ambrose for the US title tonight.
1869319062_394608764696805376 x	Looking at Dolph Ziggler on the panel is depressing. Wasting such a huge talent. #wwehellinacell
1869319062_394572105271869440 x	RT @PWTorch: IC champ Curtis Axel vs. Big E. is off the HIAC PPV pre-show. Replacement match is Sandow vs. Kingston.
1869319062_394571997788635136 x	RT @pwinsidercom: THE NEW PRE-SHOW MATCH FOR TONIGHT'S PPV IS.... Elite: http://t.co/biDZuJUcGy, Free: http://t.co/mVsy2Un64L
1869319062_394516433453191168 x	RT @APgelston: Chip Kelly's offense has revolutionized 3-and-outs.
1869319062_394279417179947008 x	Kid Chocolate?!? What is he a stripper who moonlights as a boxer?
1869319062_394279043652009984 x	Is that Fat Joe in Gabriel Rosado's corner?
1869319062_394249484697231360 x	@bobfordsports  I refer to it as the Cosmopolitan Division.
1869319062_393901326163120128 x	@BriMcCardle @ScarletMcKfever Hey, I heard the name before. I thought she was an actress or something.
1869319062_393884226921046016 x	Former NFL linebacker Shawne Merriman training to become professional wrestler: http://t.co/Nfu2e9yRVt #wwe #lightsout
