63038274_345768170314936320 x	Kids https://t.co/fCIq5CYKyu
63038274_350793419242737666 x	Caleb California flippin'! https://t.co/Kj1AC7vhQ9
63038274_349264961702346752 x	Amusement Parks Can Be Tiring | Tosh.0 Blog http://t.co/81E8a7RCkx
63038274_345046685283647488 x	Stanley cup...tripped on blue line!  #Slapshot https://t.co/kmoplqcCCC
63038274_355948578549669888 x	Aaron Hernandez will be in ESPN's Body magazine next year. Bent over. In a communal shower.
63038274_392497952926601217 x	Seal Of Approval | Tosh.0 Blog http://t.co/EYZoP8Tudu
63038274_385561550838185984 x	Government shut down? Just do the same technique as when my wife shuts down.....give them all 2 glasses of wine... http://t.co/mj1u13ej8k
63038274_384068891590131712 x	friends, comedians, and foes! Please follow @AcesComedy if you are a true friend,ever want to get booked,or want to get punched in the face.
63038274_382357585795379202 x	Breaking Bads Vince Milligans new show"How I left your mother"Coke,hookers,n coked out hookers!Only on CBS  https://t.co/KHFxyJber9
63038274_381319232060805120 x	Such a great interview... http://t.co/1q9k7sZnrr
63038274_377222765683949569 x	RT @SanDiegoComedy: Mon Sep 9: Up Comedy: @keithtellsjokes @AlleyVonMas @adamwasscomedy @alysabreensmean 8pm, $8 at @MadHouseComedy More: h?
63038274_376368883982032897 x	Bob makes me laugh... http://t.co/PfsFHlZbht
63038274_375891632035340288 x	I am officially an owner and partners (fill in gay joke here) with Rocky Osborn at Aces Comedy Club in... http://t.co/dwPNk0kHg5
63038274_373904144756531200 x	Have a great weekend! http://t.co/gQQNMCZzR4
63038274_368588348798943232 x	I am gigging at Rookies in Oside sat night at 8pm. Do your hair oside style and roll out! http://t.co/oOCEd8Zrgo
63038274_365895308695175168 x	Greatest Vines 2013 http://t.co/rwMg1S2a5h
63038274_365237880358043649 x	I am on the Beechwood comedy show in pacific beach tonight!  Fun show! 9:30 start...that is when young people... http://t.co/24oYoiFTqX
63038274_365237211026821121 x	Beechwood show in pacific beach tonight!  Fun show!
63038274_365232636857286656 x	RT @jnelsoncomedy: What a show tonight at The Wood.  Its Free at 9:30 with @MarkSerritella headlining and @adamwasscomedy @ryanoflan and Ch?
63038274_362432260445712384 x	http://t.co/WdR8jPqXeH
63038274_361389564629221377 x	http://t.co/iwTVEF9rsL
63038274_360884330995789824 x	Hey north county...Temecula..and murrietta!  I am doing 4 shows in next 3 days with Ace Guillen at Aces Comedy... http://t.co/bwYOazRFjS
63038274_360163583696449537 x	http://t.co/fN54vEqU0y
63038274_359389284475740162 x	Tuesday night at Comedy Store in La Jolla.  Let me know if you want to get on my list!  thanks.
