235676256_393034619148197888 x	I am not following my siblings' footsteps....
235676256_396058783446609920 x	RT @BrandonGowton: Yes! RT @ProFootballTalk Eagles owner says finding a franchise quarterback is the team's No. 1 priority http://t.co/L5Lc?
235676256_396058199465267201 x	RT @GuyCodes: When I laugh at jokes on the internet I don't even laugh. I just blow more air out of my nose than usual.
235676256_395975126765690881 x	RT @CallofDuty: RT & you might win a @TurtleBeach #CODGhosts Earforce Phantom Headset. Rules: http://t.co/TgawHGWlXq #CallofDutyTime http:/?
235676256_395940317918003201 x	"@Guys_Codes: Saying "dude." before you say something important." Sorry @B_Rye2479
235676256_395936453995163648 x	RT @ChipKellysBalls: Mike Vick was going to wear a costume, but he broke four ribs & gave himself a back strain putting it on. Listed as: Q?
235676256_395934076151934976 x	UTPA is so boring nobody dressed up not even me.... #broke #NoMoneyMoProblems
235676256_395768198764589056 x	@Eddie_Ched24 allllllll gay
235676256_395768488544849920 x	@Eddie_Ched24 back off! My mother is a saint!
235676256_395767827744825344 x	RT @SportsCenter: 76ers SHOCK Heat in Philadelphia, 114-110.  Rookie G Michael Carter-Williams with a HUGE debut: 22 Pts, 12 Ast, 9 Stl, 7 ?
235676256_395767338898690049 x	RT @GuysPIctures: Johnny Waterboy http://t.co/7tVVIOzHxI
235676256_395764186354958336 x	@aesaenz26 noooooo! U got this manda! Keep ur head up no matter what! We are all proud of yah :-)
235676256_395635795291148288 x	RT @AboutAquarius: #Aquarians were born to be wild, but without getting into trouble.
235676256_395608416325885952 x	@therealmikekb @FlyEaglesNation not just Allen Iverson. ...."Mister" Allen Iverson
235676256_395608147005427712 x	@mike_e_kaye dont be such a downer
235676256_395598333110018048 x	RT @gamespot: .@InfinityWard shares an exclusive first look at the new co-op mode in #CODGhosts #Extinction. http://t.co/4Iqnhhs1eg
235676256_395595234408554497 x	RT @CauseWereGuys: Remember back in school when your teacher would come in with the tv cart and a movie? Yeah...they were hung the fuck ove?
235676256_395594986827177984 x	When some1 takes up a bench at school when u need it to sit with ur girl sux....well thats what im doing now. Alone on a bench #vengance
235676256_395553344288063488 x	People take elevator to go up one floor? Seriously?
235676256_395588771229351936 x	@adrirosee its funny how people actually wait a couple minutes for the elevator when they could go up the stairs like in 10-20 secs
235676256_395594579967102977 x	@adrirosee hahaha loser
235676256_395588239328694273 x	Gaaah had my coca cola for the day...#narcotics
235676256_395386196836102146 x	"@aesaenz26: Awkward tore my heart ?" Hang in there
235676256_395388443385028609 x	@aesaenz26 at least ur not  craving KitKat White Chocolate. ..thats way worse
235676256_395389372565958656 x	@aesaenz26 its unbearable to say the least
235676256_395386301223936000 x	RT @GuysPIctures: Ha http://t.co/sjHmiiOMnl
235676256_395385190089883648 x	RT @BRICKLEBERRY: Thanks for watching! Tune in for next week's episode #SCAREDSTRAIGHT. #Brickleberry
235676256_395384989996437505 x	RT @BRICKLEBERRY: NO ANIMALS WERE HARMED IN THIS EPISODE...Well, maybe 1000000 #Brickleberry
235676256_395384925102149632 x	Lol "Attack my children!!!" *Gets attacked* #Brickleberry
235676256_395383582513848320 x	"@BRICKLEBERRY: QUEERS OF WHORE. #Brickleberry" lol Gears of War
235676256_395383514289299456 x	Steve: "Are you Chloe Kardashian? You are no where as ugly as on Television" #Brickleberry
235676256_395383252057210880 x	RT @BRICKLEBERRY: SPOILER ALERT: Connie is a lesbian. #Brickleberry
235676256_395382843192258560 x	They finally used the conny club! #Brickleberry
235676256_395372174380646401 x	Some body get me kit kat white chocolate!!!!
235676256_395370192059895808 x	RT @AboutAquarius: The #Aquarius mind has no restraints, no boundaries.
235676256_395363610261598208 x	RT @aesaenz26: Vote for me for Homecoming Queen tomorrow. Don't forget your ID's, vote during your lunch periods thank you ??? http://t.co/?
235676256_395037806445072385 x	RT @josh_second: *End credits to Friday Night Lights rolls on ESPN*
235676256_395032199755333632 x	RT @GuysPIctures: Imagine... http://t.co/fnmZafDEdk
235676256_395031771026178048 x	RT @CallofDuty: The ODIN strikes unearthed something savage & alien. Welcome to the #Extinction: http://t.co/MW0XeOrqbs #CODGhosts http://t?
235676256_394989791118237696 x	Official Call of Duty?: Ghosts Extinction Reveal Trailer: http://t.co/RIhbw3cIJn via @youtube
235676256_394977651388985344 x	RT @CallofDuty: RT & you could win a pair of @AllureEyewear #CODGhosts Gaming Glasses. Rules: http://t.co/TgawHGWlXq #CallofDutyTime http:/?
235676256_394855604587491328 x	@THEREALEDP445 you good sir have a badass name lmao
235676256_394855440288202752 x	@RaghavSankar12 @davespadaro with promising QB draft class (Teddy, Mariota, Hundley, Manziel to name a few) we cannot outposition ourselves
235676256_394855001555611649 x	@RaghavSankar12 @davespadaro im worrying about today so im thinking about winning tomorrow
235676256_394854160081776640 x	"@Manstagram_: This is awesome http://t.co/tWj5l5k8XS" lmao wth
235676256_394853564914233345 x	@RapSheet stay down rocky!
235676256_394853254363758592 x	@RaghavSankar12 @davespadaro no no no if eagles keep winning we are getting further and further away to draft a real franchise QB in draft
235676256_394852952893976576 x	RT @GuyCodes: This moment... http://t.co/ObosQIqQhJ
235676256_394852304890773504 x	@mike_e_kaye Eagles Draft QB, WR, OLB, S, CB, ILB, CB...ur take if Eagles Draft Offense in first two rounds
235676256_394851834994515968 x	@davespadaro as soon as D kinda starts to get it together the O back tracks...what to do heading into the offseason?
235676256_394851251759755265 x	@davespadaro OL getting no push...seems deflated...WRs not getting speration...RBs not finding holes..QB unstable
235676256_394850873177698306 x	@mike_e_kaye Fletcher Mathis...and an honorary mention to....nevermind
235676256_394850504175394816 x	RT @mike_e_kaye: So trade deadline is tomorrow at 4 pm ET. Possible names moving: Britt, Nicks, Gordon, Little, Byrd, LeShoure, Ryan Willia?
235676256_394691763228512256 x	Galaxy note 3 ???? @mgodinez20
235676256_394691435561091072 x	RT @MadelynSalinas: God gave you a gift of 86,400 seconds today. Have you used one to say "thank you"?? #ThankYouGod #blessed ??
235676256_393608654332510209 x	@josh_second without a doubt. The J.V QB had no accuracy another running QB who cannot throw
235676256_394691197039423488 x	"@AboutAquarius: #Aquarius are quick to anger. Very quick. Very..." u hear that world so dont test me cuz I will mess u up!
235676256_394691006546710528 x	"@_Ajay21: 17 more days till I turn 21!! " ??? lucky
235676256_394690631676616704 x	RT @JZohrab: I'm gonna say it now so there's no confusion.  If I see any of you dress your baby as Yoda, I'm calling CPS w/ a fucked up exa?
235676256_394689601773658112 x	#whatpissesmeoff when I say "imagine" add people think realisticly or too technically .. dude I said Freaking IMAGINE!
235676256_394679045612257280 x	Hey @B_Rye2479 @aesaenz26 @mgodinez20 @sonyaa913 we should pop fireworks this new years together!!!! What do u say?!
235676256_394003295527649280 x	@aesaenz26 you didn't watch it all?
235676256_394688242659766272 x	@aesaenz26 @B_Rye2479 @mgodinez20 @sonyaa913 we pop 3 1000ct black cats or what?!
235676256_394688783892770817 x	@aesaenz26 @B_Rye2479 @mgodinez20 @sonyaa913 omg yes! It hurts like hell!
235676256_394689163712147457 x	@aesaenz26 @B_Rye2479 @mgodinez20 @sonyaa913 haha lol but I love popping fireworks!
235676256_394687987750944768 x	Apple has siri..maps...and iTunes...I have @B_Rye2479 ...  Bianca, what exit do I take? Bianca, whats the name of this song. Who needs siri?
235676256_394687107102277632 x	I cant wait to get valley winter weather. where u step outside and u dont get a sweat going down ur back and into your- #ValleyProbs
235676256_394683259457503232 x	@Eddie_Ched24 hehe this guy!!!
235676256_394685288808595456 x	@Eddie_Ched24 hey too bad this is my girlfriends family. ...we can have fun later like in 10yrs....& get ur damn head out of the gutter
235676256_394685645248942080 x	@Eddie_Ched24 my hommy I got a family to tend to and by family I mean me and my other half...
235676256_394685859326222338 x	@Eddie_Ched24 yea hes swimming around
235676256_394686058572414976 x	@Eddie_Ched24 grow a pair...and ur two steps closer
235676256_394686445509570560 x	@Eddie_Ched24 thats the can do spirit and not the one u smoke lmao
235676256_394684796921597953 x	To Do list: Propose Family Time to girlfriends family *Check! Have proposal Passed *Need 6/6 vote of Legislation (pending)
235676256_394682887317880832 x	@mgodinez20 @B_Rye2479 @aesaenz26 @sonyaa913 Getty an Excalibur and a 20oz Cake Finale! #boom
235676256_394683499170373632 x	@B_Rye2479 it doesn't hurt to plan ahead
235676256_394681703060361217 x	@mgodinez20 @B_Rye2479 @aesaenz26 @sonyaa913 its fun as hell!!!.maybe we can try to get mr and mrs saenz to light up some fireworks!
235676256_394682217747595264 x	@B_Rye2479 they said the world was flat, that we couldn't land on the moon, or that a man couldnt win an argument w/a woman. It's possible!!
