874192525_332202361516867584 x	#PHILLIES #RYANHOWARD sitting WOW
874192525_320278131808272384 x	#Phillies Home Sweet Home
874192525_398063890816176129 x	@marklevinshow Sorry Mark Christie does not have the it factor
874192525_398062811479146496 x	@greggutfeld Greg, Obama told the truth once and had to lie his way out of it
874192525_397883230600175617 x	@gretawire is it possible that Obama thinks he is getting away with these lies I cant believe he is sitting there saying ok that sould do it
874192525_397884806425366528 x	@gretawire Should
874192525_397883787712819200 x	@VP Joe you don't even look this dumb, wow Obama is the worst!!
874192525_393351063224332288 x	@FoxnFriendsFix #father and son combos all over America always was always will be. They thinks there sons are always the best Cant they see
874192525_393350154075389952 x	@FoxFriendsFirst The youngster that wrote the poem was simply telling it like it is all over America when you have father son combo
874192525_385938281742872579 x	@delcotimes That's down right bull
874192525_384320937509675008 x	@kaitglock what time you coming over
874192525_377257320540942336 x	@B_McGLOCK Drew Basht wants to know if you need his son to play he aint to bad
874192525_362974625380044800 x	@BenRevere9 Get back home Bigg!!!!
874192525_361761807225987072 x	"There are still a couple of things I'd like to be No. 1 in for this organization, so until those things are done, I'm not going anywhere.
874192525_361763587691266048 x	@PhilliesMike Phillies SS J Hole, who has has 5-and-10 rights, told http://t.co/XvLi8H2Nmp he is not willing to waive his no-trade clause
874192525_361763131367763968 x	@PhilliesMike #PHILLIES #MLB I would cut #JIMMYROLLINS before I would let him be #1 in anything. J HOLE for sure (___O___) for short
874192525_361762491660910593 x	@PhilliesMike #PHILLIES #MLB That is J HOLE he will not remove no trade clause bench his but and he can be #1 in that. Always has been 1 way
874192525_359225329790889984 x	#MikeYoung could go to the #Yankees for 2nd base man #AngeloGumbs or am I dreaming
874192525_359224155578703872 x	Would the #PHILLIES be willing to trade #JonathanPapalbon to #Detroit for  outfielder #NickCastellanos I would
874192525_356992475941965825 x	@Ike58Reese Keep saying it Ike, your a good man
874192525_350662889893404672 x	#MLB #YANKEES #PHILLIES could the Phillies pry Tyler Austin from the Yankees for Chooch, I doubt it but it would be worth a try
874192525_356942204708720640 x	@TVMWW never heard of him  my friend
874192525_356928589251350528 x	I back #YoenisCespedes for the Chevrolet #HRDerby. Who do you got? Watch ESPN now to see who takes the 2013 title! http://t.co/kzBEXsMD6k
874192525_356884657129795588 x	@MileyCyrus keep talking like that Miley and peace will never happen
874192525_355763676722102272 x	I voted for #Mia #Bama #Neb #UF #OSU #UM #Texas #USC in the #UltimateTeam competition! http://t.co/NaAWYezdbw
874192525_314759586076848128 x	@Dpalumbo28 how do you grt them squres on there
874192525_353566867002109952 x	@RealCJ10 #MLB #PHILLIES #AngelHernandez has got to go before someone cracks him, I am 56yrs old and seen some ball, he is trouble
874192525_352153743019610113 x	Airplane Repo (TV show) cast members Danny Thompson and Ken Cage picture - Airplane Repo picture #4 of 4: http://t.co/fcTDEICgz5
874192525_352073155533209602 x	#Phillies should re build I hat to see Chooch Lee, Pap, Utley go but imagine the possibility's we could be so young and in 3 years be ready
874192525_352073841197072385 x	@PhilliesMike #PHILLIES Young squared would also bring some talent lets go get it started could be a good time around
874192525_352072105375961088 x	Would the #PHILLIES move #CliffLee to #Texas for #MikeOlt 3B RH/RH #RougnedOdor 2B LH/RH #NeilRamirez P RH/RH
874192525_352066666470977537 x	@MikeandIke94WIP @SportsRadioWIP Dawk with Chase being a very very close second
874192525_352066419476791296 x	If the #PHILLIES could land  #JocPederson OF LH/LH for #MichaelYoung it would be wise to move him
874192525_352065287601926146 x	If the #PHILLIES could grab #CheslorCuthbert OF RH/RH and #JorgeBonifacio OF RH/RH from the #Royals I think they would move #ChaseUtley
874192525_350667452335656960 x	@joe_sheehan @marboys1 Chooch
874192525_350667156075196416 x	@PhillyPhillies Yes if he keeps playing like he is.. Very fun to watch if 1/2 the players played like him it would be incredible
874192525_349661599583305728 x	#PHILLIES #MLB Jonathan Papelbon for Tigers top prospect Nick Castellanos Ruben let do it today. Detroit is starving for a closer
874192525_340496766224973826 x	@Trouty20 #MLB why would you move the best player in baseball from center to right field come on man he has the right
874192525_339542899215712256 x	#MLB #PHILLIES time for Phils to get young trade Lee, Young both if you can, Utley, Chooch. Need to get quality in return, 3 years away
874192525_337181045873074176 x	@FoxSportsRadio @edcarpenter20 @FSDaybreak to what get a trophy if you participate
874192525_337169096779124738 x	@Trouty20 #MLB #PHILLIES Mike became the youngest player to hit for the cycle since Mel Ott in 1929. That is something Michael
874192525_335802358158225408 x	#PHILLIES #METS when I look at the Mets lineup I feel the Phillies lineup will b worst in 2 more years if some young talent is not here soon
874192525_335790883054178304 x	#MLB #PHILLIES #RANGERS what would the Texas be willing to give up for Lee they have what we need, time to deal Men it will b good 4 all OLT
874192525_335552424184012800 x	@Derrikklassen @RosterWatch Yep!
874192525_335551114894245888 x	@MLB @PHILLIES time to trade Lee to #Texas for Olt 3B or Profar 2B and Andrus SS but we move Jimmy to Oakland for anything and get younger
874192525_333578879983812608 x	#MLB #PHILLIES We Love The Doctor, He is a man with heart http://t.co/25GoaeU3mH
874192525_332201949250351104 x	@michellemalkin Yea an Obama is still running the country and should be sitting next to Nakoula
874192525_332200549216837633 x	#Benghazi Mr. Clay no real questions just bull that's been heard another Demo!! show your colors oh that's right you are not watching
874192525_332198034790313984 x	#Benghazi Demacommies are using old talking points and not asking questions figures
874192525_332183093152727040 x	#Benghazihearing Ms. Ross is really defensive Dem of course
874192525_332182153376980993 x	#Fox #Benghazi Fox as usual is the only one covering the worst cover up, even worse than Water Gate because 4 people died.
874192525_332134744538099714 x	#JAHAPP former #PHILLIES hope you recover quick and return soon
874192525_332108189984256000 x	#MLB #DOC #PHILLIES DON'T STINK http://t.co/SfwFZ8pG17
874192525_332100482304724992 x	#PHILLIES  I heard a kid say that Doc stunk, that pissed me off some, Doc is the hardest worker in the bigs and does not stink kid you stink
874192525_331590333945225216 x	So you think Little Joey can play baseball http://t.co/DqDi51S9eU
874192525_329937433242251264 x	#MLB #PHILLIES 10 yr old Ty McLaughlin hits one out 215 ft, doubles and closes the game 2 inings 5 K's for the come back win we need some
874192525_329936627961036803 x	#PHILLIES #MLB can not score runs with this line up we need to get way young time to pull the trigger Charlie go upstairs bring in Ryan S
874192525_329935995250282497 x	#PHILLIES #MLB trade Lee, trade Utley, send young back to AL has some worth batting 5th in NL, see what we can get for Hendrick RELOAD RUBE
874192525_329566234842652672 x	@TonyBrunoShow Yo dawg Doc looked like he was 100 by the 3rd inning needs some 5 hr energy
874192525_329565706570059777 x	@RGIII 3 keep saying what your saying and doing what your doing, u are right on this, nobody can say anything anymore with out backlash
874192525_329046075111510016 x	@PhilliesTyler20 Hey big just miss that HR x 2 feet
874192525_329018509071896576 x	@DAVIDprice14 #MLB if I'm Major League Baseball #TomHallion does not have a job today, the umps think they are the s@#t they are wrong
874192525_328014048660692992 x	@SteveAGardner @ProfessorReagan A NA!!!
874192525_327995908618846208 x	@Gil_Brandt #Eagles Chip Kelly has certainly done his share to receive at least a B to B+ your thoughts #NFLDRAFT
874192525_327926147159560192 x	@ZERTZ_86 Bring it on Zach, lots of TD's coming for you
874192525_327925502935457792 x	@IanKenyonNFL Tank is a mad man the rich get richer!!!!
874192525_327845127009759232 x	@RosterWatch That is always nice to hear!!!
874192525_327836043275534336 x	@B_McGLOCK @7 Gino is going back to the green room again wow
874192525_327835726165184512 x	RT @TheRedzoneorg: Report: Jets and Eagles eyeing 2nd-round QBs   http://t.co/8px2kcbE8D  #NFL #Jets #Eagles
874192525_327835351240548352 x	Hope the #Eagles don't go TE unless the trade out of the 3rd pick
874192525_327834878114684928 x	@B_McGLOCK @7 is Gino the pick
874192525_327834099760902144 x	#Eagles I love #Cyprien, #Teo, #GinoSmith in that order #TankCarradine with the 3rd or 4th round pick would be a holiday weekend
874192525_327833207347220480 x	If #ChipKelly goes with the best player on the board it will be #JonathanCyprien, FS, #FloridaInternational head cracker
874192525_327832556005376001 x	RT @pdomo: This is why Mike Mayock is the draft king. The man had 27 of the 32 first-rounders, and hit an amazing 12 right on the nail.
874192525_327832365718204416 x	#Eagles need a linebacker for sure #Teo will lite it up he is very smart, relentless a team player and is sneaky, #Birds will benefit
874192525_327830642886856704 x	#CornelliusCarradine?s DT would also look good in an #Eagles uniform could get him late had a torn ACL kept him out but he is a mean mother
874192525_327828667118022657 x	#JohnCyprien one of the hardest-hitting safeties in the 2013 draft class #Eagles do they like him seems solid
874192525_327826985474744320 x	#GenoSmith #MantiTeo have got to be on the #Eagles board and high up, either 1 I will be very excited
874192525_327749118271320064 x	#Vikings lite it up last night. They are now loaded
874192525_327748087663718400 x	@Lanejohnson69 Big Man you are going to love Philly best place in the world to play if you give 100%
874192525_326315776774635521 x	#GameOfThrones is the best show on TV, right up with Son's of Anarchy
874192525_326315373353914369 x	@IamJRushing @wyche89 @MarkKriegel @_ericdavis_ G of T best show on TV
874192525_326314618781827072 x	@theblaze you know what's nice the 1st amendment John Kerry is an asshole (____O____)
874192525_326312028534890496 x	@rheahughes @SpikeEskin @Eagles Dropping a Res pu tin!!
874192525_326311449582522369 x	@FoxNews @Fox411 Another Hollywood loser "L"
874192525_326311147462619136 x	@criscarter80 Where you running at nice and sunny in Philly
874192525_326310913487536129 x	@HotOnDrudge Antother Hollywood loser L
874192525_326310532351156224 x	@senatorgregball Keep tweeting don't let them hold you down, we feel safer when people like you talk
874192525_326310097670250497 x	@senatorgregball Greg all you did id repeat what 75% of the men and women in every household across America were saying keep saying it!!!!!
874192525_325763344495681536 x	#PHILLIES MLB this could possibly be the worst Phillies line up I my have ever seen and I saw some dog line ups Charlie must go SOON!!!!!
874192525_325246929128812546 x	@WIPMorningShow Weasel or Hero, if the people in Boston that are under lock down could have a gun, I think they would feel safer
874192525_325248488097067010 x	@WIPMorningShow Liberal Democrats that want guns a ammo taken away from us are the weasels
874192525_325247651496996864 x	Muslims are not Americans and should not be treated as such, they are here to kill us 2 #CzechMuslims live side by side with us than kill us
874192525_325245918096023553 x	@JPap58 #FoxNews John P is a hero for speaking out on the 2nd amend, while a Czech terrorist,  Muslim ties is loose it b nice 2 have a gun
874192525_324700566825598977 x	@phillykelly I'm fart would have stunk
874192525_314759255079149569 x	@Dpalumbo28 DP I nee $20 x noon please respond I can put up but you got to get to me x 4
874192525_324700137307918337 x	#Phillies something just isn't right with the Phills same start as last year , no clutch hitting, no hitting at all, sad to watch. Hurts Bad
874192525_324696522925170688 x	#PHILLIES time for a change in Philly
874192525_322451168724938752 x	@MLBNetwork #PHILLIES could go #DARRENRUF #JESSEBIDDLE  #ROMANQUINN for Stanton
874192525_322447284052832257 x	#Tradehim
874192525_322446404020752385 x	#PHILLIES need to put a deal together to get #Stanton TODAY
874192525_322380066908696577 x	@MLBNetwork @MLBHotStove #Rays need to bring up #Myers, $ isn't everything would help #EvanLongoria & #Jennings $ isn't everything WINS ARE
