254206363_298283027883233280 x	Raven's MVP: the refs.
254206363_395810793037385728 x	"Day man, fighter of night man. Champion of the sun!"
254206363_395762098887593984 x	My daughter has learned to lie....
254206363_394240602159591424 x	RT @RobDenBleyker: The cruel truth of writing is that the best timed joke will never, ever be as funny as the worst timed fart.
254206363_392073452112191489 x	Tardigrades in space!
254206363_389110370545065984 x	@TomFelton I'm sorry that when I met you I made it so awkward. Haha.
254206363_383124189219004416 x	Jolene Jolene Jolene Joleeeeeeeeene.
254206363_380539740333674498 x	@edhelms I dreamt you were in love with me. It was wonderful. That is all.
254206363_375660343864750081 x	RT @EmWatson: O Simon Pegg. You eloquent man you. http://t.co/qbAQ4g0QDS
254206363_371791387202580481 x	Valeria stashes slices of cheese in her books apparently.
254206363_368935527954649090 x	I asked Valeria where daddy was and her serious answer was, "In the Batcave."
254206363_368220916271960065 x	I'm repeatedly voting until Alan Rickman wins!
254206363_367764532392775681 x	European journal! Woot woot!
254206363_367289537350733825 x	You're drenched in deputization.
254206363_365223562417676288 x	@Marlen_H13 Sorry. ):
254206363_364077905246027778 x	Omg, I can't believe my princess will be 2 tomorrow!! I wanna cry. (:
254206363_363479413955895298 x	Nothing's unlucky like a big blue stuck ducky.
254206363_361978484979019776 x	RT @RIPKiddKraddick: RT if Kidd Kraddick was pretty much your childhood!
254206363_361238046106058755 x	@Marlen_H13 Aww, are you gonna be a stay at home mommy?
254206363_361283967388893184 x	@Marlen_H13 That's true. Might as well make some money at home. I don't have anyone else to babysit. :(
254206363_360496158986088448 x	@Marlen_H13 Chris?? Haha, he used to suck on Frank's eyebrow when my mommy used to babysit him. (:
254206363_360511914775810048 x	@Marlen_H13 Haha, he is! It's so hard to believe he's already 3....
254206363_359716796821024769 x	Being complimented when I feel like crap. It's lovely. (:
254206363_359058208863682561 x	@Marlen_H13 Hahaha!!
254206363_359102808596819969 x	@Marlen_H13 Haha, I remember those days.
254206363_355475386773159937 x	My daughter's so silly. <3
254206363_352276061280681987 x	Living room slumber party with my princess!!
254206363_321057714539216896 x	RT @Jokoy: Where's the biggie hologram? #wwe #wrestlemania #biggiesmalls
254206363_318406912519577600 x	@JimCarrey I love you, Jim Carrey!
254206363_317299997802639360 x	RT @Evsword: Good Advice is rare. When you get some; take the moment to realize god is speaking to you. I'm blessed , I'm happy, may the ...
254206363_312234389587251200 x	RT @WhatTheFFacts: On the list of the most painful experiences, "burnt alive" stands first followed by "giving birth".
254206363_311993565498703872 x	Kate Mulgrew. (:
254206363_311939601000435712 x	Some day I'll have a reply from @twhiddleston!!
254206363_311936113717702656 x	RT @RealVeronicaB: My favorite Pope lives in @shondarhimes world, and her first name is Olivia. She looks great in white too! #Scandal
254206363_298283653572722688 x	RT @SteveMartinToGo: Super Bowl 47 joins moon landing as fake government TV broadcast.
254206363_297550928830152704 x	@Evsword (:
254206363_295657730692227074 x	@adamlevine My daughter loves your voice. Have you ever considered child friendly music?
254206363_250418376437014528 x	#teamfriendship
254206363_243498504662704129 x	0c00c0c0CSsa0$JJjKNnJ. BB
254206363_239433784007733248 x	Lettuce.
254206363_238020465480830976 x	RT @bbcdoctorwho: It begins before Mercy, before Dinosaurs, before Daleks. It begins soon?
254206363_236228681545170944 x	RT @RevRunWisdom: Gentlemen:: Of this I'm sure. Happy wife happy life. Happy girl happy world.. My wife and daughters are the boss of me
254206363_235953199578759168 x	@missmayim I <3 U !!
254206363_234413294457323520 x	I heart sammiches. (:
254206363_230716905651068928 x	@realMickFoley Thank you. (:
254206363_230450980691513345 x	It's almost here!! My princess will be 1 soon!! <3 (':
254206363_225012137129549825 x	RT @twhiddleston: I am uncontrollably excited about The Dark Knight Rises.
254206363_219932622447587328 x	@zachbraff http://t.co/nlYifZVL
254206363_217357624935583746 x	@ErnnieB ERNNIE!!!! <3
254206363_211990086013812736 x	@twhiddleston New fan! <3
254206363_209776704435134466 x	RT @anabrendac: Lo que el pais necesita es un group hug.
254206363_197161807499116546 x	EOoCQ000?000d0
254206363_184774975218126848 x	I'm a happy mother now. Laisser faire. (:
254206363_178912514283810816 x	@zachbraff "Still, I like it when he wins at the game that he plays." (:
254206363_175402732683923457 x	I just saw a RexFidoBuster!!
254206363_174728571221311488 x	If you ask for a "hugging cow" you'll get a burger wrapped in pastrami.
254206363_169406223790247937 x	RT @pauljchambers: So who cares whether Britain is Christian, Muslim, Jewish or Jedi, as long as people treat each other respectfully etc.
254206363_167106476308041729 x	"It's always raining in my head!" (:
254206363_166593699122380800 x	@jebuz60 pickle weasel
254206363_166222450374344704 x	RT @sebastianrulli: Para encontrar estabilidad emocional no tienes que escuchar a los dem?s, solo tienes que aprender a escuchar TU Cora ...
254206363_161740451429351424 x	Satan Kitty says, "When no one's looking, what reason do you have *not* to steal?"
254206363_161673945223921664 x	RT @_Snape_: #Youknowyoughettowhen the Sorting Hat puts you in Waffle House.
254206363_161559933458976768 x	Sweeping a whole house while keeping a 5 month old happy is hard.... /:
254206363_161279304905408513 x	Expect the worst and be pleasantly surprised. (:
254206363_161266802465316865 x	@gzd491 haha, and G's and D's are pretty cool too. (:
254206363_159870702248398848 x	@_bornfree you're leaving? ):
254206363_159747863423893505 x	@Bluberyy Phosphenes!! Phosphenes!!
254206363_159746886037811201 x	@gzd491 Just noticing we have the same initials. Ha.
254206363_147075862221701120 x	@iamdelafuente <3
254206363_143253469472636928 x	@DramaBeats I love you!
254206363_143238139983560704 x	@janemarielynch Gasp! Where?!
254206363_143227317072826368 x	@OliverPhelps how funny exactly??
254206363_125214449735974913 x	@robdyrdek Ain't that the truth!
254206363_81284417770881024 x	@Bluberyy "@AndyMilonakis: It's hard for me to say this but I want you to know that I love you. I truly love you."
254206363_78320870661169152 x	RT @sebastianrulli: RT @ayalaalexis: Lo mas bonito de vivir la vida es vivirla con compromisos, lealtad y amor! Amigos y familia! Echele ...
254206363_75237540541632513 x	RT @AndyMilonakis: Early morning I sneak into the bathroom to put makeup on and then go back to bed to trick myself into thinking I wake ...
254206363_70187571182972929 x	@Bluberyy Kool Aid??
254206363_70311104559063041 x	@Bluberyy Yes. Kool Aid, my dear. Ohhhh yeeeaaahhhhh!
254206363_68150324245962752 x	@Evsword Sho is! I'm a show me person. You gotta show me the taste.
254206363_68093154984861696 x	@Evsword Oh that sounds yummy. But I've no tuna!!
254206363_68143986451300352 x	@Evsword Haha, I settled for Cinnamon Toast Crunch.
254206363_68069626436792321 x	@Evsword miss you (:
254206363_65594283595546624 x	@Bluberyy like triscuits and biscuits! (:
254206363_62007643924987904 x	@Evsword Woo!
254206363_61493939110297600 x	@Bluberyy haha! I was wondering when he would get tired. Man, we treat him like poo.... "Ha. Poo."
254206363_61454794254069761 x	@Bluberyy hateit2 when I lose my glasses! Haha. :p
254206363_58021299582275584 x	@Bluberyy Haha! That reminds me, we should make a cereal! :D
254206363_58221851654098944 x	@Bluberyy BisTrixits? :p
254206363_57472309182738432 x	Haha, @Bluberyy tweeting you! :p *random*
254206363_53621286466887680 x	Waiting #greysanatomy !!
254206363_47385500822155265 x	Haha. @Bluberyy I knew you'd know I would! :p
254206363_47359846961516544 x	@Bluberyy I so do!! (:
254206363_39370435187589120 x	Wow. I'm twittering! Or is it tweeting...? :D
