385210650_354733318492782593 x	#SweetTea #MasonJar http://t.co/x6CAeIJYm4
385210650_400420277211103232 x	So pumped for these college basketball games #UKvsMichiganSt #DukevsKansas #Randle #Wiggins #Parker
385210650_400338440635842561 x	RT @bencranegolf: It's 11/12/13. Happy Amen Corner Day! http://t.co/EFZIqDSoRS
385210650_400088494498152448 x	Nate Robinson is nuts in the new #UncleDrew
385210650_400051741871575040 x	#Sixers!
385210650_399694743128784896 x	RT @Ferko06: Matt Schaub take notes on how to use Dre on the goaline! #Stud
385210650_399554106375045120 x	RT @MikeVick: Leading the BirdGang today will be my young bro @NFoles8. #53Men  #TEAM #WinningSituation
385210650_399553956671942656 x	RT @Trouty20: Big game against the Packs !!! #FlyEaglesFly
385210650_399553826321358848 x	RT @ESPNStatsInfo: Michael Carter-Williams & Oscar Robertson are the only players in NBA history w/ 130+ points & 50+ assists in 1st 7 care?
385210650_398902441963302913 x	RT @RealSkipBayless: Suppose Mariota's knee slowed him some but come on, not in Manziel's league as best college player or pro prospect.
385210650_398901604742885377 x	RT @JohnnyFootbalI: Mariota against #5 Stanford: 2 TDs,  234 yds  Winston against #7 Miami: 1 TD, 329.5 yds  Me against #1 Alabama: 5 TDs, ?
385210650_398241137158520832 x	#Sixers
385210650_397548064866848768 x	James Starks tho....
385210650_397516061069045760 x	#Sixers
385210650_397061111008489472 x	#NFL
385210650_396840494644600832 x	RT @NerlensNoel3: Great team win !! Philly fans brought the energy big time tonight !! #SixersBasketball
385210650_396826850284302336 x	RT @TWroten_LOE: Great way to rally back and get the win. Couldn't of did it without the best fans in the league.
385210650_396823327710670848 x	RT @RoobCSN: Here's a list of 76ers who have had 60 points, 20 assists and 10 steals three games into a season. Not just rookie year but an?
385210650_396819600014602240 x	@ChipMoney3 Just got done watching our Sixers move to 3-0. Now watching our future franchise QB #JohnnyFootball #MoneyBadger
385210650_396815955793551360 x	Sixers baby!
385210650_396814093874921472 x	"MCW following Rose like bad credit" best line of the night by Malik #Sixers
385210650_396655644331487233 x	RT @TWroten_LOE: 730 eastern game on #NBAtv against a very good chi town team. #SixersNation #Whop #LOE
385210650_396652069039652864 x	RT @TWroten_LOE: Got some good rest. Back at it again tonight against Chicago lets get it. #GameDay .
385210650_396447400543653888 x	RT @Sixers: #Sixers advance to 2-0 on the season w/ 109-102 win over @WashWizards! @yungsmoove21 leads w/ 29 PTS. #TogetherWeBuild
385210650_396412102531117056 x	#Sixers
385210650_395729293713887232 x	RT @SportsCenter: Michael Carter-Williams EXPLODES onto NBA scene in an upset over Heat. 9 steals are most EVER for rookie in a debut. http?
385210650_395729176051068928 x	RT @MagicJohnson: I just got done watching the guy I think will be the Rookie of The Year, Michael Carter-Williams of the 76ers.
