72677771_270060418934906880 x	Never again #shitshow
72677771_394897032588328962 x	It blows my mind how quickly this semester went
72677771_392383808139694080 x	S/o to the little bro on getting into temple on scholarship #templemade #familytradition
72677771_391770976712925185 x	Every time I come home it's all I think about
72677771_391273691109412864 x	Is it worth making an appearance at mcd homecoming tomorrow since I'll be home anyway?
72677771_386711461378424832 x	Sad day for the clubTECH family #ripjerry
72677771_378710413116203008 x	Everyone should get to appreciate this. Definition of battle wounds http://t.co/hRrTxCmjxk
72677771_385874820829024256 x	The amount of time I spend at the TECH between actually working and just going to hang out with people is actually absurd
72677771_385721531315531777 x	One hour to go here at clubTECH and all my homework for the next week is done. What to do now....
72677771_385613279173021696 x	Baby you can drive my car
72677771_384787644343128064 x	Just your normal girl searching for the Noah to my Allie #TheNotebook
72677771_383819825707253761 x	What the fuxk is my life
72677771_378887332608638976 x	Now accepting snuggle buddy applications for today
72677771_378500846239379456 x	Holy shit I think I broke my foot last night
72677771_377793321055559681 x	Shoulda done my wash last night. All out of shorts and it's about 1000 degrees
72677771_377585442767794176 x	Denied
72677771_377539619254177792 x	Seriously if anyone wants tacos come over
72677771_377279804460269568 x	My housemates go to bed so early...
72677771_376558301812895744 x	Oh my goddddd it's college just be single
72677771_376343174417223680 x	Wait...anyone wanna come to the football game with me since now I don't have anyone to go with anymore...
72677771_376112536154046464 x	Someone come over and watch a movie with me tonight since there's not a chance I'm going out #stillstruggling
72677771_375996705428484096 x	I'm carrying a backpack with nothing in it and desperately trying not to vom all over this classroom #struggles
72677771_375304793214156801 x	I really just wanna get home and cook dinner...
72677771_374898868733095936 x	Anyone wanna go to Richies with me at like 1?
72677771_374901001574424578 x	@I_Grab_Boobs depends on the day. I'm thinking chipotle wrap
72677771_375294890848301056 x	@I_Grab_Boobs bummer! It was so good
72677771_374853797610553344 x	Rise and grind
72677771_374345528601227264 x	All this time I was finding myself and I didn't know I was lost
72677771_372176385672220672 x	Spending my first night reviewing economic immigration theory #thrilling
72677771_369684181334654976 x	I need to like stop...
72677771_369428617668747264 x	Someone hook me up with a shower and an Advil and well be golden
72677771_369444223247847424 x	Does Zavelle's take diamond dollars?
72677771_368949739644923904 x	It's really hard to admit to myself that it's over.
72677771_367976710610096128 x	I seriously am such an ass sometimes
72677771_336003501895327744 x	Expect the unexpected
72677771_335222164737372160 x	Tell me what I gotta do to win you over
72677771_327069283135934464 x	Every Tuesday night I say ill go to my 11am tomorrow, but then Wednesday morning comes along and it just doesn't happen
72677771_321727054246727680 x	They gonna love me for my ambition
72677771_306810913451814914 x	Class is such a drag
72677771_305027279346614272 x	I have a date with the 11th floor study lounge tonight
72677771_303609456044933120 x	Helllllo mr. Train conductor. You are extreeeemmmmmly attractive
72677771_302571469618159617 x	America themes clothes are coming back to forever21 ???
72677771_302306259636477952 x	Happy flicking valentines day
72677771_301737845587054594 x	#ASHtag I'm really not in the mood for mosaics today #freud
72677771_299753395403763712 x	I make myself look pathetic sometimes
72677771_298521476636753920 x	I'm about to eat my weight in buffchicdip here in hardwick 855
72677771_286100587844612096 x	But honestly though. Fuck Everclear
72677771_282392164112162816 x	No ones awake to play with me
72677771_277432048359190528 x	It feels there's actual poisen flowing through me #hungover
72677771_272194022850846721 x	Why do I even bother. #fuckme
72677771_271726853570580480 x	I'm getting better at pretending
72677771_271711763056193538 x	Worst. Thanksgiving. Ever. #homealone
72677771_270670484159483905 x	How am I supposed to write this paper when all I can think about is what I'm gonna eat for dinner?
72677771_270638367304204289 x	I deserve someone who would jump fences to be with me, not someone who's on the fence about being with me
72677771_270061100551254016 x	If I snapchatted you tinight I'm sorry but I don't remember
72677771_267525001064902656 x	Why does everything blow up everytime jcome to WC
72677771_267096981300715520 x	Gettin a little loko for the first time in a while
72677771_266231268012867584 x	Dear girl at the TECH, it'd be a lot easier to help you if your laptop wasnt in German....
72677771_264795307307565056 x	I didn't hate that at all
72677771_261100013185273856 x	I seriously have the best mom ever
72677771_260497973245513729 x	If you aren't keeping up with my #blog #thesquirrellife then you should probably start
72677771_256987981091569664 x	Freezing by @its off right nie
72677771_256459247464882176 x	"Obama wants you to be an economic whore, and the bigger your knowledge tits are, the more you sell" #myprofessor
72677771_256000169760403456 x	I woke up a little easier knowing that no one was gonna ask me if I registered to vote today
72677771_255816079102849024 x	Am I more than you bargained for yet?
72677771_254774735941029888 x	Tryna get on my level again tonight.
72677771_254208788024918016 x	I wanna see pitch perfect today
72677771_253309748974321664 x	Who gives a fuck about #NationalBoyfriendDay
