350946299_386964279695777793 x	RT @GerberLive: Finally a fall storm
350946299_396051564429070336 x	RT @RealDrLoomis: It's going to be a loooooong night
350946299_395355353799745536 x	RT @KeeganMKey: Contemporary Classical music. Is that both presumptuous and an oxymoron?
350946299_395348444484997120 x	@LGreene46 fo' real.
350946299_394516436737335297 x	Eagles offense is so good. Eagles offense is so good. That's my "woosa". #eaglestalk #unbeleagleble
350946299_394138932591734784 x	@iamallyeff that is overkill and he probably has a tiny penis?
350946299_394140112403329025 x	@iamallyeff you have arms! I'll hold a door all day, but the car door thing has unsatisfied girlfriend written all over it. #noorgasms
350946299_393696397952040961 x	@rustyrockets isn't narcissistic, he's just intelligent enough to see the through bull shit and public enough to show people what he sees.
350946299_391989294703063041 x	Last I checked it's 0-0. But let's keep talking about how good the cowboys defense is playing.
350946299_391939408175570944 x	RT @MikeVick: We win as a TEAM! All 53 men #BleedGreen
350946299_391518111163490304 x	@fake_brian strange and tragic Brian.
350946299_391294370399670273 x	@TVsAndyDaly is a genuinely funny human being. No acknowledgement needed....just want to let ya know! You're just plain funny.
350946299_391227276068917248 x	RT @ScottAukerman: GUYS! TONIGHT! It's the return of @ComedyBangBang TV! With @rainnwilson & @TVsAndyDaly. This ep has my favorite sketch i?
350946299_391161149380890624 x	@rheahughes impossible to beat that weasel. Those fans are disgraceful.
350946299_391013416703631360 x	@GerberLive the chicken brothers?
350946299_391014344211070976 x	@GerberLive never watched it
350946299_391015022140596225 x	@GerberLive I believe it, but somebody that uses my Netflix is watching it and I'm waiting till they're finished!
350946299_391015376966135809 x	@GerberLive thanks....I'd appreciate it! ;)
350946299_391012867564384256 x	@tpanotchCSN Will there ever be a call? If a flyer gets injured because of a bad ref I'm not going to be happy.
350946299_391000595894894592 x	@NHLFlyers maybe a picture of him scoring would be cool. The flyers make me sad
350946299_390996174326751233 x	@tpanotchCSN the flyers aren't very good
350946299_390993730989465600 x	Really hard to score if you can't get a shot off. #flyers/penguins
350946299_390985471742205952 x	@tpanotchCSN the flyers are missing on opportunities. Difference between a good team and our team. #CAPITALIZE
350946299_390280812706693120 x	@iamallyeff that's worth a retweet? You're tryin for numbers!!!!
350946299_390280648105394176 x	@GoPhillyFlyers @iamallyeff
350946299_390108014164054016 x	If you want prime goofs and sometimes pretty alright advice then listen to @MBMBaM. #ghosthorses
350946299_389547847156514816 x	@MattBesser Been re-listening to old episodes of I4H and I don't know if you knew, but it was already the greatest podcast in the universe.
350946299_389476348768833537 x	Shady is unreal @rheahughes
350946299_389474170637410304 x	@rheahughes who's number 14? I almost forgot he was on this team
350946299_389474074046775296 x	RT @RoobCSN: 44 to Riley, 36 to DeSean, and Nick Foles is making quite a case to keep this job. #EaglesTalk
350946299_389474030585413632 x	Alright Foles. Alright.
350946299_389473095477919744 x	RT @nottjmiller: And by that I mean I have sex with a woman's vagina and then soak it in brine for 3 months with dill and spices.  #kosherp?
350946299_389472340998123520 x	@Ike58Reese these games (giants, bucs) just show us how much work needs to be done. Not as good as Denver or KC, not as bad as TB or NYG.
350946299_389471543107284992 x	@Ike58Reese thank you. This kid is making catches like it's his job! ......oh wait.
350946299_389471192941592576 x	@rheahughes 3rd down and whatever, the eagles have what you need! A first down!
350946299_389470990927147008 x	Whenever I see a team with this many holding calls I think about all of the ones not being called. #Bucsholdingallday
350946299_389449603990691840 x	@Ike58Reese The Bucs are making the eagles O line look atrocious.
350946299_389449166902296576 x	The eagles O line looks terrible.
350946299_389448928661614592 x	The eagles look like garbage
350946299_389438053456310272 x	@RoobCSN he deserves so many more!
350946299_389437940256243712 x	RT @JordanRaanan: Chip Kelly with a double barrel middle finger to the world by calling the Nick Foles QB draw for TD. #eagles
350946299_389411446960193536 x	@LGreene46 probably....the jets defense can be soft
350946299_389411198955163648 x	@LGreene46 lol...no bottle, just clunky fingers!
350946299_389410997217558528 x	@LGreene46 ?
350946299_389410875301699584 x	@LGreene46 beat*
350946299_389410860286095360 x	@LGreene46 I'm not denying talent. I'm saying you're best
350946299_389410467619565568 x	@RoobCSN eagles 28, bucs 17
350946299_389410323582976001 x	@LGreene46 beat!!!!!
350946299_389410141579542528 x	RT @CutonDime25: Back at it game time!!!!!...... Damn the Philly Boys here !!!!!!
350946299_389409886943338496 x	@LGreene46 fantasy?
350946299_389377123800326144 x	@TMZ is a stain on society. I don't wish any ill will, but you should all feel shame.
350946299_389199595773124608 x	@NHL good job refs. Try and tell me there isn't a double standard. This is ridiculous. Refs should be ashamed of themselves.
350946299_389187555515973632 x	@skydart ew.
350946299_389186751694401536 x	Hey @NHL how much are you paying officiating crews to kill the flyers? IM TIRED OF IT! #fairplay
350946299_389186485234450432 x	@tpanotchCSN Detroit basically has to shank a flyer for a call to be made. A flyer merely needs to be too close
350946299_389186266547646464 x	@tpanotchCSN I'm tired of one-sided officiating.
350946299_389186206455828480 x	@tpanotchCSN that's a weak call
350946299_389184286022447104 x	There's my @NHLFlyers! Great way to bring it back!
350946299_389179977247518720 x	That wasn't a penalty @tpanotchCSN????
350946299_389176301271412736 x	RT @kumailn: My patronus is Malala.
350946299_389014208186437632 x	@MBarkannCSN happy birthday little Barkann! I bet you're a wonderful father! And goofy!
350946299_389014013667209216 x	RT @MBarkannCSN: Happy birthday to a young woman who I love w all my life. Who makes me proud every day. Happy 17th girlie! http://t.co/Avb?
350946299_388785394411917312 x	@kt_money thank you!!
350946299_387710092415877121 x	RT @teresamcelroy: My new family is awesome! Thanks for the twitter name change @JustinMcElroy and @travismcelroy !
350946299_387706427625992192 x	@phillyprince1 stop messing with Joey! That's my homeboy and you're what? Nothing! @madflavor up @phillyprince1 down. You ain't a prince.
350946299_387705395302912000 x	RT @joanwalsh: Love this: "Americans overwhelmingly oppose a Dodgers win." Why won't LA even talk about reversing Braves loss? http://t.co/?
350946299_387697441195429888 x	RT @dogboner: john wilkes booth just wanted to see a play and this asshole sits in front of him with a tall ass hat on like hes king shit o?
350946299_387526803088478208 x	@NHLFlyers hey Ed Schneider! Maybe don't be a jerk and answer some questions after a coach is fired. You're not untouchable. #flystrated
350946299_387523728546222080 x	@SpeakerBoehner this political system is flawed. This government works for itself, not it's populace. Be ashamed of yourselves. #children
350946299_387301173524717568 x	@alispagnola I would have said slurms mcduffman
350946299_387167881987125248 x	@Mehrkz stop it!
350946299_387170461144334336 x	@Mehrkz I know you will!:)
350946299_387020565334458368 x	@LisaHillaryTV @helenenothelen you better be impressed! Philly gave up a great reporter/analyst! #wemissyoulisa #goodluck
350946299_387019256254431232 x	I freaking love @BobsBurgersFOX. So much. #candyrandy
350946299_386918016078061568 x	@Ike58Reese will they ever call a late hit on Vick? That's ridiculous
350946299_386912568859951104 x	Michael Vick is the best quarterback in the @nfl. Nobody is better. That's just perfect coverage on jason avant. #sarcasm
350946299_386911210442354688 x	Thanks for taking 2 points away from the @Eagles @nfl referees. #unbeleagleable #badjudgement
350946299_386274401437892608 x	RT @pattonoswalt: The only resemblance between GRAVITY and OPEN WATER is that there are space-sharks. Other than that, wholly original.
350946299_386254260855656448 x	I just saw somebody I went to high school with. As I was walking out of acme. With only 2 items. Red wine and a microwave dinner. #Success
