296397103_388546908819820544 x	@ShephardsResort http://t.co/Znnt0I4DQp
296397103_388379930603425792 x	@Huntermoore Ha you are nuts man
296397103_385576237923840000 x	Terrible Simmer
296397103_390545344792371201 x	@jamie_bottoms Me?
296397103_395383739058225152 x	RT @carlinrobin: Pau Gasol is a better player than Dwight Howard. #YeahISaidIt
296397103_395245927717683200 x	RT @PatMcAfeeShow: Chugged 4 smart waters this morning.. Been pissing intelligence all afternoon
296397103_395237014184140800 x	RT @mstairs12: 5 years ago today is when I started drinking free in Philly. Love homeruns !!!!
296397103_394673484611465217 x	RT @BillSimmons: This World Series is on drugs.
296397103_394673395910340608 x	RT @jimrome: Win a WS game on obstruction, lose the next on a pickoff!
296397103_394673216075337729 x	RT @ryanlawrence21: To pick him off to end the game, I think. RT @KeithOlbermann: What on earth is Napoli holding Wong on for?
296397103_394179927282819073 x	RT @BonefishGrill: How do you feel about Bang Bang Shrimp? We #TripleBangDare you to write it a love poem to for a chance to win some! http?
296397103_393591399981281280 x	RT @Michael_Levin: I am going to buy stock in thesauruses with how much I'll be searching for synonyms for "OH GOD WHAT THE FUCK AM I WATCH?
296397103_393100002547208193 x	RT @amonaghan24: ?@FactBoook: Johnny Depp is actually blind in one eye.? @DMonaghanJr you're not the only one bud ?
296397103_392695801421791232 x	RT @JohnnyFootbalI: Does Jameis Winston have a Heisman? Didn't think so. Pussy can't drink either, he puked after a 6 pack of Mikes Hard la?
296397103_392478313178234880 x	RT @fbgchase: That was a horrible INT for Freeman, but at least he doesn't have MRSA.
296397103_392425401877671937 x	@Michael_Levin Why do people care, we are going winless for Wiggins anyway
296397103_391998338570391554 x	RT @bomani_jones: michael vick still hasn?t told his brother to get off twitter?
296397103_391781901603991552 x	@johnclarknbc10 All that means is that NNamdi will be in this years Super Bowl
296397103_391765360246263808 x	@KacieFOX29 @JennFredFOX29 Yeah she get engaged to me.. #sorryguys
296397103_391363055067873280 x	RT @JeremyPond: That national-anthem staredown was awesome.
