164582407_394735992671711232 x	HAVE A BLESS MONDAY PEOPLE OF THE WORLDB-)
164582407_394734829247684608 x	Pressey makes his point http://t.co/cP2XonAOhE
164582407_396536453481521153 x	HAVE A GREAT SATURDAY PEEPZB-)
164582407_396533486942560256 x	NBC Sports - ProFootballTalk: Bankruptcy court could siphon Duerson?s concussion settlement http://t.co/ivALZUrUkY
164582407_396528029935357952 x	The trouble in Tampa Bay http://t.co/mGX5g9BAIU
164582407_396526660540829696 x	NBC Sports - ProFootballTalk: D.C. Council to consider resolution regarding Redskins name http://t.co/nmw1Ld8f8a
164582407_396518927766802432 x	HOME FOR THE NIGHT HAD A GREAT TIMES OUT WITH MY FAMILY GOOD NIGHT FOXBORO:-D
164582407_396494437078945792 x	OUT FOR MY SISTER DORI BIRTHDAYB-)
164582407_396486138862395392 x	NBC Sports - ProBasketballTalk: Kirilenko says Durant, Kobe tougher to guard than LeBron http://t.co/cjWbZrwgVk
164582407_396485925741412352 x	NBC Sports - ProBasketballTalk: Nets in control from start, hang on at end to finally beat LeBron and gain a littl... http://t.co/uVy2TYNAva
164582407_396485781402832896 x	NBC Sports - HardballTalk: The Dodgers could go after David Price, Masahiro Tanaka http://t.co/Ax950RriKt
164582407_396461181767913472 x	Final: Bucks 105 Celtics 98. MIL: Z Pachulia 20pts, 9reb, 4ast BOS: B Bass 17pts, 9reb, 2ast
164582407_396458103660498944 x	NBC Sports - ProBasketballTalk: Bill Russell statue unveiled near Boston City Hall (VIDEO) http://t.co/ZG3YOOvpmw
164582407_396453138666115072 x	Belichick: Sopoaga primed to play Sunday http://t.co/MVbvZwcnrm
164582407_396436584515383296 x	NBC Sports - ProHockeyTalk: Eriksson (concussion) is able to do light workouts http://t.co/Wxm4lPVU6B
164582407_396436354222919680 x	NBC Sports - ProBasketballTalk: Jordan says LeBron is best player in league (now that Kobe is injured) http://t.co/Uo60K4Jb5X
164582407_396419401492086784 x	GAME TIME CELTICS BUCKS!
164582407_396408387946446848 x	Belichick high on Dobson; more bits http://t.co/Qcpgqu851b
164582407_396399074435284993 x	@ THE BOSTON GARDEN NOW THE BOSTON CELTICS SEASON HOME OPENER:-D
164582407_396395894964490241 x	Golovkin: Stevens' talk is 'too much' http://t.co/mQYFfcHivU
164582407_396394651344977920 x	Kentucky and the undefeated debate http://t.co/ZXueUyBsCb
164582407_396393361210634240 x	Why Jerry Jones' team won't win http://t.co/TYEzLDB1ih
164582407_396391791324569600 x	November never easy for contenders http://t.co/0B2mRmffVS
164582407_396386444928753664 x	NBC Sports - ProFootballTalk: NFL suspends Justin Blackmon again for violating substance-abuse policy http://t.co/Basxg0PWeo
164582407_396380846539538432 x	NBC Sports - ProBasketballTalk: Report: Magic willing to move Jameer Nelson for first round pick http://t.co/gKTiTT4sIn
164582407_396380047289753601 x	NBC Sports - ProBasketballTalk: ?Inside Stuff? is back, Kevin Garnett on it talking Nets (VIDEO) http://t.co/IBO9G3GgiE
164582407_396379586205732864 x	NBC Sports - ProBasketballTalk: Michael Jordan no fan of teams tanking for picks http://t.co/HBD2NCah5x
164582407_396343361612701696 x	NBC Sports - OlympicTalk: Team USA merchandise rolled out for Sochi 2014 (video) http://t.co/57gLwwy3bD
164582407_396343166602711040 x	NBC Sports - ProSoccerTalk: WATCH: Premier League TV Schedule ? Week 10 http://t.co/GO2cNHSOMA
164582407_396342640959950848 x	NBC Sports - ProBasketballTalk: Deron Williams says Nets believe they are better than Heat http://t.co/gU5silW9R9
164582407_396342512618438656 x	NBC Sports - HardballTalk: Derek Jeter, Yankees agree to reworked contract for 2014 http://t.co/v4igltttTq
164582407_396332727697678336 x	Roy Jones Jr. to fight Bobby Gunn http://t.co/sCWmfGGVVx
164582407_396331657512235008 x	Yankees sign Derek Jeter http://t.co/ttszyXOdTE
164582407_396331317925003264 x	Andrew Wiggins likely one-and-done http://t.co/amIHMmwPoV
164582407_396326488682672128 x	ESPN SportsCenter - Yankees re-sign SS Derek Jeter to 1-year, $12 million contract
164582407_396325464429453313 x	NBC Sports - HardballTalk: Where will the Red Sox spend this winter? http://t.co/p2XRuz88Vt
