226566640_350410983203815424 x	Wow #sixers are idiots
226566640_389477367376510977 x	RT @espn: FACT: NFL Sundays are highly unpredictable.
226566640_377473975615758336 x	Woohoo 50cent cheesesteaks! #genos #FatKidProbs @zmcgowan02
226566640_395990242953789440 x	RT @SportsNation: After last night, The Sixers be like... http://t.co/XyGDuND1wL
226566640_395989150836723713 x	RT @RealGlenMacnow: I'd take @Max25talbot any day over Steve Downie. Sorry to see Flyers going down the same old road.
226566640_395869131784069120 x	RT @Jim_Gardner: Someone said the Red Sox won the World Series tonight, Whatever. All I know is that the Sixers beat the Heat, and a new st?
226566640_395867869248249856 x	RT @ESPNNFL: MUST SEE: This halloween costume wins the WEEK --- Baby Andy Reid -> http://t.co/AH5ChPqoqs      (via @PeepSports)
226566640_395748148465119233 x	RT @SportsCenter: Michael Carter-Williams EXPLODES onto NBA scene in an upset over Heat. 9 steals are most EVER for rookie in a debut. http?
226566640_395635670112567296 x	RT @Eagles: From our own 10, 9, 8, 7 to the @Sixers: Good luck this season!  #TogetherWeBuild #FlyEaglesFly #BrotherlyLove http://t.co/RCDm?
226566640_395628621286899712 x	RT @CSNPhilly: The teammate that helped Iverson out most of all Aaron McKie #SixersTalk
226566640_395622049634590720 x	Did anyone else tear up watching Allen Iversons press conference? #FarewellAI
226566640_395595489955315712 x	RT @alleniverson: Philly I'm back!!! #FromAIWithLove ... #TheAnswer http://t.co/KrN1axDp7w
226566640_395226647840169984 x	RT @MLB: Five years ago today, Brad Lidge went wild and the @Phillies were world champions: http://t.co/POEDG0Dwdh http://t.co/Sju1nmM6xM
226566640_395205197569744896 x	RT @Phillies: Five years ago today. Where were you? #2008WSchamps http://t.co/SdQ3Og6yAt http://t.co/bBRYDtFMMR
226566640_394993415760666624 x	It's going to be a struggle to stay awake in class for this last hour
226566640_394553509729038336 x	RT @SportsRadioWIP: It?s official. WE STINK! - @darealtank78
226566640_394511113830014976 x	Wait. Why are the Eagles atrocious?
226566640_394251728524439552 x	Being stranded in the bathroom with no toilet paper is the worst ...
226566640_394259813888434176 x	@hbarrin thankfully I was rescued haha
226566640_394162888946241536 x	@zmcgowan02 is the best for taking me to the PA Ballet today ? http://t.co/E8R2jenjdA
226566640_393906337614422016 x	I'm letting all of the whales out of seaworld after watching #Blackfish
226566640_393552733418319872 x	RT @NHLFlyers: FLYERS WIN 2-1! Goals from Read & Coburn
226566640_392730932530388992 x	5 years ago today was the start of the best two weeks of my life #phillies #WorldSeries @noelletuttle @cat_lover26
