613671115_284496517262364672 x	TOUCHDOWN #BEARCATS! TRAVIS KELCE!!!
613671115_381747114101186561 x	RT @NewYorker: How evil should a video game allow you to be? http://t.co/xDZP6ycmCS
613671115_285822054362652672 x	#GoBEARCATS Time to close out this game with solid defense!
613671115_284497995540606978 x	#Belkbowl you are absolutely nuts! #GoBEARCATS! #hottestcollegeinamerica
613671115_395929732841476096 x	In Charlotte for #smt13 time to check out downtown #musictheory
613671115_395422090527916032 x	Nothing eases my stress better than vulgar, rhythmic, awesome bass-line rap hip/hop; looking fwd to Mitch Ohriner's presentation at #smt13
613671115_395178228031455232 x	RT @SMT_musictheory: When tweeting about or during the upcoming annual meeting in Charlotte, please use #smt13
613671115_395177976142114816 x	working on the finishing touches of my paper for #smt13 in Charlotte. Looking fwd to a great weekend and lots of learning with good people
613671115_393932852108095488 x	when writing papers, do not start at the beginning: it's NOT a "very good place to start"; start with the meat: the pork, ham, steak, gyro
613671115_391665344504270848 x	@twiprud Enjoyed the pre-concert talk and hearing your thrilling "Hosannas" at the Reading Symphony. Thanks for  #composing #newmusic
613671115_390180480709976064 x	"Basically, a composition does not require a performance in order to exist." Heinrich #Schenker, from The Art of Performance #musictheory
613671115_389138286687838210 x	#weare Let's go #PennState
613671115_388842757340798976 x	#Musicaltheatre never fails to astound me; provocative, insightful, clever, never bland, always entertaining @GenesiusTheatre
613671115_386955218937991168 x	RT @PrezOno: So the Eagles remain impressive.  Proud of our Bearcats on the team.
613671115_386954905606717440 x	RT @nfl: Adam Jones ends the Pats undefeated season, Brady's TD streak AND a rainstorm. With 1 INT.  MUST-SEE - http://t.co/0Kl3eZatHM
613671115_386866225797926913 x	RT @MTOJournal: 28 dissertations posted on MTO in the past two months (not all new): http://t.co/LA81e9qpRd
613671115_386861163000377345 x	Make one resource folder with a bunch of PDF articles and one .docx for bib/lit-rev.; another folder for exx.; #musictheory #research #ocd
613671115_386858205487595520 x	@MuhlenbergTwp Congrats to the Twp's multiple 1st-places in the Temple #Halloween Parade; especially to the Muhlenberg Community Library
613671115_386854447370240000 x	@GenesiusTheatre I got a ticket for this Friday; am looking forward to it. Break a leg to the cast, orchestra, and crew!
613671115_386853319664492544 x	RT @GenesiusTheatre: Come see Kiss of the #SpiderWoman today at 2pm! Purchase tickets at the door or online at http://t.co/rsTka7Mund http:?
613671115_385003642975436800 x	RT @MUSICTHEORYAUG: Theorist's mantra http://t.co/SSTph8hPj3
613671115_384810048410509312 x	#musictheory #resources @ayottemusic I just bought: 'The Music Forum' by Felix Salzer via @amazon http://t.co/TJxsgRz7fB
613671115_384760938684895232 x	Have an A-1 Day! #GoodbyeBreakingBad
613671115_384632936550912000 x	RT @RoyalPhilSoc: Manuscripts Reunited! Our exhib starting today @JuilliardSchool reunites 2 original Beethoven 9 copyist manuscripts http:?
613671115_384505642993868800 x	RT @PrezOno: #GoodbyeBreakingBad
613671115_384437974236409856 x	RT @RebeccaKopriva: I didn't learn to curse in a skeezy bar--I learned to curse in a Finale lab, like a proper musician.
613671115_384001416580595712 x	Let's go #Reds beat the pirates! #mlbplayoffs
613671115_381941246291628032 x	RT @TheAtlantic: #BreakingBad fans: Catch up with our breakdown of last week's episode http://t.co/3VtucKo1xG
613671115_381872142284881920 x	@Ike58Reese what an awesome turn for the #Bengals! Wish the #Eagles could have take aways like that!
613671115_381871401646313472 x	RT @Bengals: Packers go for it on 4th and 1, Franklin is stuffed and fumbles, Newman picks it up and goes 53 yards for the score. #GBvsCIN
613671115_381871332624850944 x	RT @Ike58Reese: Cincy Bengals, TD!
613671115_381834672063258624 x	@Bengals Off to a great start against the Pack. Keep it up! #Bengals
613671115_381833646635622401 x	@Phillies Congratulations to Ryne Sandberg! Hopefully a fresh approach will help the #Phils get back on track and into #redoctober next year
613671115_381833284046434304 x	RT @Phillies: ?It?s a dream job and a dream come true,? Ryne Sandberg, Manager, #Phillies http://t.co/J9h3QJLkuc
613671115_381746201936543744 x	RT @TheAtlantic: Electronic Dance Music?s Love Affair With Ecstasy: A History http://t.co/KOs6Z1cg1b
613671115_381745802680758273 x	RT @MUSICTHEORYAUG: Getting conference funding http://t.co/va8YVjeCg3
613671115_381575892591726592 x	RT @piersmorgan: I know, and I won't > RT @carljpople @piersmorgan piers never back down on gun stance. Majority (common sensed) agree 100%?
613671115_379063568018063360 x	RT @uofcincy: #Bearcats win! 66-9 final. UC has outscored opponents 108-16 over its first two home games. @GoBEARCATS
613671115_292112065638834176 x	RT @penn_state: Congratulations to Coach Bill O'Brien on being named Bear Bryant Coach of the Year!
613671115_378349089462550528 x	The HD TV where I live makes rain drops look as big as snowflakes. #TNF #NFL I'm more of an NFC fan, but watching football in the rain......
613671115_378171596193947648 x	RT @nytimes: Putin writes in Op-Ed that a U.S. strike against Syria "will result in more innocent victims and escalation" http://t.co/xMAaS?
613671115_378171247919915008 x	?@TheAtlantic: If Obama wants to remove Syria's chemical weapons, he'll need to put troops on the ground http://t.co/Xf4CxYpz8p? really?!
