267185728_226746934973579265 x	Beer Olympics #clamsquad #fucklondon
267185728_376870644274966528 x	RT @IamEvilTebow: Tom Coughlin just shat his old ass pants
267185728_345370351716413440 x	RT @IamEvilTebow: Tony Romo is at the Spurs/Heat game...He wanted to see first hand what it's like to be at a championship.
267185728_344799201684750336 x	RT @KattWilliams: You know the world is fucked up when, the best rapper is white, the best golfer is black, & the tallest guy in the NBA is?
267185728_340672440243978241 x	@Herring_210 cuzz hope you slap some garlic parm sauce on there
267185728_327449870598279168 x	RT @espn_nfceast: Ask Eagles about their safeties. RT @bigcrav: @espn_nfceast Have you ever heard of a second round bust?!?! They all must ?
267185728_320214349459361794 x	RT @DefinitelyaDbag: If you put a giant muffler on a Honda Civic...You're Definitely a Douchebag
267185728_318705424406806528 x	@AngMontaro when you trying to get beat again in madden?
267185728_318153898529542144 x	@Herring_210 #whoseenit
267185728_311189872264245250 x	@Slagus85 na don't
267185728_307699138512949248 x	RT @IamEvilTebow: Rory McIlroy withdrawing from a golf tourney for a sore tooth is definitely the pussiest move by someone in any profes ...
267185728_306831211689566208 x	Vodka sauce for lunch #fatboyswagg
267185728_306483776815521793 x	@pick_six22 I can't wait til you learn how to tackle
267185728_305334430405378049 x	RT @THEREALHELLRELL: Insufficient funds ass niggas talking money haaaa
267185728_281219211760644097 x	RT @cbannon21: That's the one Marv, that's the silver tuna #homealone
267185728_272881661551718400 x	RT @IamEvilTebow: Mike McCarthy just looks like a poor man's Andy Reid with his mustache. #JuniorWalrus
267185728_270285002330222594 x	"@DeionSanders: Everyone in Philly needs a #HOP"
267185728_263050401497112576 x	RT @IamEvilTebow: This hurricane completely ruined my plans for hookers & gambling in Atlantic City this week. #cockblockedbyGod
267185728_254730290679914496 x	@Herring_210 fingas
267185728_250753522679836672 x	@Herring_210 hilarious
267185728_251461217758093313 x	@Herring_210 a lot of the same cuzz how's life in the nations cock?
267185728_248514583696924674 x	Yo @Herring_210 i gotta get down to visit. Drink bud heavies and eat chicken wings at a titty bar #ilikedoinghoodratthingswithmyfriends
267185728_248513070970851328 x	@laurrenluo still can't see emoji's #knockitthefuckoff
267185728_248512329753452544 x	@laurrenluo Hahaha welcome back
267185728_247460393931386882 x	RT @IamEvilTebow: Reggie Bush treated the Raiders defense like it was Kim Kardashian's asshole.
267185728_244144839975915520 x	@Herring_210 @JZD413 went a little overboard this year. 5 teams. Need major puntos
267185728_243426669468213248 x	@laurrenluo haaaa #faggotdrinks
267185728_238681503473745921 x	@laurrenluo excuse me miss, can I speak to Pat Sajak?  #notsurewhatimhashtagging #ifeelobligatedtouseone
267185728_236698667556425728 x	RT @Yankees: With his 250th HR tonight, Jeter joins Willie Mays as the only players to record at least 3,000 hits, 250 homers, 300 steal ...
267185728_236698067871617024 x	@nic0leCee I don't think I know you. Have we met?
267185728_235928791174742016 x	@Herring_210 your lips are bitch made #manyunk
267185728_232106841553911808 x	@JZD413 thirteen #unlucky
267185728_231911573139095552 x	@JZD413 had an eagle putt up Emanon today. 4 putted for bogey #fuckeagleputts
267185728_229600324246183936 x	@laurrenluo I have a puppy
267185728_224292892955521024 x	@laurrenluo the height on my chair better be set to the exact same height that I left it at yesterday #dontfoolwithme #afraidofchange
267185728_223886342487154688 x	RT @KattWilliams: Every time I see a dude wearing jeans with rips at the knee, I assume the rips came from sucking a lot of dick.
267185728_223874828782931968 x	@JZD413 probably the best tweet ever #14thhole #shirtoff #combos
267185728_223585857247002624 x	RT @KattWilliams: Bitches ain't even 20 years old yet and they walking around with saggy titties... what TF is happening!?
267185728_222888192196620288 x	@JZD413 you can't swim with the sharks #goldfishnigga
267185728_222887118916165632 x	@laurrenluo what you need to do is go to church #ya'llmothafuckasneedjesus
267185728_222886786211385346 x	@Herring_210 @JZD413 we're definitley going to have to plan something.  Dunda will bring the florescent lights
267185728_222863513796878338 x	@laurrenluo stepping up my Mario cart game at the moment #yourfucked
267185728_222863161127215104 x	Ayye @Herring_210 you still alive? How's that Florida life?
267185728_222496206868320261 x	@laurrenluo you gotta double check #ifeelyourpain
267185728_221403117328146434 x	@laurrenluo don't concern yourself with my tweet game #fuckyourhashtags
267185728_216496532176904195 x	Go hard on my liver #feelsorryformybladder
267185728_215857350605672448 x	@laurrenluo I do what I can for the community and surrounding areas #FBS
267185728_215154292020092928 x	RT @DefinitelyaDbag: If you're bald & comb over your hair to hide the bald spot...You're Definitely a Douchebag.
267185728_213816552636690432 x	Dudes about to walk a tightrope over Niagara Falls #youshittingme
267185728_213025393802887168 x	RT @KattWillliams: Bitch I didn't text you last night...Vodka texted you
267185728_211663613830774784 x	@laurrenluo I want another gyro #hungryasfuck
267185728_210139290406092800 x	@laurrenluo my tweet game sucks #srryboutit
267185728_208330329319157760 x	@laurrenluo almost forgot #fuckoff
267185728_208261298713133057 x	@Herring_210 Hey where are youuusss
267185728_206921286348308483 x	My golf game is turrible #ineedalesson
267185728_206816043933511681 x	@JZD413 chicken farm
267185728_206566378256343040 x	Lemme get 6 Schlitz's #openbar #swag
267185728_206106249471860737 x	Someone farted in the elevator #whoshitinmyface
267185728_205813183661875200 x	Largemouth vaginas
267185728_205415771927621633 x	@Herring_210 Street meat bruh
267185728_204704891858456576 x	@JZD413 get off your fat back and get on your fat feet
267185728_202779248660971520 x	@JZD413 don't worry about my tweet game Ron
267185728_201833074105909249 x	@OsiUmenyiora still mad @CutonDime25 called you third beat d-lineman on your team? #truthhurts happy moms day bitch
267185728_201007006847467520 x	@JZD413 @Herring_210 #Salute
267185728_199183559288819712 x	RT @JoshSmi95899949: @Jamar51Chaney Can you please help get #RyanKennedy trending.9 yr old boy with brain cancer in hospice.his wish is  ...
267185728_194078270818484227 x	@Herring_210 aye cuzz grab me a boo
267185728_185873960976646144 x	#FatBoySwagg
267185728_185873765618556928 x	Heard @Herring_210 is coming in for Easter #EasterSundaySwagg
267185728_181111164099510272 x	Yo @220redskins take one to the head! #Rose'
267185728_181109022961840128 x	RT @EvanMathis69: I forgot to wear green for St. Patrick's Day so I signed with the Eagles to make up for it. #BleedGreen
267185728_174260462542794752 x	@Herring_210 not sure yet buddy. Definitely not walking from Kildares to Gibbles again. You coming home?
267185728_171407200105930752 x	@Herring_210 Had to hit the Ale House with a big ol #HOP last night cuzzz. Thought you'd like to know.
267185728_171405823791214592 x	@DeanoCali  #bigdog
267185728_165463365089624065 x	@Herring_210 love me some #casualfridayswag
267185728_164931855395729408 x	@Herring_210 #cuzzz
267185728_164882443139166209 x	@daleyg16 my bad bruh gotta #stepmytweetgameup
267185728_158710035705376769 x	Yo @Buck you fucking suck!
267185728_154366923952500737 x	@Herring_210 I said it's great to be a Michigan Wolverine #BigBlue
267185728_152897862567600128 x	@Herring_210 @Slagus85 #wigglers
267185728_150431804808114177 x	@Herring_210 #fatboyswagg
267185728_149658912117886976 x	@Slagus85 Big gulps huh? #lloydchristmas
267185728_126106234066702337 x	Damn @CutonDime25 almost knocked Big Reid out with that jab #BirdGang
267185728_125623906643095552 x	@toddherremans just blocked Landry into next Sunday. #dirty #toddfather
267185728_125399456223985664 x	#Spooky
267185728_115579229315411968 x	@Herring_210@jzd413 #Salute
