22511282_359715315317342208 x	@Espngreeny Could you ever see a scenario where @MLB  starts vacating stats the way the NCAA does?
22511282_395730537106927616 x	RT @ByDavidMurphy: Shane Victorino the rare Philadelphia athlete that not a single person hates
22511282_395730473470951425 x	@MikeMiss975 Have you noticed that @ErinAndrews has dressed a little more conservatively this year? Ha!
22511282_395018124057399296 x	@BattingStanceG Daniel Descalso becomes Eric Bana when he puts on a helmet http://t.co/k0Wxmr7dIP
22511282_395015767785504768 x	@BattingStanceG have you noticed that when Daniel Descalso is wearing a batting helmet, he becomes Eric Bana
22511282_394882740770078721 x	RT @bencranegolf: I can do #1 at least. RT @TrevorImmelman: http://t.co/y7fcIW4yjW
22511282_394084027000692736 x	@JonandSeanShow How about Mr. Clean
22511282_390939288944541697 x	RT @HockeyDrunk: LOL fact of the day: http://t.co/8S0K6DiAXG
22511282_390846896480485376 x	@TonyBrunoShow I want Vick to Jacksonville for Paul Posluszny
22511282_389941356359319553 x	@BattingStanceG Brian Wilson is pitching like he's late for a Foghat concert
22511282_388711669222088704 x	@Ailsy1 @uhhShananana blasphemy
22511282_386181582807396352 x	@WestwoodLee way to disrespect a squirrel Lee!
22511282_386113898602323968 x	RT @JimGaffigan: Sbarro = Sbad
22511282_385824243105415168 x	?@trascheasche: Hammer time #GBR #ShitBeerWeekend http://t.co/7HIHd2ZGjc? @StevieFootball
22511282_385121911849893889 x	WOW! My Twitter profile is worth $39.84!!! http://t.co/MDJXHyRjaz @twitiezcom @KevinDiksa
22511282_383733071142715392 x	@tombo_1986 did you really just call Cookout a restaurant?
22511282_382984288649895936 x	RT @Jeff_Daniels: We're Back!!! #DumbTo http://t.co/u2u42yM2hk
22511282_382863629793906688 x	RT @totalfratmove: Archie Manning meeting his wife at a mixer, then raising two elite quarterbacks with her. #TFM
22511282_380339955081674752 x	@cody_smasche @The700Level a kicker? @MikeMiss975 would totally call this a violation.
22511282_379736730360094720 x	RT @CockyBaIIPIayer: When I was 19.. http://t.co/PhlCKzT6uV
22511282_379310661735829504 x	RT @wingoz: The Redskins have found their best play today....touchback
22511282_379310591674159105 x	@kevinmccredie do work Green Bay
22511282_378813529744498688 x	RT @JuddApatow: Set of The Cable Guy. @JimCarrey @AliceInChains @PearlJam Mike McCready. Jerry Cantrell. '95. http://t.co/chK0oB8kTI
22511282_377413770173501440 x	@aubz1234 at least the Eagles won
22511282_377117975746445312 x	RT @White_Goodman_: Patches? http://t.co/vq3cslTIxX
22511282_376711933275414528 x	Monday night can't come soon enough #FlyEaglesFly
22511282_372777470086643712 x	RT @bencranegolf: Tremendous RT @RickieFowlerPGA: .@DickFowlerPI & @WeAreFarmers are cleaning up the game of golf, one perp at a time! http?
