42538051_397137054045601793 x	RT @CockyNickFoles: @Eagles Me and my agent agree it's time for me to get paid
42538051_397136828379447297 x	RT @rjdthree: All Vinny Curry does is sack the QB.  #Eagles #NFL
42538051_394509422896361472 x	Lets see what the "savior" can do #eagles
42538051_400079389935026177 x	RT @SarahxDousex: Waaaaaa I just wana play a game of extinction before I got to bed damn ghosts servers hurry up and fix them for fucks sak?
42538051_400073103780630529 x	@InfinityWard are the servers down? It's 8:29 on the east coast and I can get past the server error message.
42538051_399713670143700992 x	@InfinityWard since you guys are adding to the playlist any chance to add headquarters (cod4) or hard point?
42538051_397136385729376256 x	RT @JimmyKempski: Foles now 16 of 21, 285 yards, 5 TD, 0 INT, but his QB rating is no longer perfect. It's 157.2. Bum. Lol
42538051_399679416441532416 x	RT @rm973: This should also disspell the myth that the #Eagles can't run without a mobile QB. McCoy 25-155, Foles 5-41, Brown 4-11. Total: ?
42538051_399678918917386240 x	RT @TonyBrunoShow: The Foles haters will now say he only won because GB was using its 3rd string QB. #GetAClue #RealDeal #Foles #Eagles
42538051_399642515814764544 x	Its the wrong arm
42538051_399642304270839808 x	You can't catch the ball with your johnson!
42538051_397572201773539328 x	RT @PzFeed: BREAKING UPDATE: 'ACTIVE SHOOTER'. CBS NOW REPORTS 2 SHOOTERS INSIDE THE GARDEN STATE MALL, BOTH AT LARGE.
42538051_397568060414263296 x	Throwing up aces!
42538051_397564426091765760 x	RT @CockyNickFoles: Hope no one has gotten hurt
42538051_397546063621799936 x	@SarahLogan7 I hope you didn't expect a long streak.....
42538051_397168124547842048 x	@rm973 best answer!
42538051_397150586262781952 x	RT @rm973: Can we put all of the talk that Chip Kelly's O can't work in the #NFL to rest? When #Eagles QB executes, they light it up. Ask W?
42538051_397150194661601280 x	@SarahLogan7 you can't risk an injury because of a record. Could you imagine what would happen if he blew out his knee because of a low hit?
42538051_397149952193085440 x	RT @rm973: #Eagles QB Nick Foles finishes the day 22/28 for 406 yards, 7 TD, 0 INT and a perfect 158.3 rating. Ran 3 times for 14 yards.
42538051_397149907565686784 x	Shady killed the chance at the record on 2 drives. Bounced it outside instead of hitting the hole. #eagles
42538051_397147847189364736 x	RT @TonyBrunoShow: Eagles expected to move into the top 5 in tonights BCS poll. #Eagles
42538051_397147587184459776 x	Shady has got to stop bouncing outside and just hit the hole.
42538051_397147103614742528 x	C'mon guys it's record time. #eagles
42538051_397144729781280768 x	@rm973 It's the only smart thing to do.
42538051_397144402818514944 x	Too much east and west running on that drive to go anywhere. #eagles
42538051_397143955944800257 x	@973espn Yes
42538051_397143858796298240 x	Here we go! Record time! #Eagles
42538051_397143641200021504 x	RT @JimmyKempski: Third and final reminder that @WarrenSapp predicted that the Eagles would be shut out today.
42538051_397143486262427648 x	RT @NFLFanRT: Will Foles get 8 TDs? RT YES FAV NO
42538051_397143058908979200 x	Have to watch out for the injury bug now. #eagles Dirty plays???? It is the Raiders.
42538051_397142833465135104 x	RT @NFLONFOX: NICK FOLES SEVEN TOUCHDOWN PASSES.  Ties the NFL record for most touchdown passes in a game.   4:28 left to play...in the 3rd?
42538051_397142787109715968 x	RT @RobTornoe: The #Eagles should never play at the Linc again. Period.
42538051_397142748337549312 x	RT @CockyNickFoles: @Eagles So when I'm I gonna get my number retired and a city to the key? Should be soon.
42538051_397142620188983296 x	RT @SarahLogan7: 7 TOUCHDOWN PASSES!!!! One more and Foles will beat the NFL RECORD!!! I am literally screaming Lol!
42538051_397142509098631168 x	#Foles has a piece of the record, now lets go get it! #Eagles
42538051_397142303003119616 x	RT @rm973: There's the record. Nick Foles to Riley Cooper to tie the #NFL record with 7 TD passes. Un. Be. Liev. A. Ble. #eagles
