736133006_280505721999740928 x	Is anyone else as confused as I am? #49ersvsPatriots @CaptScottJr @flyerguy28
736133006_392563630392508416 x	The phone works both ways!
736133006_387172271494021120 x	@Espngreeny Brian Dawkins
736133006_387171787920113664 x	@Espngreeny Not unless Congress can add into the new budget that it is federal law that Mondays are a Holiday during football season
736133006_382853290461265920 x	@PrestonSteve933 Peter needs Superbowl Tickets instead of $250! #makedreamscometrue
736133006_381227830593720320 x	@BarackObama I stand right along side them #DefundObamacareBecause it is going to bankrupt our middle class & sm businesses!
736133006_357452850558799872 x	@blakeshelton I just heard "Mine Would be You" and absolutley loved it!  Amazing song and a for sure #1!
736133006_350597806442029058 x	@dutch975 You are in our thoughts and prayers! #rightonfighton
736133006_343556109736497152 x	"@WIPMorningShow: "Dom Brown is on FIREEEE" by @Casey__Conklin | http://t.co/aW3tid7Vjx @SportsRadioWIP" He's on my team! @flyerguy28
736133006_342315573511856128 x	RT @BravoTopChef: YOU GUYS! #TCMasters will premiere on (drum roll, please...) July 24th! RT if you're excited, and sneak peek it HERE: htt?
736133006_341726355592998912 x	@SunKrux: 2-Year-Old Boy And His Dad Perform The Beatles? ?Don?t Let Me Down? http://t.co/PaOpGoNe8g?"@PrestonSteve933 Preston will love it!
736133006_341726173811838976 x	RT @JeriLRyan: Oh, good lord, THE CUUUUTE!! ?@SunKrux: 2-Year-Old Boy And His Dad Perform The Beatles? ?Don?t Let Me Down? http://t.co/umsL?
736133006_341027631677992960 x	"@ErinMagarity: #ROYGBIV" Rainbows are the best
736133006_339554235605729280 x	"@DonnaEmbretson: #TheBiggestLoser shows a lot of nutrition
736133006_336659492538294272 x	#encorekellie #dancingwiththestars
736133006_336659489690382337 x	Have Finley who us hurt...suggestions on a replacement TE  #NFLFantasy and we'll answer the best on-air."
736133006_335220763957264386 x	"@AlexReidGetsFit: #ScandalFinale"Amazing so far!
736133006_331946699260055552 x	"@MsCatThief: I'd like to see Sig share the wheelhouse with Edgar... Like Andy and Johnathan do. #DeadliestCatch" me too @DeckbossEH
736133006_329774039931445248 x	This episode is freaking me out! "@Garcia_BAU: Forget the lodge, we've got some new accommodations for you."
736133006_323630546133585922 x	RT @NK975: We knew Doug would burn out and he has. Don't blame him. Team lacked consistent grit. Good 4 him. #Sixers
736133006_304221876123750400 x	"Others who broke my heart, they were like northern stars pointing me on my way into your loving arms. " @flyerguy28 I love you so much!
736133006_304047911476535296 x	"@NDmom: RT @ESPNBook: Done deal. @espn has closed deal with Ray Lewis. " If he cries...I am boycotting ESPN
736133006_303675671228596226 x	RT @biggestlosernbc: RETWEET to congratulate, Sunny! #BiggestLoser #PopChallenge
736133006_300962027818598400 x	"@FOX29philly: Is Rome ready for the first American pope?" Not going to happen...too much controversy here and attendance on the decline.
736133006_300935086767996930 x	@MyTrainerBob Did the Cardiomax workout this morning...feeling good but I am going to be sore tomorrow!  Thanks!
736133006_298959914292895744 x	@JermichaelF88 NCIS!
736133006_298262336983150592 x	RT @CaptScottJr: EVERYBODY RETWEET #comebacktime and it will happen!!!
736133006_297514159422193664 x	@undercover_cbs your fired! #unercoverboss
736133006_297508830739324928 x	RT @Hartsy19: RRRRRIIIIIIIINNNNNNNOOOOOOOO!!!!!!  Atta stick up for simma!!!!!  #flyers #flyereduprightnow
736133006_297166547527540736 x	RT @SusanSarandon: Hope you're watching my #ProjectRunway debut! RT if you?re tuned in & enter for a chance to win big with #RunwayR ...
736133006_296237867024388096 x	"@FOX29philly: What do you think of the Boy Scouts considering changing its anti-gay policy? Tweet us back." Great idea!
736133006_295974191746936832 x	RT @PrestonSteve933: Steve has a new restaurant idea that makes Hooters look like a great place to take the kids... https://t.co/jD99pMFq
736133006_295972554315792386 x	RT @MyTrainerBob: The Biggest Loser is back tonight! RT this if you're excited to tune in! @biggestlosernbc
736133006_295706885632446464 x	"@BiggC43: @markschlereth here is proof of play.. @JJWatt #bullsonparade http://t.co/F9w1TSje"@Tim_McManus
736133006_294974737434673154 x	@CBHolicongMS Save the Music Concert.....AMAZING!  We are blessed with such a talented staff in Central Bucks!
736133006_294635756104871936 x	RT @TimGunn: RT if you?re tuned in to the #ProjectRunway S 11 premiere. And here are details on the #RunwayRecall contest!   http://t.co ...
736133006_294265929313955842 x	"@Garcia_BAU: Note to self: Reid's gonna need a basket for his baskets. #overcompensationismymiddlename" You and Ried are my favorites!
736133006_294263538480988160 x	@CrimMinds_CBS @CBS I feel so bad for Reed.  Such a sad situation...hope this doesn't break him too much!
736133006_293057849553190913 x	RT @Visa: RT if you think today?s Conference Championship games will be EPIC. Good luck @Ravens @Patriots @49ers @Atlanta_Falcons! #NFL  ...
