240040746_393439180300115968 x	RT @HeaIthyTips: You don't need a gym to exercise. Walking is free and so is running.
240040746_393438867849637889 x	RT @YRInsider: Alex: It's incredible. Kevin: No, it's Devon! #YR
240040746_395761934923866114 x	RT @nytimes: Times Haiku: Be very much on your guard, and, oh yes, try not to stare at his crotch. http://t.co/YvrOanXTpo
240040746_395761731751792640 x	Missing @ETbergermeister <3 Watching Harry Potter and doing readings. #wantmywinebuddyback
240040746_395760904089763840 x	@MyTrainerBob loving the kettle bell workout DVD I got with my KBs! Super fun and intense and I can feel results! #Thankyou #comeonabs
240040746_395752040221007872 x	RT @BountySuicide: Those people who don't talk to you all year, but text you on holidays.
240040746_395751888986992641 x	Missed the first showing of season 2 of #crazybeautifullife so I'm staying up till 1:30am to catch the second @keshasuxx <3 can't wait!
240040746_395633652609994752 x	When you have to do research but you really just want to read your own books...#booknerdprobs #unilife
240040746_395749679402471424 x	@LisaDionne I feel your pain :( it sucks so much
240040746_395749086806020096 x	@keshasuxx omg omg omg new season! YES! #lovethisgirl #sohappy #thankyoumtvandkehsa
240040746_395749543372795904 x	@keshasuxx So excited I cant even spell right :P
240040746_395634470142750720 x	When youre sitting down with a blanket on you and your cat looks like she wants to say "you must not have blanket without kitty on blanket"
240040746_395628086365933568 x	RT @WiseManPhil: One person may be the reason behind your tears, but another person is waiting to be the reason for your smile.
240040746_395626853240565760 x	When you get emails from people at work when youre not even working telling you that they appreciate you <3 #lovemyjob
240040746_395626632813101056 x	Cant wait for the #sensgame with @LisaDionne on sunday <3 #bff #loveher
240040746_395626281024249856 x	RT @LisaDionne: Scars remind us where we've been, they don't have to dictate where we are going #QuoteOfTheDay
240040746_395340159367249920 x	RT @ETbergermeister: @betina_dagmar you are an angel!
240040746_394320086082678784 x	Just went to the new #VictoriasSecret in #Ottawa today! I wish I could be a #VSAngel. Damn.
240040746_395340117130227712 x	@ETbergermeister you da angel :)
240040746_394321597386874880 x	RT @keshasuxx: never grow up. it's a trap.
240040746_394302602319380480 x	@craigtdillon @MaxxiTunni I haven't gotten mine yet either and I've been watching your youtube vids non-stop this week cause its been bad.
